
[00:00:00.000 --> 00:00:05.760]  一個著名的牧者叫Eugene Patterson
[00:00:05.760 --> 00:00:08.760]  他曾經說過一番話
[00:00:08.760 --> 00:00:11.760]  他說教會是甚麼呢
[00:00:11.760 --> 00:00:17.160]  教會其實都是由一批罪人組成的
[00:00:17.160 --> 00:00:21.680]  不過這些罪人在神的面前被稱為異
[00:00:21.680 --> 00:00:24.320]  所以教會是甚麼呢
[00:00:24.320 --> 00:00:27.920]  教會其實就是由一個叫牧者的罪人
[00:00:27.920 --> 00:00:39.000]  帶一些信主的評論圖的罪人
[00:00:39.000 --> 00:00:45.040]  所以教會都是這些蒙召、蒙神的赦免的罪人
[00:00:45.040 --> 00:00:50.040]  在一起聚會的一個群體
[00:00:50.040 --> 00:00:55.640]  意思是我們的老我可能還沒有完全去掉
[00:00:55.640 --> 00:01:00.640]  我們的新我又慢慢發展出來
[00:01:00.640 --> 00:01:04.120]  不斷生命更新的過程裏面
[00:01:04.120 --> 00:01:07.280]  我們以往的家庭背景
[00:01:07.280 --> 00:01:09.680]  我們所處的文化背景
[00:01:09.680 --> 00:01:12.320]  我們所處的社會局勢
[00:01:12.320 --> 00:01:14.720]  我們所面對的人
[00:01:14.720 --> 00:01:17.240]  每個人都不同的
[00:01:17.240 --> 00:01:21.760]  很難避免人與人之間會有些衝突
[00:01:21.760 --> 00:01:24.760]  人與人之間會有些糾紛
[00:01:24.760 --> 00:01:27.240]  我們求上主憐憫我們
[00:01:27.240 --> 00:01:29.240]  我們要低頭一同禱告
[00:01:29.240 --> 00:01:32.240]  七位神我們求你幫助我們
[00:01:32.240 --> 00:01:36.240]  我們都看得到我們是罪人
[00:01:36.240 --> 00:01:39.240]  不過蒙你百般的憐憫
[00:01:39.240 --> 00:01:42.240]  你的恩典、你的揀選
[00:01:42.240 --> 00:01:45.240]  以主於我們可以進入你的救恩裏面
[00:01:45.240 --> 00:01:50.240]  主要求你幫助我們先有一個認罪的心
[00:01:50.240 --> 00:01:52.240]  一個闖虛的心
[00:01:52.240 --> 00:01:54.240]  一個感謝的心
[00:01:54.240 --> 00:01:56.240]  來到你的面前
[00:01:56.240 --> 00:01:58.240]  因為當我們聆聽
[00:01:58.240 --> 00:02:03.240]  如何處理在教會裏面人與人之間的衝突問題的時候
[00:02:03.240 --> 00:02:08.240]  主要求你幫助我們先反省我們自己是怎樣的一個人
[00:02:08.240 --> 00:02:10.240]  預備我們的心
[00:02:10.240 --> 00:02:11.240]  開放我們的心
[00:02:11.240 --> 00:02:14.240]  以主於我們知道我們彼此的得罪
[00:02:14.240 --> 00:02:16.240]  是你所不起悅的
[00:02:16.240 --> 00:02:18.240]  我們彼此的得罪
[00:02:18.240 --> 00:02:21.240]  是需要我們深切的了解我們自己
[00:02:21.240 --> 00:02:23.240]  我們那一種的認罪
[00:02:23.240 --> 00:02:25.240]  我們那一種的反省
[00:02:25.240 --> 00:02:31.240]  然後才可以透過我們晚上的訊息來得到幫助
[00:02:31.240 --> 00:02:34.240]  求你先整治我們這個人
[00:02:34.240 --> 00:02:39.240]  然後讓我們有這個勇氣來整治我們的人際關係
[00:02:39.240 --> 00:02:41.240]  求你憐憫我們
[00:02:41.240 --> 00:02:42.240]  幫助我們
[00:02:42.240 --> 00:02:46.240]  你的聖靈在今天的晚上在我們內心來動功
[00:02:46.240 --> 00:02:49.240]  讓我們面對一個這麼困難
[00:02:49.240 --> 00:02:50.240]  這麼難以去處理
[00:02:50.240 --> 00:02:54.240]  可能我們都不想去面對的問題的時候
[00:02:54.240 --> 00:02:56.240]  讓我們有這個勇氣
[00:02:56.240 --> 00:02:59.240]  來看清楚我們的本相
[00:02:59.240 --> 00:03:02.240]  聽我們禱告奉耶穌基督的名求
[00:03:02.240 --> 00:03:03.240]  Amen
[00:03:03.240 --> 00:03:07.240]  今天晚上我們有兩位的講員
[00:03:07.240 --> 00:03:09.240]  一位可能大家都熟悉
[00:03:09.240 --> 00:03:11.240]  就是我們使團的會長
[00:03:11.240 --> 00:03:12.240]  溫偉耀博士
[00:03:12.240 --> 00:03:17.240]  我也不想再詳細浪費大家時間去介紹
[00:03:17.240 --> 00:03:20.240]  另外一位是陳教前牧師
[00:03:20.240 --> 00:03:24.240]  其實陳牧師是研究教會人際衝突的一個
[00:03:24.240 --> 00:03:27.240]  其實都是的了
[00:03:27.240 --> 00:03:28.240]  就是專家
[00:03:28.240 --> 00:03:34.240]  陳牧師是基督教中國報道會正道堂的主任牧師
[00:03:34.240 --> 00:03:37.240]  在他的博士論文裏面
[00:03:37.240 --> 00:03:41.240]  其實他研究人際衝突與靈命塑造
[00:03:41.240 --> 00:03:48.240]  他也完成了這個富特神學院衝突行政管理的課程
[00:03:48.240 --> 00:03:51.240]  所以今天晚上我們是心慶得人
[00:03:51.240 --> 00:03:56.240]  我們很高興請到他們兩位來和我們分享這個訊息
[00:03:56.240 --> 00:04:00.240]  今天晚上他們兩位都會坐在這裏
[00:04:00.240 --> 00:04:02.240]  講話的那位就站在這裏
[00:04:02.240 --> 00:04:04.240]  一個這樣的安排
[00:04:04.240 --> 00:04:05.240]  希望親切一點
[00:04:05.240 --> 00:04:07.240]  我們先請兩位就座
[00:04:07.240 --> 00:04:10.240]  請陳牧師為我們宣講這個訊息
