
[00:00:00.000 --> 00:00:07.000]  今晚我們去到以西傑書第12章和第13章
[00:00:07.000 --> 00:00:13.000]  你記得前面那4章第8、第9、第10、第11
[00:00:13.000 --> 00:00:18.000]  就是整個都是以西傑所看到的異象
[00:00:18.000 --> 00:00:21.000]  而且我覺得這4章
[00:00:21.000 --> 00:00:25.000]  很可能就是以西傑看完異象之後
[00:00:25.000 --> 00:00:28.000]  是告訴那些長老
[00:00:28.000 --> 00:00:31.000]  他和那些長老在家裡聊天的時候
[00:00:31.000 --> 00:00:34.000]  他就被提到看到這些異象
[00:00:34.000 --> 00:00:36.000]  他要和那些長老交代
[00:00:36.000 --> 00:00:40.000]  因為神叫他看到那些異象是要他說出來的
[00:00:40.000 --> 00:00:42.000]  不是自己藏起來的
[00:00:42.000 --> 00:00:46.000]  所以很可能就是他和那些長老說
[00:00:46.000 --> 00:00:50.000]  他看到什麼,神要他看到什麼
[00:00:50.000 --> 00:00:56.000]  你記得第8章就是神帶他回到耶路撒冷那裡
[00:00:56.000 --> 00:01:00.000]  回到聖殿那裡看到當時宗教領袖
[00:01:00.000 --> 00:01:04.000]  在聖殿裡拜偶像那種醜態
[00:01:04.000 --> 00:01:08.000]  然後第9章你記得就開始神的審判來了
[00:01:08.000 --> 00:01:11.000]  6個人是殺人的
[00:01:11.000 --> 00:01:17.000]  有一個去找那些是沒有和他們一起拜偶像的
[00:01:17.000 --> 00:01:22.000]  所以是在神的審判臨到的時候
[00:01:22.000 --> 00:01:25.000]  不是每個人都有事的
[00:01:25.000 --> 00:01:27.000]  是有人被拯救的
[00:01:27.000 --> 00:01:32.000]  神是什麼時候都留下一班人沒有向偶像下拜
[00:01:32.000 --> 00:01:35.000]  然後去到第10章的時候
[00:01:35.000 --> 00:01:40.000]  我們就看到神的榮耀就逐步離開聖殿
[00:01:40.000 --> 00:01:42.000]  向南變而
[00:01:42.000 --> 00:01:46.000]  結果是神沒有再在聖殿裡面
[00:01:46.000 --> 00:01:49.000]  到後來這個就是象徵
[00:01:49.000 --> 00:01:53.000]  神已經離開了聖殿後來就被毀
[00:01:53.000 --> 00:01:56.000]  全部這些意象都是說將來
[00:01:56.000 --> 00:02:00.000]  耶路撒冷被圍攻被攻破聖殿被毀
[00:02:00.000 --> 00:02:03.000]  這個是大概5年之後的事
[00:02:03.000 --> 00:02:07.000]  然後去到第11章就說那25個
[00:02:07.000 --> 00:02:10.000]  這25個就不是宗教領袖
[00:02:10.000 --> 00:02:13.000]  他們不是在聖殿那裡
[00:02:13.000 --> 00:02:16.000]  這25個領袖是社會上的領袖
