
[00:00:00.000 --> 00:00:05.440]  第五到第七章是登山部分
[00:00:05.440 --> 00:00:11.320]  今天不是說第五章的十二節
[00:00:11.320 --> 00:00:14.000]  為什麼登山部分這麼特別呢
[00:00:14.000 --> 00:00:20.480]  如果你看回上世紀有兩位著名的牧師
[00:00:20.480 --> 00:00:23.360]  都有寫兩本解經書
[00:00:23.360 --> 00:00:24.960]  是講登山部分的
[00:00:24.960 --> 00:00:27.360]  其中一個是Dr. Martynoy Jones
[00:00:27.360 --> 00:00:31.520]  他在1959年寫了一本書
[00:00:31.520 --> 00:00:35.320]  是657頁的書
[00:00:35.320 --> 00:00:45.440]  他說我們當時的教會最大的特徵是很膚淺
[00:00:45.440 --> 00:00:46.880]  什麼叫膚淺呢
[00:00:46.880 --> 00:00:50.400]  就是我們沒有很認真的對神的說話
[00:00:50.400 --> 00:00:53.480]  特別是聖經是很認真的對待
[00:00:53.480 --> 00:00:56.280]  我們沒有讓聖經對我們說話
[00:00:56.280 --> 00:01:03.360]  他甚至說教會不需要做太多對外傳福音的活動
[00:01:03.360 --> 00:01:08.160]  只要在教會裡活出一個真正基督徒的樣式
[00:01:08.160 --> 00:01:11.680]  外面的人就會自動走進教會裡
[00:01:11.680 --> 00:01:22.760]  另外斯托德牧師John Stott也寫了一本登山部分的解經書
[00:01:22.760 --> 00:01:32.440]  他特別提到登山部分可能是最多人聽過的教訓
[00:01:32.440 --> 00:01:37.800]  但最少人明白和更少人尊重的教訓
[00:01:37.800 --> 00:01:43.240]  雖然這三章的經文是很多人聽過
[00:01:43.240 --> 00:01:45.720]  但其實還有很多的深度
[00:01:45.720 --> 00:01:49.240]  今天我只想講頭十二節
[00:01:49.240 --> 00:01:50.840]  我們叫八福
[00:01:50.840 --> 00:01:55.160]  解釋之前請我讀一讀這段經文
[00:01:55.160 --> 00:01:58.360]  耶穌看見許多人上了山
[00:01:58.360 --> 00:01:59.640]  既已坐下
[00:01:59.640 --> 00:02:01.800]  門徒到他跟前來
[00:02:01.800 --> 00:02:04.120]  他開口教訓他們說
[00:02:04.120 --> 00:02:06.360]  心靈貧乏的人有福了
[00:02:06.360 --> 00:02:07.800]  因為天國是他們的
[00:02:07.800 --> 00:02:09.320]  哀痛的人有福了
[00:02:09.320 --> 00:02:11.080]  因為他們必得安慰
[00:02:11.080 --> 00:02:12.760]  溫柔的人有福了
[00:02:12.760 --> 00:02:14.840]  因為他們必承受地土
[00:02:14.840 --> 00:02:17.640]  愛慕公義如基而可的人有福了
[00:02:17.640 --> 00:02:19.000]  因為他們必得飽足
[00:02:19.000 --> 00:02:21.000]  憐憫人的人有福了
[00:02:21.000 --> 00:02:22.600]  因為他們必蒙憐憫
[00:02:22.600 --> 00:02:24.600]  內心清潔的人有福了
[00:02:24.600 --> 00:02:26.120]  因為他們必看見神
[00:02:26.120 --> 00:02:28.120]  指引和平的人有福了
[00:02:28.120 --> 00:02:30.280]  因為他們必稱為神的兒子
[00:02:30.280 --> 00:02:33.560]  遭受迫害的人有福了
[00:02:33.560 --> 00:02:35.240]  因為天國是他們的
[00:02:35.240 --> 00:02:38.440]  人若因我的緣故辱罵你們
[00:02:38.440 --> 00:02:39.800]  迫害你們
[00:02:39.800 --> 00:02:41.400]  並且柳造各樣壞話
[00:02:41.400 --> 00:02:42.520]  毀謗你們
[00:02:42.520 --> 00:02:44.040]  你們就有福了
[00:02:44.040 --> 00:02:45.720]  你們應該歡喜快樂
[00:02:45.720 --> 00:02:48.520]  因為你們在天上的賞賜是大的
[00:02:48.520 --> 00:02:50.760]  在你們以前的先知
[00:02:50.760 --> 00:02:52.760]  他們也曾這樣迫害
[00:02:52.760 --> 00:02:56.040]  這段經文只有12節
[00:02:56.040 --> 00:02:59.960]  但之前的背景在第四章結尾提到
[00:02:59.960 --> 00:03:07.160]  耶穌基督沿著加利利海邊傳福音
[00:03:07.160 --> 00:03:09.960]  他呼召了四個門徒
[00:03:09.960 --> 00:03:11.320]  都是漁夫的門徒
[00:03:11.320 --> 00:03:15.080]  他在加利利做了很多神蹟
[00:03:15.080 --> 00:03:16.360]  治療了很多病人
[00:03:16.360 --> 00:03:19.320]  當時已經有一大群人跟著他
[00:03:19.320 --> 00:03:22.120]  在這裡開始時提到
[00:03:22.120 --> 00:03:23.720]  耶穌看見那麼多人跟著他
[00:03:23.720 --> 00:03:25.320]  他就上了山上
[00:03:25.320 --> 00:03:28.200]  去教訓那些門徒
[00:03:28.200 --> 00:03:31.640]  當時的背景我們不知道有多少人跟著他
[00:03:31.640 --> 00:03:33.960]  但我們很清楚看到
[00:03:33.960 --> 00:03:35.560]  耶穌教訓的對象
[00:03:35.560 --> 00:03:38.760]  已經放下了他們的工作
[00:03:38.760 --> 00:03:40.520]  去跟從耶穌的那些門徒
[00:03:41.480 --> 00:03:46.920]  我首先說說八福的奉木線
