
[00:00:00.000 --> 00:00:02.000]  好 大家好 有沒有吃飯?
[00:00:02.000 --> 00:00:04.000]  有
[00:00:04.000 --> 00:00:06.000]  真的有嗎?
[00:00:06.000 --> 00:00:08.000]  這麼早
[00:00:08.000 --> 00:00:10.000]  好 謝謝你
[00:00:10.000 --> 00:00:12.000]  今晚一個半小時的時間
[00:00:12.000 --> 00:00:14.000]  每個小時的 放心
[00:00:14.000 --> 00:00:16.000]  壓力不大
[00:00:16.000 --> 00:00:18.000]  但是
[00:00:18.000 --> 00:00:20.000]  我講一講
[00:00:20.000 --> 00:00:22.000]  我進來之前
[00:00:22.000 --> 00:00:24.000]  那一天的情況
[00:00:24.000 --> 00:00:26.000]  給你聽聽
[00:00:26.000 --> 00:00:28.000]  今早我寫日記的時候
[00:00:28.000 --> 00:00:30.000]  五點多鐘
[00:00:30.000 --> 00:00:32.000]  有一個好朋友
[00:00:32.000 --> 00:00:34.000]  他是一個癌症病人
[00:00:34.000 --> 00:00:36.000]  也經歷了
[00:00:36.000 --> 00:00:38.000]  七年
[00:00:38.000 --> 00:00:40.000]  他今天就要進醫院
[00:00:40.000 --> 00:00:42.000]  做一個
[00:00:42.000 --> 00:00:44.000]  照PET scan看看
[00:00:44.000 --> 00:00:46.000]  情況現在怎麼樣
[00:00:46.000 --> 00:00:48.000]  他和我通訊的時候說
[00:00:48.000 --> 00:00:50.000]  都有點緊張
[00:00:50.000 --> 00:00:52.000]  因為這個計時炸彈
[00:00:52.000 --> 00:00:54.000]  七年會不會就是今天
[00:00:54.000 --> 00:00:56.000]  爆發呢?即是復發
[00:00:56.000 --> 00:00:58.000]  我馬上有些話
[00:00:58.000 --> 00:01:00.000]  跟他說 接著就到
[00:01:00.000 --> 00:01:02.000]  九點鐘我約了一個
[00:01:02.000 --> 00:01:04.000]  牧師聊天 牧師跟我說
[00:01:04.000 --> 00:01:06.000]  他過去
[00:01:06.000 --> 00:01:08.000]  這幾個月兩次
[00:01:08.000 --> 00:01:10.000]  的檢查
[00:01:10.000 --> 00:01:12.000]  都是說他是一個
[00:01:12.000 --> 00:01:14.000]  癌症病人 有癌症
[00:01:14.000 --> 00:01:16.000]  不過
[00:01:16.000 --> 00:01:18.000]  他最近一次的檢查
[00:01:18.000 --> 00:01:20.000]  都不隔多遠
[00:01:20.000 --> 00:01:22.000]  癌症沒有了
[00:01:22.000 --> 00:01:24.000]  他的身體沒有了
[00:01:24.000 --> 00:01:26.000]  到今天12點鐘
[00:01:26.000 --> 00:01:28.000]  中午
[00:01:28.000 --> 00:01:30.000]  去醫院
[00:01:30.000 --> 00:01:32.000]  七年前癌症的人
[00:01:32.000 --> 00:01:34.000]  告訴我
[00:01:34.000 --> 00:01:36.000]  是
[00:01:36.000 --> 00:01:38.000]  沒事的
[00:01:38.000 --> 00:01:40.000]  到下午
[00:01:40.000 --> 00:01:42.000]  我回家
[00:01:42.000 --> 00:01:44.000]  因為我開一個會 回家
[00:01:44.000 --> 00:01:46.000]  我看監跟我說
[00:01:46.000 --> 00:01:48.000]  他幾個月前
[00:01:48.000 --> 00:01:50.000]  要做手術 他是癌症的
[00:01:50.000 --> 00:01:52.000]  但現在
[00:01:52.000 --> 00:01:54.000]  癌症進了肺
[00:01:54.000 --> 00:01:56.000]  我一天裏面
[00:01:56.000 --> 00:01:58.000]  見三個人都有不同的遭遇
[00:01:58.000 --> 00:02:00.000]  不同的遭遇
[00:02:00.000 --> 00:02:02.000]  這個看監就是
[00:02:02.000 --> 00:02:04.000]  我最近跟他聊過天
[00:02:04.000 --> 00:02:06.000]  他很擔心
[00:02:06.000 --> 00:02:08.000]  第一件事我馬上
[00:02:08.000 --> 00:02:10.000]  回想起來
[00:02:10.000 --> 00:02:12.000]  其實病人都有機會病
[00:02:12.000 --> 00:02:14.000]  有機會病 但最刺激
[00:02:14.000 --> 00:02:16.000]  那個人是甚麼呢 就是
[00:02:16.000 --> 00:02:18.000]  很多事都是不穩定狀態的
[00:02:18.000 --> 00:02:20.000]  是吧 即是你現在聽
[00:02:20.000 --> 00:02:22.000]  我不知道你的感覺怎樣
[00:02:22.000 --> 00:02:24.000]  你都馬上想起
[00:02:24.000 --> 00:02:26.000]  幸好我不是這樣
[00:02:26.000 --> 00:02:28.000]  即是馬上想起
[00:02:28.000 --> 00:02:30.000]  我家裏都有一個差不多這樣的親戚
[00:02:30.000 --> 00:02:32.000]  即是人人都覺得這些事
[00:02:32.000 --> 00:02:34.000]  是沒有一天的
[00:02:34.000 --> 00:02:36.000]  要出現就出現
[00:02:36.000 --> 00:02:38.000]  上午不知道
[00:02:38.000 --> 00:02:40.000]  下午不知道怎樣
[00:02:40.000 --> 00:02:42.000]  可能到晚上有另一樣東西
[00:02:42.000 --> 00:02:44.000]  變化 所以甚麼叫壓力呢
[00:02:44.000 --> 00:02:46.000]  壓力就是當你的
[00:02:46.000 --> 00:02:48.000]  情緒
[00:02:48.000 --> 00:02:50.000]  遇到一個刺激的時候
[00:02:50.000 --> 00:02:52.000]  你發洩出來那個
[00:02:52.000 --> 00:02:54.000]  發洩出來那個就是壓力
[00:02:54.000 --> 00:02:56.000]  即是如果你說突然間
[00:02:56.000 --> 00:02:58.000]  你很不開心 很不安樂
[00:02:58.000 --> 00:03:00.000]  突然間很生氣
[00:03:00.000 --> 00:03:02.000]  這些是有一個刺激你的東西出現了
[00:03:02.000 --> 00:03:04.000]  於是你就反映在
[00:03:04.000 --> 00:03:06.000]  情緒那裏了 所以日日有機會
[00:03:06.000 --> 00:03:08.000]  剛才我都刺激了你
[00:03:08.000 --> 00:03:10.000]  你坐在這裏聽都不關你的事
[00:03:10.000 --> 00:03:12.000]  是吧 全部都是我見的東西
[00:03:12.000 --> 00:03:14.000]  但你馬上想起
[00:03:14.000 --> 00:03:16.000]  比起我見怎樣呢
[00:03:16.000 --> 00:03:18.000]  其實日日
[00:03:18.000 --> 00:03:20.000]  我們身邊都出現了一些
[00:03:20.000 --> 00:03:22.000]  刺激你的東西
[00:03:22.000 --> 00:03:24.000]  今晚我就
[00:03:24.000 --> 00:03:26.000]  很開心見到很多家長在這裏
[00:03:26.000 --> 00:03:28.000]  有沒有
[00:03:28.000 --> 00:03:30.000]  梁牧師說過有些學校
[00:03:30.000 --> 00:03:32.000]  家長有沒有這樣的情況
[00:03:32.000 --> 00:03:34.000]  是在做爸爸媽媽
[00:03:34.000 --> 00:03:36.000]  我一陣子就記得自己在做爸爸媽媽
[00:03:36.000 --> 00:03:38.000]  有沒有
[00:03:38.000 --> 00:03:40.000]  有幾個爸爸媽媽在這裏
[00:03:40.000 --> 00:03:42.000]  一半左右
[00:03:42.000 --> 00:03:44.000]  一半左右
[00:03:44.000 --> 00:03:46.000]  如果你做爸爸媽媽
[00:03:46.000 --> 00:03:48.000]  我想你擔心的
[00:03:48.000 --> 00:03:50.000]  可能你會想起
[00:03:50.000 --> 00:03:52.000]  你管不了那麼多
[00:03:52.000 --> 00:03:54.000]  你管不了那麼多人
