
[00:00:00.000 --> 00:00:02.360]  各位弟兄姊妹、各位朋友 早安
[00:00:02.360 --> 00:00:02.960]  早安
[00:00:02.960 --> 00:00:06.720]  很高興再一次回來講福堂和大家見面
[00:00:06.720 --> 00:00:08.840]  我們先有個祈禱
[00:00:08.840 --> 00:00:11.960]  天父我們將以下的時間帶到恩主的面前
[00:00:11.960 --> 00:00:15.520]  求祢幫助我們能夠明白祢的心
[00:00:15.520 --> 00:00:17.920]  又能夠回應祢的心意
[00:00:17.920 --> 00:00:20.240]  幫助我們聽的、說的
[00:00:20.240 --> 00:00:23.360]  都能夠清清楚楚、明明白白
[00:00:23.360 --> 00:00:25.920]  奉耶穌的名祈禱 阿們
[00:00:25.920 --> 00:00:30.560]  在人生當中 常常有一些事情是一生難忘的
[00:00:30.560 --> 00:00:33.440]  無論小時候或是長大一點
[00:00:33.440 --> 00:00:36.040]  都有些事情我們永遠都記得
[00:00:36.040 --> 00:00:40.000]  在我人生中讀書的一件事 我一直都記得
[00:00:40.000 --> 00:00:41.960]  常常有時候都會和朋友提出
[00:00:41.960 --> 00:00:43.680]  就是我一次的考試
[00:00:43.680 --> 00:00:46.640]  而一次考試的時候 其實考試很簡單
[00:00:46.640 --> 00:00:48.280]  試卷只是一張紙
[00:00:48.280 --> 00:00:51.360]  十條問題每條一分 加起來有多少分?
[00:00:51.360 --> 00:00:53.240]  十分 答完就十分
[00:00:53.240 --> 00:00:55.320]  於是我很用心去做
[00:00:55.320 --> 00:00:57.240]  我記得考試一個小時
[00:00:57.240 --> 00:01:00.840]  用了大概35分鐘左右 我就已經做完了
[00:01:00.840 --> 00:01:04.880]  做完之後就重複再看 再想 再改
[00:01:04.880 --> 00:01:06.840]  用了差不多十多分鐘
[00:01:06.840 --> 00:01:09.360]  差不多還有5分鐘收卷
[00:01:09.360 --> 00:01:12.600]  我看完之後 我覺得這份卷真的做得太好了
[00:01:12.600 --> 00:01:14.080]  未試過考得這麼好
[00:01:14.080 --> 00:01:16.600]  心裡真的非常平安
[00:01:16.600 --> 00:01:18.760]  一邊看 看同學們還在寫
[00:01:18.760 --> 00:01:20.240]  哪有人這麼蠢的
[00:01:20.240 --> 00:01:22.720]  這麼容易的試卷 怎麼還沒寫完呢?
[00:01:22.720 --> 00:01:24.880]  還在那裡頭暗暗的
[00:01:24.880 --> 00:01:29.080]  我看到他 我覺得這次真的很順利 很開心 很平安
[00:01:29.080 --> 00:01:32.160]  於是老師就說5分鐘收卷
[00:01:32.160 --> 00:01:34.080]  請大家準備交卷
[00:01:34.080 --> 00:01:36.680]  拿著我的卷 寫好了
[00:01:36.680 --> 00:01:40.560]  翻轉一頁 後面還有一條
[00:01:40.560 --> 00:01:43.320]  這一條是90分的
[00:01:43.320 --> 00:01:46.600]  因為是短文體的 essay type question
[00:01:46.600 --> 00:01:48.480]  前面十條十分
