
[00:00:00.000 --> 00:00:12.000]  請姐妹平安 我第一次來Swindon 所以都算是大鄉里出城了
[00:00:12.000 --> 00:00:26.000]  過去我讀書是在蘇格蘭 內丁堡 第一次過來已經是1979年的事了
[00:00:26.000 --> 00:00:34.000]  如果這次公投獨立成功 就變成第二個國家了
[00:00:34.000 --> 00:00:41.000]  這次過來是很感恩 參加在愛爾蘭 都柏林
[00:00:41.000 --> 00:00:52.000]  有一次全歐洲華人的教務同工研討會
[00:00:52.000 --> 00:01:01.000]  見到很多不同的國家的服務主聚集一起 彼此鼓勵
[00:01:01.000 --> 00:01:06.000]  多謝黃桂木師 我們是在內丁堡一起讀書的
[00:01:06.000 --> 00:01:13.000]  不是79年 是89年 所以認識了很長的時間
[00:01:13.000 --> 00:01:20.000]  感謝主來到大家中間 看到原來教會已經20年了
[00:01:20.000 --> 00:01:27.000]  這個禮拜堂1870年 到現在了
[00:01:27.000 --> 00:01:38.000]  英國到處都是歷史 見到神自己的信實慈愛 實在是在我們當中
[00:01:38.000 --> 00:01:45.000]  你們教會舉行培靈會定了一個很長的題目
[00:01:45.000 --> 00:01:51.000]  我背不出來 可能年紀太大了 所以我改了一些短的題目
[00:01:51.000 --> 00:01:59.000]  今晚我們先來討論一下 什麼叫做屬靈生命呢
[00:01:59.000 --> 00:02:08.000]  要在資訊時代 信徒屬靈生命 怎樣適應
[00:02:08.000 --> 00:02:18.000]  是呀 信徒要經常適應的 1979年來英國到現在已經是兒世易了
[00:02:18.000 --> 00:02:26.000]  很多事情都改變了 我們的屬靈生命不是一個停止了
[00:02:26.000 --> 00:02:31.000]  不長進的一件事來的
[00:02:31.000 --> 00:02:42.000]  所以信徒在不同的處境當中 應當怎樣來一路心意更新變化
[00:02:42.000 --> 00:02:45.000]  這個是很重要的 所以你們定了的題目
[00:02:45.000 --> 00:02:54.000]  實在是需要很小心 來明白裡面重要的地方
[00:02:54.000 --> 00:02:58.000]  不過屬靈生命到底是一件什麼事呢
[00:02:58.000 --> 00:03:04.000]  可能不同的弟兄姊妹 或者會有不同的想法
[00:03:04.000 --> 00:03:11.000]  今晚我們試一下從新約聖經 我們回到彼得
[00:03:11.000 --> 00:03:17.000]  在他寫信給教會的時候 他很緊張
[00:03:17.000 --> 00:03:19.000]  剛才讀的時候 你有沒有留意到
[00:03:19.000 --> 00:03:25.000]  他三次提到 他就快要離開了
[00:03:25.000 --> 00:03:32.000]  他先用一個比喻說 我還在這個帳篷的時候
[00:03:32.000 --> 00:03:37.000]  我快要脫離這個帳篷的時候
[00:03:37.000 --> 00:03:40.000]  然後大家還是聽不清楚他講的意思
[00:03:40.000 --> 00:03:50.000]  最後那句他說 我趁著我還沒有離開這個世界之前
[00:03:50.000 --> 00:03:59.000]  很清楚 彼得最緊張的這些事
[00:03:59.000 --> 00:04:02.000]  你回去再看清楚這段聖經
[00:04:02.000 --> 00:04:07.000]  老人家講話很沉氣 很論盡
[00:04:07.000 --> 00:04:10.000]  你如果這樣看 你就錯過了
[00:04:10.000 --> 00:04:16.000]  其實這個是使徒彼得在他臨終之前
[00:04:16.000 --> 00:04:26.000]  他三番四次跟弟兄姊妹要講心裏面最重要的是什麼事
[00:04:26.000 --> 00:04:30.000]  他講了多少樣 剛才你有沒有數過
[00:04:30.000 --> 00:04:34.000]  有了信心 又要加上得行
[00:04:34.000 --> 00:04:38.000]  有了得行 又要加上知識
[00:04:38.000 --> 00:04:42.000]  有了知識 又要加上節制
[00:04:42.000 --> 00:04:46.000]  有了節制 又要加上忍耐
[00:04:46.000 --> 00:04:48.000]  五樣了 是不是
[00:04:48.000 --> 00:04:51.000]  然後忍耐之後要加上虔敬
[00:04:51.000 --> 00:04:55.000]  虔敬之後要加上愛弟兄的心
[00:04:55.000 --> 00:05:01.000]  愛弟兄的心 最後要加上愛眾人的心
[00:05:01.000 --> 00:05:06.000]  八件事情 彼得跟保羅很不同
[00:05:06.000 --> 00:05:08.000]  保羅是個讀書人
