
[00:00:00.000 --> 00:00:07.440]  我們來看以賽亞書第42章的經文
[00:00:07.440 --> 00:00:11.900]  是將我們的焦點集中在我們的主角
[00:00:11.900 --> 00:00:13.900]  就是張臨奇的主角
[00:00:13.900 --> 00:00:15.900]  他第一次來了
[00:00:15.900 --> 00:00:18.900]  第二次也都一定會再回來
[00:00:18.900 --> 00:00:22.100]  我們今天來思想我們這一位的主
[00:00:22.100 --> 00:00:25.600]  這段經文其實是有一個背景的
[00:00:25.600 --> 00:00:28.600]  就是主和他的百姓
[00:00:28.600 --> 00:00:31.600]  好像有一場官司那樣
[00:00:31.600 --> 00:00:34.600]  來發出這個宣告
[00:00:34.600 --> 00:00:38.600]  宣判了那一場的官司
[00:00:38.600 --> 00:00:41.600]  最後的勝利者是哪一位
[00:00:41.600 --> 00:00:42.600]  什麼官司來的呢
[00:00:42.600 --> 00:00:45.600]  就是這一班的百姓他們覺得
[00:00:45.600 --> 00:00:48.600]  這個不公義的情況
[00:00:48.600 --> 00:00:50.600]  他們受外邦的侵擾
[00:00:50.600 --> 00:00:52.600]  他們在困難之中
[00:00:52.600 --> 00:00:58.100]  到底那一位公義的上帝在哪裏呢
[00:00:58.100 --> 00:01:01.100]  人往往是這樣的
[00:01:01.100 --> 00:01:05.100]  順境的時候就很少問神學的問題
[00:01:05.100 --> 00:01:07.100]  在很艱難的時候
[00:01:07.100 --> 00:01:12.100]  就會問很多關於上帝在哪裏的說話
[00:01:12.100 --> 00:01:16.100]  問很多關於不公義的事情
[00:01:16.100 --> 00:01:19.100]  什麼時候才能擺平
[00:01:19.100 --> 00:01:24.100]  問什麼時候才能脫離痛苦等等
[00:01:24.100 --> 00:01:27.100]  其實上帝在這一場的官司裏面
[00:01:27.100 --> 00:01:29.100]  是向著這班百姓
[00:01:29.100 --> 00:01:33.100]  和他們當時所傾向敬拜的
[00:01:33.100 --> 00:01:36.100]  來作出了一個判決
[00:01:36.100 --> 00:01:40.100]  在第41章第21節那裏這樣說
[00:01:40.100 --> 00:01:42.100]  耶和華對賈臣說
[00:01:42.100 --> 00:01:45.100]  你們要呈上你們的案件
[00:01:45.100 --> 00:01:47.100]  雅各的君說
[00:01:47.100 --> 00:01:51.100]  你們要聲明你們確實的理由
[00:01:51.100 --> 00:01:56.100]  可以聲明指示我們將來必遇的事
