
[00:00:00.000 --> 00:00:04.560]  在基督教裡面
[00:00:04.560 --> 00:00:08.000]  我們經常聽到一種教導
[00:00:08.000 --> 00:00:10.000]  很多傳教人都很喜歡這麼說
[00:00:10.000 --> 00:00:13.520]  就是說我們要活像主耶穌基督
[00:00:13.520 --> 00:00:15.520]  我們要此神
[00:00:15.520 --> 00:00:18.720]  這個教導其實在教會裡面
[00:00:18.720 --> 00:00:23.040]  可以說是很經常出現的一個陳述
[00:00:23.040 --> 00:00:26.240]  但是到底是怎麼一回事呢
[00:00:26.240 --> 00:00:31.040]  怎麼我們能夠活得像上主像我們的神呢
[00:00:31.040 --> 00:00:33.920]  這是一個很大的學問
[00:00:33.920 --> 00:00:37.040]  但是在基督教裡面
[00:00:37.040 --> 00:00:42.080]  其實因著要去活得像上帝或者活得像耶穌的時候
[00:00:42.080 --> 00:00:44.640]  就塑造了一種很奇特
[00:00:44.640 --> 00:00:48.720]  但是又令人很吸引的一種信仰
[00:00:48.720 --> 00:00:52.320]  這種信仰就叫做小神觀
[00:00:52.320 --> 00:00:56.800]  聽起來可能對於你來講是很陌生的一件事
[00:00:56.800 --> 00:00:58.800]  什麼叫做小神觀
[00:00:58.800 --> 00:01:00.800]  Little God Theology
[00:01:00.800 --> 00:01:04.640]  其實我在公元2000年的時候
[00:01:04.640 --> 00:01:07.280]  有機會去到以色列
[00:01:07.280 --> 00:01:12.560]  去專修《創世紀》這本書的時候
[00:01:12.560 --> 00:01:17.840]  就曾經在這個課程裡面有一天的時間
[00:01:17.840 --> 00:01:23.280]  讓所有的學員包括當時的教授
[00:01:23.280 --> 00:01:25.120]  拉比
[00:01:25.120 --> 00:01:30.960]  甚至當時的一些猶太人會堂的一些教導的專家
[00:01:30.960 --> 00:01:39.040]  來到我們當中去分享和介紹這個所謂小神觀的觀念
[00:01:39.040 --> 00:01:43.120]  我記得其中在分享裡面還有一個
[00:01:43.120 --> 00:01:49.840]  是在耶路撒冷大學很被尊崇的一個舊約聖經教授
[00:01:49.840 --> 00:01:55.920]  來到我們當中去介紹這個所謂小神觀的觀念
[00:01:55.920 --> 00:02:03.120]  小神觀這個觀念其實在聖經裡面是植根於兩段的經文
[00:02:03.120 --> 00:02:08.880]  第一段的經文就是詩篇的第八篇第五節
[00:02:08.880 --> 00:02:12.080]  在裡面經文曾經這樣說過
[00:02:12.080 --> 00:02:15.280]  你叫他比天使微小一點
[00:02:15.280 --> 00:02:19.760]  並賜他榮耀尊貴的冠冕
[00:02:19.760 --> 00:02:22.400]  所以在這裡說到
[00:02:22.400 --> 00:02:28.560]  給當時的聽眾聽或者讀詩篇的讀者知道
[00:02:28.560 --> 00:02:34.480]  我們其實可以變成比天使微小一點的一個身份
[00:02:34.480 --> 00:02:36.880]  這個身份是很尊貴的
