
[00:00:00.000 --> 00:00:04.000]  大型姐妹早晨
[00:00:04.000 --> 00:00:08.000]  上星期我和大家說快快樂樂敬拜神
[00:00:08.000 --> 00:00:11.000]  我希望我們都有這樣的心態
[00:00:11.000 --> 00:00:12.000]  今集一齊來敬拜主
[00:00:12.000 --> 00:00:14.000]  特別今天下很大雨
[00:00:14.000 --> 00:00:16.000]  好像是黃雨這段時間
[00:00:16.000 --> 00:00:21.000]  我都看到很多大型姐妹來到的時候都濕透了
[00:00:21.000 --> 00:00:27.000]  有人幫忙希望你能夠乾身一點
[00:00:27.000 --> 00:00:29.000]  在這裡聚會
[00:00:29.000 --> 00:00:31.000]  如果你有什麼需要
[00:00:31.000 --> 00:00:33.000]  我看到有些大型姐妹需要脫鞋子
[00:00:33.000 --> 00:00:35.000]  你不要客氣
[00:00:35.000 --> 00:00:40.000]  因為希望我們能夠快快樂樂地敬拜神
[00:00:40.000 --> 00:00:44.000]  今天我轉了一個題目
[00:00:44.000 --> 00:00:46.000]  從敬拜的角度
[00:00:46.000 --> 00:00:49.000]  我們看看另一個放在我心裡很久的題目
[00:00:49.000 --> 00:00:51.000]  屬靈人的題目
[00:00:51.000 --> 00:01:01.000]  我發現自己是教會今天很需要被一起提醒學習的題目
[00:01:01.000 --> 00:01:06.000]  我不知道大家有沒有在你成長的歷程裡
[00:01:06.000 --> 00:01:12.000]  看過一本叫做四個宿命定律的小冊子
[00:01:12.000 --> 00:01:13.000]  有沒有?
[00:01:13.000 --> 00:01:15.000]  我想很多人應該看過
[00:01:15.000 --> 00:01:17.000]  我想問一下有多少人因為這本小冊子
[00:01:17.000 --> 00:01:19.000]  而說福音而相信了主的
[00:01:19.000 --> 00:01:21.000]  有沒有?
[00:01:21.000 --> 00:01:23.000]  沒有
[00:01:23.000 --> 00:01:25.000]  有多少人用過這本小冊子?
[00:01:25.000 --> 00:01:27.000]  都不少
[00:01:27.000 --> 00:01:29.000]  這本小冊子裡
[00:01:29.000 --> 00:01:34.000]  學園傳道會的創辦人叫做白立基
[00:01:34.000 --> 00:01:41.000]  他用了很多心思設計了一本非常精美精簡的小冊子
[00:01:41.000 --> 00:01:43.000]  雖然看上去很簡單
[00:01:43.000 --> 00:01:45.000]  我想一板紙都可以印出來
[00:01:45.000 --> 00:01:51.000]  不過裡面卻代表了很多心思神學的理念在背後
[00:01:51.000 --> 00:01:53.000]  這本小冊子裡
[00:01:53.000 --> 00:01:56.000]  在缺志的時候有兩幅圖
[00:01:56.000 --> 00:01:58.000]  不知道大家有沒有印象
[00:01:58.000 --> 00:02:00.000]  第一幅是這樣的
[00:02:00.000 --> 00:02:02.000]  他未信耶穌的人
[00:02:02.000 --> 00:02:06.000]  他的生命就是我坐在自己的寶座上
[00:02:06.000 --> 00:02:09.000]  然後信了耶穌的人
[00:02:09.000 --> 00:02:13.000]  反過來就是耶穌基督成為我們生命當中
[00:02:13.000 --> 00:02:15.000]  用一張椅子來代替
[00:02:15.000 --> 00:02:18.000]  那個話事權的寶座是耶穌坐的
[00:02:18.000 --> 00:02:20.000]  請你留意
