
[00:00:00.000 --> 00:00:06.400]  作為神的子民或者基督徒
[00:00:06.400 --> 00:00:09.480]  不知道大家會不會有些時候
[00:00:09.480 --> 00:00:13.480]  感覺到自己好像很吃虧的感覺
[00:00:13.480 --> 00:00:17.280]  例如很多時候因為我們是一個基督徒
[00:00:17.280 --> 00:00:19.520]  或者我們是神的子民
[00:00:19.520 --> 00:00:22.000]  於是在我們身邊就有些人
[00:00:22.000 --> 00:00:25.600]  利用我們這個身份來威脅我們
[00:00:25.600 --> 00:00:30.080]  並且說你需要好像耶穌基督一樣
[00:00:30.080 --> 00:00:32.880]  為世人作出犧牲
[00:00:32.880 --> 00:00:35.520]  所以你這樣的做法
[00:00:35.520 --> 00:00:38.240]  這樣的態度才能夠真的
[00:00:38.240 --> 00:00:40.640]  幫助到我們這個世界的人
[00:00:40.640 --> 00:00:42.920]  其實這些人為什麼這樣去
[00:00:42.920 --> 00:00:46.720]  要脅我們呢?很多時候都是利用這種方式
[00:00:46.720 --> 00:00:50.920]  來從中可以去得到一些利益
[00:00:50.920 --> 00:00:54.240]  或者他們看到一些利益在前
[00:00:54.240 --> 00:00:56.960]  於是他們希望先捉先登
[00:00:56.960 --> 00:00:59.680]  先享受到這些的好處
[00:00:59.680 --> 00:01:02.160]  所以於是他們就這樣說
[00:01:02.160 --> 00:01:05.280]  又或者可能在你的公司裡面
[00:01:05.280 --> 00:01:08.160]  你和一組的同事一起去
[00:01:08.160 --> 00:01:11.280]  擔當一個計劃
[00:01:11.280 --> 00:01:14.080]  去完成一份工作的時候
[00:01:14.080 --> 00:01:17.880]  後來這個工作出了一些問題
[00:01:17.880 --> 00:01:21.920]  於是你的同事又知道你是一個基督徒
[00:01:21.920 --> 00:01:26.920]  你經常都說到我們信徒要怎樣為主犧牲
[00:01:26.920 --> 00:01:29.400]  主又怎樣為我們犧牲
[00:01:29.400 --> 00:01:31.400]  於是他們就說
[00:01:31.400 --> 00:01:34.920]  在這個時候這個計劃有些事情做錯了
[00:01:34.920 --> 00:01:37.400]  需要找一個人來負責
[00:01:37.400 --> 00:01:39.920]  來承擔這個責任
[00:01:39.920 --> 00:01:41.440]  既然是這樣
[00:01:41.440 --> 00:01:43.520]  你們作為基督徒不如這樣
[00:01:43.520 --> 00:01:46.560]  你犧牲少我完成大我
[00:01:46.560 --> 00:01:49.120]  好像你們的主耶穌一樣
[00:01:49.120 --> 00:01:52.720]  那你不如承擔了這件事承擔了這個責任
[00:01:52.720 --> 00:01:56.440]  希望不用整組的人都受到一些懲罰
[00:01:56.440 --> 00:01:58.720]  或者一些懲處
[00:01:58.720 --> 00:02:02.680]  這些種種的情況其實
[00:02:02.680 --> 00:02:05.880]  那個變化有很多種樣式
[00:02:05.880 --> 00:02:10.080]  不過不離開都是因為我們這個基督徒的身份
[00:02:10.080 --> 00:02:12.480]  或者神子民的身份
[00:02:12.480 --> 00:02:17.280]  於是那些人就利用這樣的機會來從中取利
[00:02:17.280 --> 00:02:20.280]  類似的這些無奈的情況
[00:02:20.280 --> 00:02:24.480]  我相信大家弟兄姊妹都可能遇見過不少
[00:02:24.480 --> 00:02:28.280]  更甚的可能就有落到一些情況就是說
[00:02:28.280 --> 00:02:31.880]  因為我們自己犯了錯
[00:02:31.880 --> 00:02:34.280]  我們作為基督徒犯了錯
[00:02:34.280 --> 00:02:38.480]  就於是乎更惹起更多人的關注
[00:02:38.480 --> 00:02:44.080]  希望藉此讓我們成為那個被針對的對象
[00:02:44.080 --> 00:02:49.480]  為什麼世人這麼喜歡去針對基督徒或者神的子民呢
[00:02:49.480 --> 00:02:51.080]  因為他們有個原因的
[00:02:51.080 --> 00:02:54.480]  他們有個思維的一種模式
[00:02:54.480 --> 00:02:55.880]  就是他們覺得
[00:02:55.880 --> 00:02:59.480]  既然我們基督徒經常都說這麼嚴格地去
[00:02:59.480 --> 00:03:02.480]  去牽手上帝的標準
[00:03:02.480 --> 00:03:08.680]  特別他們很強調的就是基督徒強調這個道德標準的層次
[00:03:08.680 --> 00:03:12.880]  所以既然你有這麼高尚的情操
[00:03:12.880 --> 00:03:16.880]  有這麼嚴格的道德的要求
[00:03:16.880 --> 00:03:22.280]  於是乎我們就代表上帝來在這個世界裏面
[00:03:22.280 --> 00:03:25.480]  監察著你們這些基督徒
[00:03:25.480 --> 00:03:29.280]  如果你們做出一些什麼錯誤的時候
[00:03:29.280 --> 00:03:34.480]  那我們就真的很嚴厲地去指出你們的問題
