
[00:00:00.000 --> 00:00:04.280]  各位親愛的朋友你們好
[00:00:04.280 --> 00:00:06.920]  多謝各位這麼大雨都來到
[00:00:06.920 --> 00:00:09.520]  我們今天是講健康
[00:00:09.520 --> 00:00:13.520]  上次不知道多少人聽過我講的呢
[00:00:13.520 --> 00:00:16.640]  糟糕了 所以我一直都不能重覆
[00:00:16.640 --> 00:00:20.480]  要重覆你們要舉手 我聽過了
[00:00:20.480 --> 00:00:22.480]  我講完那個故事
[00:00:22.480 --> 00:00:27.640]  我今天講健康是用一連串的F字
[00:00:27.640 --> 00:00:31.520]  F有好有不好不要緊
[00:00:31.520 --> 00:00:34.480]  我們用英文 用好的F
[00:00:34.480 --> 00:00:37.880]  你知道有一首歌我一定要重覆
[00:00:37.880 --> 00:00:38.880]  你們聽過都好
[00:00:38.880 --> 00:00:41.480]  到上下年紀人們就告訴我
[00:00:41.480 --> 00:00:44.680]  通宵麻雀唔捱得 山珍海錯唔照得
[00:00:44.680 --> 00:00:47.880]  腳軟樓梯唔撐得 心事重重唔瞓得
[00:00:47.880 --> 00:00:51.600]  三篤夜尿唔忍得 八卦諸事唔激得
[00:00:51.600 --> 00:00:54.880]  報紙膠袋唔捨得 啱啱講完唔記得
[00:00:54.880 --> 00:00:58.240]  好重是不是呢 所以我們要fit
[00:00:58.240 --> 00:01:00.240]  人不要緊 我有個朋友說
[00:01:00.240 --> 00:01:07.240]  我剛剛送完我爸爸 他107歲才去世
[00:01:07.240 --> 00:01:10.240]  我就幻想了長壽恐懼症
[00:01:10.240 --> 00:01:14.240]  不是 長壽如果健康是非常之好
[00:01:14.240 --> 00:01:18.240]  長壽是神給我們的恩典 是冠冕來的
[00:01:18.240 --> 00:01:20.240]  所以我們要keep fit
[00:01:20.240 --> 00:01:22.240]  第一個是fit
[00:01:22.240 --> 00:01:26.240]  那怎麼fit呢 當然身體要fit
[00:01:26.240 --> 00:01:28.240]  我剛才說你這樣那麼多東西
[00:01:28.240 --> 00:01:31.240]  身體要衰敗的時候 怎麼fit呢
[00:01:31.240 --> 00:01:35.240]  fit健康有四個字
[00:01:35.240 --> 00:01:37.240]  第一個health staying
[00:01:37.240 --> 00:01:40.240]  就是你保持著年紀一直長 成長
[00:01:40.240 --> 00:01:43.240]  一齊keep住 那就叫staying health
[00:01:43.240 --> 00:01:45.240]  第二呢 沒那麼好
[00:01:45.240 --> 00:01:47.240]  feeling開始差了
[00:01:47.240 --> 00:01:50.240]  但是有些退化 不緊要
[00:01:50.240 --> 00:01:52.240]  有些人就病了
[00:01:52.240 --> 00:01:54.240]  叫做A0病
[00:01:54.240 --> 00:01:57.240]  最嚴重disabling就是癱瘓
[00:01:57.240 --> 00:01:59.240]  但是否一定這樣走下去
[00:01:59.240 --> 00:02:02.240]  當然不是 我就加了一步叫做improving
[00:02:02.240 --> 00:02:05.240]  根本人的健康 如果知道有一個人說
[00:02:05.240 --> 00:02:07.240]  早知道我可以活到那麼大年紀
[00:02:07.240 --> 00:02:10.240]  I would have taken better care of myself
[00:02:10.240 --> 00:02:13.240]  我就會對自己好一點 照顧得自己好一點
[00:02:13.240 --> 00:02:16.240]  沒錯 現在很多是預防疾病的方法
[00:02:16.240 --> 00:02:20.240]  做自己健康一點的方法
[00:02:20.240 --> 00:02:22.240]  所以是重要的
[00:02:22.240 --> 00:02:25.240]  所有的運動 重要的大量運動
[00:02:25.240 --> 00:02:27.240]  有紀律的生活
[00:02:27.240 --> 00:02:29.240]  然後吃得恰當
[00:02:29.240 --> 00:02:31.240]  有些人吃得不恰當
[00:02:31.240 --> 00:02:33.240]  我有個朋友 這是做工的
[00:02:33.240 --> 00:02:37.240]  中環的高級白領
[00:02:37.240 --> 00:02:41.240]  他說我要快 所以每餐去某間記
[00:02:41.240 --> 00:02:44.240]  吃鵝肝醬飯 雙潤腸飯
[00:02:44.240 --> 00:02:49.240]  什麼忌燒鵝 鴨腎等等
[00:02:49.240 --> 00:02:52.240]  我說你糟糕了 你三高
[00:02:52.240 --> 00:02:54.240]  不單止是糖 鹽 油
[00:02:54.240 --> 00:02:57.240]  而且還是preservative
[00:02:57.240 --> 00:03:00.240]  很多防腐劑 沒錯
[00:03:00.240 --> 00:03:03.240]  不是有錢人的專利
[00:03:03.240 --> 00:03:06.240]  還有一個小朋友進大學
[00:03:06.240 --> 00:03:08.240]  我在學校吃飯 吃什麼
[00:03:08.240 --> 00:03:10.240]  他說現在吃得很好
[00:03:10.240 --> 00:03:12.240]  不吃媽媽煮的那些淡淡的東西
[00:03:12.240 --> 00:03:14.240]  我現在吃什麼呢
[00:03:14.240 --> 00:03:16.240]  每餐吃公仔麵和兩條腸仔
[00:03:16.240 --> 00:03:18.240]  一天吃四盒檸檬茶
[00:03:18.240 --> 00:03:20.240]  米線加六粒魚丸
[00:03:20.240 --> 00:03:22.240]  我說恭喜你
[00:03:22.240 --> 00:03:24.240]  你在破壞你的身體
[00:03:24.240 --> 00:03:28.240]  所以去年十一月
[00:03:28.240 --> 00:03:31.240]  有報紙說香港人的生活習慣
