
[00:00:00.000 --> 00:00:03.360]  各位電視節目的觀眾 我想問問大家一個問題
[00:00:03.360 --> 00:00:12.720]  有多少個時候小時候是被爸爸、媽媽、爺爺或者阿媽打過的
[00:00:12.720 --> 00:00:17.120]  可不可以舉手啊 嘩 這麼多
[00:00:17.120 --> 00:00:20.960]  第二個問題想問大家
[00:00:20.960 --> 00:00:24.320]  有多少人是有小孩的
[00:00:24.320 --> 00:00:28.160]  可不可以舉手啊 有子女的 嘩 又是很多
[00:00:28.160 --> 00:00:32.720]  有多少人是曾經看伐過你的子女的
[00:00:32.720 --> 00:00:37.440]  打過他們的 舉手 嘩 很多
[00:00:37.440 --> 00:00:41.120]  有一個比例給大家知道的
[00:00:41.120 --> 00:00:44.160]  如果你超過50歲的那些
[00:00:44.160 --> 00:00:52.560]  以前被爸爸、媽媽打 他們叫做很正常
[00:00:52.560 --> 00:00:59.520]  如果你是30歲以下的那些 如果你打子女
[00:00:59.520 --> 00:01:06.000]  你隨時可能會被警告 不要再打
[00:01:06.000 --> 00:01:10.240]  再打的時候可能會惹上官非
[00:01:10.240 --> 00:01:14.240]  這個報告是美國那邊調查得來的結果
[00:01:14.240 --> 00:01:16.960]  但實際上在今天的香港一樣
[00:01:16.960 --> 00:01:23.760]  如果學校的老師、社工知道那些學生曾經被父母打過
[00:01:23.760 --> 00:01:29.120]  打到臉上有一點點瘀瘀的
[00:01:29.120 --> 00:01:32.400]  你很麻煩的 告訴大家
[00:01:32.400 --> 00:01:35.840]  我記得我自己在大陸偷渡出來之後
[00:01:35.840 --> 00:01:39.760]  最新鮮熱辣的一個經歷
[00:01:39.760 --> 00:01:47.480]  就是曾經因為和那條村的青少年不熟
[00:01:47.480 --> 00:01:50.240]  不熟的時候我發覺我是被排斥的
[00:01:50.240 --> 00:01:53.080]  被排斥的時候 他們自己一群人
[00:01:53.080 --> 00:01:57.680]  就很容易和我之間會有些言語上的衝突
[00:01:57.680 --> 00:02:03.600]  言語的衝突很自然 接著就是出手打架
[00:02:03.600 --> 00:02:08.800]  我記得我第一次的時候 我不禁被人侮辱
[00:02:08.800 --> 00:02:13.680]  所以就打他 誰知道麻煩的就是那次
[00:02:13.680 --> 00:02:19.440]  雖然我一個打兩個 我竟然打贏了他們
[00:02:19.440 --> 00:02:23.200]  麻煩的就是因為打完那次之後
[00:02:23.200 --> 00:02:26.560]  其中一個被我打得挺厲害的人
[00:02:26.560 --> 00:02:33.080]  帶著他父母去我家投訴他的兒子被我打
[00:02:33.080 --> 00:02:34.200]  結果是怎麼樣呢?
[00:02:34.200 --> 00:02:39.960]  當著這麼多人的面前 我爸爸兩巴打了我
[00:02:39.960 --> 00:02:42.520]  我當時很生氣
[00:02:42.520 --> 00:02:45.200]  到底這個爸爸是我的爸爸呢?
[00:02:45.200 --> 00:02:49.200]  還是他的爸爸呢?我很生氣
[00:02:49.200 --> 00:02:52.880]  但是那次的生氣都比不上另一次
[00:02:52.880 --> 00:02:56.920]  這個人他就約了一幫人來埋伏我
[00:02:56.920 --> 00:03:01.240]  那次的埋伏就是當我有一次放學
[00:03:01.240 --> 00:03:05.080]  回家途中就被他們一幫人衝上來
[00:03:05.080 --> 00:03:07.320]  有一個是用石頭來扔我
[00:03:07.320 --> 00:03:11.560]  扔到我這裡流血、瘀了
[00:03:11.560 --> 00:03:15.640]  到現在還有一個疤痕 我給大家知道
[00:03:15.640 --> 00:03:21.880]  我當時掩著那個傷痕回家
[00:03:21.880 --> 00:03:26.120]  回家的時候 爸爸看到我這裡有一個傷痕
[00:03:26.120 --> 00:03:29.640]  只問了一句 做什麼呀?又打架呀?
[00:03:29.640 --> 00:03:32.960]  一巴打過來 另外一邊
[00:03:32.960 --> 00:03:38.640]  我當時的感受就很強烈
[00:03:38.640 --> 00:03:41.440]  這個強烈是什麼呢?
[00:03:41.440 --> 00:03:44.920]  就是我發覺這個爸爸真的不是我的爸爸
[00:03:44.920 --> 00:03:47.640]  我就以為回到家的時候 他知道我被人打
[00:03:47.640 --> 00:03:50.200]  就帶著我回到那個人家裡
[00:03:50.200 --> 00:03:53.680]  然後說 你的兒子 你打成我的兒子這樣這樣
[00:03:53.680 --> 00:03:56.400]  我覺得這件事很正常
[00:03:56.400 --> 00:03:58.400]  但是誰知道他說了一句話
[00:03:58.400 --> 00:04:03.120]  我打你不是因為你打贏或者打輸
[00:04:03.120 --> 00:04:06.560]  我打你是因為你打架
[00:04:06.560 --> 00:04:12.160]  這一句話在我的心目中
[00:04:12.160 --> 00:04:18.640]  四十多年、五十多年
[00:04:18.640 --> 00:04:20.560]  仍然留在腦子裡
[00:04:20.560 --> 00:04:25.840]  五十多年的時間仍然留在腦子裡
[00:04:25.840 --> 00:04:31.240]  但是這句話 以前我不懂得欣賞
[00:04:31.240 --> 00:04:36.600]  到我慢慢長大 我開始懂得欣賞
[00:04:36.600 --> 00:04:38.520]  這個欣賞是什麼呢?
[00:04:38.520 --> 00:04:42.720]  這個欣賞是給我很清楚的資訊
[00:04:42.720 --> 00:04:45.680]  不可以打架
[00:04:45.680 --> 00:04:50.040]  無論什麼都好 不要用暴力
