
[00:00:00.000 --> 00:00:03.000]  (看著第七章)
[00:00:03.000 --> 00:00:08.000]  羅馬書第七章 羅馬書三章一至八節
[00:00:08.000 --> 00:00:13.000]  我給他今天的題目是神的真實和人的虛方
[00:00:13.000 --> 00:00:18.000]  喂!你說新年啊牧師 為什麼說這樣的題目呢?
[00:00:18.000 --> 00:00:24.000]  其實你想想在新的一年 有什麼事比將神放在首位
[00:00:24.000 --> 00:00:29.000]  高舉神的真實性 高舉神的信實
[00:00:29.000 --> 00:00:33.000]  在新的一年有什麼比這個主題更加好呢?
[00:00:33.000 --> 00:00:40.000]  相對來說我們還是要小心 因為聖經告訴我們每個人都是虛方
[00:00:40.000 --> 00:00:45.000]  所以這成為我們新一年的座右銘
[00:00:45.000 --> 00:00:50.000]  幫助我們在新的一年做一個更加好的基督徒
[00:00:50.000 --> 00:00:55.000]  其實神的真實和人的虛方
[00:00:55.000 --> 00:00:59.000]  在羅馬書三章一至八節 一共出現了兩次
[00:00:59.000 --> 00:01:02.000]  在四節和七節都有重複
[00:01:02.000 --> 00:01:08.000]  所以絕對在這個部分就是主題
[00:01:08.000 --> 00:01:14.000]  其實羅馬書一章和二章 保羅已經很清楚告訴我們
[00:01:14.000 --> 00:01:16.000]  每一個人都是罪人
[00:01:16.000 --> 00:01:19.000]  但是在這個部分保羅再次提醒我們
[00:01:19.000 --> 00:01:22.000]  我們每個人都是虛方的
[00:01:22.000 --> 00:01:25.000]  但是神就是真實的
[00:01:25.000 --> 00:01:30.000]  在這個部分保羅提出了一共有三個問題
[00:01:30.000 --> 00:01:34.000]  這就是我們今天要說的三個問題
[00:01:34.000 --> 00:01:40.000]  其實我們看到這三個問題 是猶太人攻擊保羅的話語
[00:01:40.000 --> 00:01:46.000]  猶太人聽了保羅的教導 他們說保羅攻擊三件事
[00:01:46.000 --> 00:01:51.000]  第一 他們說保羅攻擊神的子民 神的選民
[00:01:51.000 --> 00:01:56.000]  第二 保羅是攻擊神的英許 攻擊神的話語
[00:01:56.000 --> 00:02:02.000]  第三 保羅是攻擊神的公義 攻擊神的聖潔
[00:02:02.000 --> 00:02:07.000]  這三個指控都是非常嚴重的指控
[00:02:07.000 --> 00:02:10.000]  其實這些指控不是新的
[00:02:10.000 --> 00:02:13.000]  我們剛剛才讀完《使徒行傳》
[00:02:13.000 --> 00:02:20.000]  《使徒行傳》已經是攻擊保羅 攻擊猶太人
[00:02:20.000 --> 00:02:27.000]  攻擊神的子民 攻擊神的話語 攻擊神的聖潔
[00:02:27.000 --> 00:02:32.000]  我們一起看看《使徒行傳》的21章28節
[00:02:32.000 --> 00:02:36.000]  他們說 『這就是在各處教訓眾人
[00:02:36.000 --> 00:02:39.000]  糟踐我們百姓和律法
[00:02:39.000 --> 00:02:44.000]  並且地方的他又帶著希利尼人進殿
[00:02:44.000 --> 00:02:46.000]  污衊了這聖地』
[00:02:46.000 --> 00:02:50.000]  有沒有看到是圍繞著這三件事
[00:02:50.000 --> 00:02:54.000]  說保羅攻擊神的百姓 攻擊神的律法
[00:02:54.000 --> 00:02:56.000]  就是神的話語 是不是?
[00:02:56.000 --> 00:02:59.000]  還帶領外邦人進入聖殿
[00:02:59.000 --> 00:03:04.000]  污衊了神的聖殿 就是攻擊神的聖潔
[00:03:04.000 --> 00:03:08.000]  其實這樣的指控也不單止是給保羅
[00:03:08.000 --> 00:03:11.000]  早在史提反的時候也是一樣
[00:03:11.000 --> 00:03:14.000]  《使徒行傳》的6章13節
[00:03:14.000 --> 00:03:18.000]  當史提反罵百姓的時候
[00:03:18.000 --> 00:03:22.000]  百姓就作假見證 反駁
[00:03:22.000 --> 00:03:23.000]  他們說什麼?
[00:03:23.000 --> 00:03:27.000]  說史提反不住的糟踐聖所和律法
[00:03:27.000 --> 00:03:29.000]  有沒有看到?
[00:03:29.000 --> 00:03:33.000]  史提反罵百姓 百姓就反駁
[00:03:33.000 --> 00:03:36.000]  你罵我們?你哪裡有權罵我們?
[00:03:36.000 --> 00:03:42.000]  你罵神的子民 你糟踐神的律法 神的聖所
[00:03:42.000 --> 00:03:45.000]  也是這三件事 一模一樣
[00:03:45.000 --> 00:03:49.000]  在日光之下沒有什麼新的玩意
[00:03:49.000 --> 00:03:54.000]  他們仍然是千篇一律地攻擊神的僕人
[00:03:54.000 --> 00:03:59.000]  其實我也說過在羅馬書的第一章第二章
[00:03:59.000 --> 00:04:03.000]  保羅一早就說過所有人都是罪人
[00:04:03.000 --> 00:04:09.000]  第一章說那些沒有道德標準的外邦人
[00:04:09.000 --> 00:04:12.000]  他們無可推諉 他們是罪人
[00:04:12.000 --> 00:04:14.000]  但他們無可推諉 不認得神
[00:04:14.000 --> 00:04:16.000]  在第二章的頭部
[00:04:16.000 --> 00:04:20.000]  保羅說那些有道德觀念 有道德標準的人
[00:04:20.000 --> 00:04:24.000]  但如果他們的信仰只是外在信仰的話
[00:04:24.000 --> 00:04:26.000]  不能夠救到他們
[00:04:26.000 --> 00:04:29.000]  還有在第二章的尾部
[00:04:29.000 --> 00:04:31.000]  保羅直接指名喚姓
[00:04:31.000 --> 00:04:35.000]  說那些猶太人 阿伯拉罕的後人
[00:04:35.000 --> 00:04:40.000]  如果他們自以為自己和神立約 有神的話語
[00:04:40.000 --> 00:04:43.000]  但如果他們的信仰只是外在信仰的話
[00:04:43.000 --> 00:04:47.000]  一樣是無用 一樣是無可推諉
[00:04:47.000 --> 00:04:50.000]  所以在這樣的情形下
[00:04:50.000 --> 00:04:54.000]  那些猶太人說保羅攻擊神的子民
[00:04:54.000 --> 00:05:00.000]  為什麼?因為以色列人認為他們高於外邦人一等
[00:05:00.000 --> 00:05:05.000]  他們有神的話語 與神立約 他們有國禮
[00:05:05.000 --> 00:05:09.000]  現在保羅說你們和外邦人一樣是罪人
[00:05:09.000 --> 00:05:13.000]  所以猶太人說你是攻擊神的子民
[00:05:13.000 --> 00:05:15.000]  你說我們和外邦人一樣
[00:05:15.000 --> 00:05:18.000]  在這裡保羅做了一個假設的問題
[00:05:18.000 --> 00:05:20.000]  就是這些猶太人會問的
[00:05:20.000 --> 00:05:22.000]  在羅馬書的三章一節
[00:05:22.000 --> 00:05:28.000]  這樣說來猶太人有什麼長處 國禮有什麼益處呢?
[00:05:28.000 --> 00:05:31.000]  這樣的話我們做猶太人還有什麼好處呢?
[00:05:31.000 --> 00:05:34.000]  我們行國禮有什麼好處呢?
[00:05:34.000 --> 00:05:36.000]  保羅告訴我們
[00:05:36.000 --> 00:05:41.000]  的確在歷史當中我們看到做猶太人好像沒有什麼益處
[00:05:41.000 --> 00:05:43.000]  你看到猶太人的歷史
[00:05:43.000 --> 00:05:48.000]  他們是充滿了戰爭 暴力 捆綁 死亡
[00:05:48.000 --> 00:05:52.000]  他們被敵人仇視 逼迫 毀謗
[00:05:52.000 --> 00:05:56.000]  被他們放逐 屠殺 是吧
[00:05:56.000 --> 00:05:58.000]  完全沒有什麼好處
[00:05:58.000 --> 00:06:01.000]  但是野火燒不盡 春風吹又生
[00:06:01.000 --> 00:06:05.000]  神環顧地保守著以色列人
[00:06:05.000 --> 00:06:08.000]  不讓他們滅亡
[00:06:08.000 --> 00:06:11.000]  雖然有這麼多的人 這麼多的國家
[00:06:11.000 --> 00:06:13.000]  要將猶太人滅族
[00:06:13.000 --> 00:06:16.000]  就在這個這麼小的地方
[00:06:16.000 --> 00:06:21.000]  神一次又一次准許猶太人 以色列人重建他們的國家
[00:06:21.000 --> 00:06:23.000]  有人可能會問
[00:06:23.000 --> 00:06:28.000]  為什麼身為神的子民猶太人會受到這麼大的逼迫
[00:06:28.000 --> 00:06:30.000]  你們有沒有想過這個問題呢?
[00:06:30.000 --> 00:06:32.000]  你想想撒旦
[00:06:32.000 --> 00:06:39.000]  當他知道耶穌基督將會是以猶太人的身份出生在猶大地
[00:06:39.000 --> 00:06:40.000]  他會怎樣做呢?
[00:06:40.000 --> 00:06:44.000]  他會意圖阻止耶穌基督的出生
[00:06:44.000 --> 00:06:47.000]  所以他會攻擊猶太人 是吧
[00:06:47.000 --> 00:06:49.000]  不斷地攻擊他們
[00:06:49.000 --> 00:06:52.000]  但是你說現在耶穌基督已經出生了
[00:06:52.000 --> 00:06:56.000]  為什麼撒旦還要攻擊猶太人呢?
[00:06:56.000 --> 00:07:01.000]  因為撒旦知道神給猶太人有應許
[00:07:01.000 --> 00:07:06.000]  他們將來地上有一個實實在在的王朝
[00:07:06.000 --> 00:07:09.000]  有一位王就是尼塞亞耶穌基督
[00:07:09.000 --> 00:07:14.000]  他將會回來掌權有個永恆的國
[00:07:14.000 --> 00:07:18.000]  所有經過七年大災難的以色列人
[00:07:18.000 --> 00:07:21.000]  不死的他們都會得救
[00:07:21.000 --> 00:07:23.000]  你想想如果你是撒旦
[00:07:23.000 --> 00:07:25.000]  你知道有這樣的應許
[00:07:25.000 --> 00:07:26.000]  你會怎樣做呢?
[00:07:26.000 --> 00:07:28.000]  你希望不會實現 是吧
[00:07:28.000 --> 00:07:31.000]  你會去攻擊猶太人
[00:07:31.000 --> 00:07:33.000]  這個就是原因
[00:07:33.000 --> 00:07:37.000]  為什麼猶太人不斷地被人攻擊
[00:07:37.000 --> 00:07:41.000]  我們不妨看看有什麼攻擊
[00:07:41.000 --> 00:07:43.000]  其實在舊約的時候已經開始
[00:07:43.000 --> 00:07:47.000]  猶太人在埃及做了四百年的奴隸
[00:07:47.000 --> 00:07:49.000]  非常卑微
[00:07:49.000 --> 00:07:51.000]  最後他們出了埃及
[00:07:51.000 --> 00:07:55.000]  但又在曠野漂流了四十年
[00:07:55.000 --> 00:07:57.000]  無家可歸
[00:07:57.000 --> 00:07:59.000]  第一代的以色列人
[00:07:59.000 --> 00:08:02.000]  因為他們不肯進入迦南地
[00:08:02.000 --> 00:08:05.000]  以致他們全部第一代都死在曠野
[00:08:05.000 --> 00:08:08.000]  除了迦納和約書亞
[00:08:08.000 --> 00:08:11.000]  進入迦南地之後
[00:08:11.000 --> 00:08:15.000]  他們因為不能將所有的敵人趕出去
