
[00:00:00.000 --> 00:00:04.240]  我非常感恩今天可以見證你們的長老安立
[00:00:04.240 --> 00:00:08.000]  和見證你們第一次的聯合師班的獻唱
[00:00:08.000 --> 00:00:12.800]  我相信神在平安方堂你們的聯堂裏面
[00:00:12.800 --> 00:00:14.800]  要繼續使用你們
[00:00:14.800 --> 00:00:20.320]  我其實二十多年前就開始和平安方堂有接觸
[00:00:20.320 --> 00:00:24.000]  我記得1995年我就開始
[00:00:24.000 --> 00:00:27.440]  然後陸陸續續有機會在你們不同的堂會
[00:00:27.440 --> 00:00:30.000]  有時帶領一些訓練
[00:00:30.000 --> 00:00:33.600]  傳導人的講道訓練和一些下令會
[00:00:33.600 --> 00:00:38.560]  我非常感激你們的邀請
[00:00:38.560 --> 00:00:44.080]  和我們看見平安方堂你們在神的道統
[00:00:44.080 --> 00:00:50.240]  道的傳統上面是非常專注和執著
[00:00:50.240 --> 00:00:55.600]  我真的盼望神在末日的時代能夠繼續使用你們
[00:00:55.600 --> 00:01:00.400]  在這個世代能夠成為真道的傳播
[00:01:00.400 --> 00:01:04.800]  和神恩典的明燈
[00:01:04.800 --> 00:01:06.800]  好像前兩晚一樣
[00:01:06.800 --> 00:01:10.160]  我會介紹大家唱一首回應詩歌
[00:01:10.160 --> 00:01:13.680]  這首歌叫做《猜我》
[00:01:13.680 --> 00:01:19.200]  我們請詩琴和我們彈副歌
[00:01:19.200 --> 00:01:23.680]  頂姐妹們,你們有沒有試過用一隻眼睛
[00:01:23.680 --> 00:01:28.160]  把一支筆插在一個洞裏面?
[00:01:28.160 --> 00:01:30.080]  插得準不準?
[00:01:30.080 --> 00:01:33.040]  容易嗎?
[00:01:33.040 --> 00:01:35.680]  可能你們沒有試過
[00:01:35.680 --> 00:01:38.080]  試過的人都告訴我們
[00:01:38.080 --> 00:01:40.480]  是插得不準
[00:01:40.480 --> 00:01:44.160]  因為我們自覺的深度
[00:01:44.160 --> 00:01:46.960]  沒有用另一隻眼睛去平衡的時候
[00:01:46.960 --> 00:01:50.960]  就會嚴重受損
[00:01:50.960 --> 00:01:52.960]  頂姐妹們,我們在人世間
[00:01:52.960 --> 00:01:57.600]  有沒有試過用一隻眼睛來看事物?
[00:01:57.600 --> 00:02:02.000]  一隻眼睛,我的意思是屬靈的眼睛
[00:02:02.000 --> 00:02:04.880]  我們會不會只是用地上的眼睛
[00:02:04.880 --> 00:02:11.280]  而忽略了我們要用屬天的靈眼?
[00:02:11.280 --> 00:02:16.960]  我40歲那年就開始腦化
[00:02:16.960 --> 00:02:19.920]  那時候我不明白到底要做什麼
[00:02:19.920 --> 00:02:23.120]  看東西總是模模糊糊的
[00:02:23.120 --> 00:02:25.120]  我一驗的時候
[00:02:25.120 --> 00:02:30.160]  就是40歲那年剛剛腦化開始
[00:02:30.160 --> 00:02:33.680]  開始就戴那種叫做bifocal
[00:02:33.680 --> 00:02:36.160]  中間有一條線
[00:02:36.160 --> 00:02:41.440]  上面看前面,下面看近的
[00:02:41.440 --> 00:02:45.520]  最近我知道香港有一種叫做
[00:02:45.520 --> 00:02:47.520]  年長的醫療券
