
[00:00:00.000 --> 00:00:02.000]  多謝大家 多謝
[00:00:02.000 --> 00:00:06.000]  我知道 講這些講座多數都
[00:00:06.000 --> 00:00:08.840]  給家裏人問 聽了些什麼
[00:00:08.840 --> 00:00:14.400]  你都挺辛苦的 今天你太太不斷問著你
[00:00:14.400 --> 00:00:18.480]  所以我講得很簡潔 令你很容易記
[00:00:18.480 --> 00:00:20.940]  今天都很開心來這裡
[00:00:20.940 --> 00:00:23.680]  因為今天是我整個旅程的最後一次
[00:00:23.680 --> 00:00:25.880]  所以今天很高興來這裡
[00:00:25.880 --> 00:00:30.660]  今天都很開心來這裡 因為今天是我整個旅程的最後一次
[00:00:30.660 --> 00:00:34.820]  第一次講座 算到第17個講座
[00:00:34.820 --> 00:00:37.360]  在波特蘭和西雅圖
[00:00:37.360 --> 00:00:40.080]  這次是主持中心 我是他們的董事
[00:00:40.080 --> 00:00:43.440]  他們25週年就約了我來這裡
[00:00:43.440 --> 00:00:45.840]  來這裡更加好 很方便
[00:00:45.840 --> 00:00:48.620]  這個題目我收到的時候都很開心的
[00:00:48.620 --> 00:00:53.560]  因為我覺得這個世紀三個講座是教會最需要的
[00:00:53.560 --> 00:00:57.900]  一個就是講抑鬱症 一個就是講癌症
[00:00:57.900 --> 00:01:01.920]  第三個講男人 我記得Scarborough宣道會
[00:01:01.920 --> 00:01:05.840]  我們搞了一個一天過的男士日
[00:01:05.840 --> 00:01:09.000]  只有男人進去 由早上講到晚上
[00:01:09.000 --> 00:01:12.240]  但是很開心的 男人連廁所都忘記了去
[00:01:12.240 --> 00:01:15.320]  你沒見過一個場合
[00:01:15.320 --> 00:01:19.240]  八個小時男人是不去廁所的 在男士日那裡
[00:01:19.240 --> 00:01:24.280]  因為一輩子從來沒想過自己的處境
[00:01:24.280 --> 00:01:27.180]  想的出路是這麼積極的
[00:01:27.180 --> 00:01:29.880]  今天我選的內容很特別
[00:01:29.880 --> 00:01:33.640]  特別是你講的21世紀男人的角色
[00:01:33.640 --> 00:01:35.640]  之前我收到的題目更刺激
[00:01:35.640 --> 00:01:39.640]  叫我講這個男人還是一家之主媽這個題目
[00:01:39.640 --> 00:01:43.760]  我想了很久 所以你們給我的吸引力很大
[00:01:43.760 --> 00:01:47.560]  這個題目很精彩 簡單來說
[00:01:47.560 --> 00:01:51.880]  如果你看聖經或者想現在男士這個世紀是什麼呢?
[00:01:51.880 --> 00:01:53.700]  你想女人就知道了
[00:01:53.700 --> 00:01:58.160]  或者如果你的女兒快要嫁人你就知道了
[00:01:58.160 --> 00:02:01.480]  你一定有一樣東西批評你的未來女婿
[00:02:01.480 --> 00:02:05.160]  批評的機會很高 就是說 女兒
[00:02:05.160 --> 00:02:09.920]  其實你嫁給一個兒子而已 不是嫁給一個男人
[00:02:09.920 --> 00:02:13.560]  為什麼你還要照顧一個兒子呢?
[00:02:13.560 --> 00:02:17.320]  你看到你的未來女婿你不開胃
[00:02:17.320 --> 00:02:21.400]  其實他只是一個小孩子 他什麼都不會做的
[00:02:21.400 --> 00:02:24.000]  什麼都不會 他連拿筷子都不會
[00:02:24.000 --> 00:02:28.920]  坐在那裡 一起吃 又不會多謝人 又不會收桌子
[00:02:28.920 --> 00:02:31.280]  接著時間到了 人家叫他走了
[00:02:31.280 --> 00:02:33.720]  就問哪個門口走 他又不懂得找
[00:02:33.720 --> 00:02:36.640]  想著想著就覺得 為什麼這麼小的男孩子
[00:02:36.640 --> 00:02:40.560]  是真的 在香港有三個大學生
[00:02:40.560 --> 00:02:44.160]  兩個是女生 兩個是女生
[00:02:44.160 --> 00:02:46.160]  男孩子很多都讀不成書
[00:02:46.160 --> 00:02:47.880]  在中一已經知道讀不成書了
[00:02:47.880 --> 00:02:50.240]  當然你說打遊戲機那些玩的 但問題就是
[00:02:50.240 --> 00:02:54.040]  心智不成熟的 如果你今天搞定這個問題
[00:02:54.040 --> 00:02:59.560]  教會會很大翻身 我在神學院教的信義代
