
[00:00:00.000 --> 00:00:02.000]  再一次同心 我們一同祈禱
[00:00:02.000 --> 00:00:03.000]  天父 我們再一次感謝祢
[00:00:03.000 --> 00:00:06.000]  讓祢寶貴的話語作為我們生命的指引
[00:00:06.000 --> 00:00:12.000]  求祢藉著祢的話語去提醒 勸勉 教導 安慰 督責 挑戰 改變我們
[00:00:12.000 --> 00:00:16.000]  讓我們能夠容得下祢的話語 改變我們的生命
[00:00:16.000 --> 00:00:19.000]  祈禱奉耶穌基督名求 阿們
[00:00:19.000 --> 00:00:22.000]  萬子說過一句話
[00:00:22.000 --> 00:00:29.000]  天將降大任於斯人也 必先勞其筋骨 餓其體膚 控罰其身
[00:00:29.000 --> 00:00:33.000]  我想萬子說的這句話也很有道理
[00:00:33.000 --> 00:00:38.000]  如果我們一個從未曾經歷過風浪
[00:00:38.000 --> 00:00:43.000]  又在溫室長大 沒什麼人生閱歷
[00:00:43.000 --> 00:00:48.000]  其實我們很難去了解一些在痛苦中掙扎的人
[00:00:48.000 --> 00:00:52.000]  一些牙醫如果自己牙痛過
[00:00:52.000 --> 00:00:57.000]  他特別會緊親那些病人
[00:00:57.000 --> 00:01:00.000]  一個醫生經歷過大的痛楚
[00:01:00.000 --> 00:01:03.000]  可能他的體症有所不同
[00:01:03.000 --> 00:01:06.000]  但很可惜在今天這個社會裡
[00:01:06.000 --> 00:01:08.000]  我們所謂的成功神學
[00:01:08.000 --> 00:01:10.000]  往往是告訴人
[00:01:10.000 --> 00:01:11.000]  如果你信耶穌的時候
[00:01:11.000 --> 00:01:13.000]  你會凡事順利 一無牽掛
[00:01:13.000 --> 00:01:15.000]  樣樣都會安安定定
[00:01:15.000 --> 00:01:19.000]  我們會很多時候用這些所謂的成功神學
[00:01:19.000 --> 00:01:21.000]  來吸引人信耶穌
[00:01:21.000 --> 00:01:25.000]  其實這是對基督教一個很大很大的錯誤
[00:01:25.000 --> 00:01:27.000]  基督教最精彩的地方
[00:01:27.000 --> 00:01:31.000]  不是上帝為我們預備一條很平坦的道路
[00:01:31.000 --> 00:01:32.000]  叫我們因然渡過
[00:01:32.000 --> 00:01:35.000]  基督教最重要最精彩的地方
[00:01:35.000 --> 00:01:37.000]  是給我們一個不同的眼光
[00:01:37.000 --> 00:01:39.000]  去看面對面前
[00:01:39.000 --> 00:01:43.000]  面前裡面無論多大的風雨多大的崎嶇路
[00:01:43.000 --> 00:01:47.000]  都叫我們勇往直前永不退縮
[00:01:47.000 --> 00:01:51.000]  這就是基督教給我們一個很大的恩典
[00:01:51.000 --> 00:01:54.000]  我經常說一個成功的父母
[00:01:54.000 --> 00:01:57.000]  不是說他兒女預備一些平坦的道路
[00:01:57.000 --> 00:01:59.000]  因然渡過 不是
[00:01:59.000 --> 00:02:05.000]  而是用時間用他的生命去訓練他的兒女
[00:02:05.000 --> 00:02:08.000]  就算在崎嶇路暴風雨
[00:02:08.000 --> 00:02:11.000]  都永不退縮永不放棄
[00:02:11.000 --> 00:02:14.000]  宿靈的角度看一樣
[00:02:14.000 --> 00:02:18.000]  上帝要做一個使用一個人
[00:02:18.000 --> 00:02:22.000]  一定給他經歷過一些所謂沙漠的經歷
[00:02:22.000 --> 00:02:24.000]  礦野的經歷
[00:02:24.000 --> 00:02:26.000]  在那裡他看到他自己的軟弱
[00:02:26.000 --> 00:02:29.000]  在礦野裡面看到他自己的掙扎
[00:02:29.000 --> 00:02:34.000]  他看到所謂礦野不是說到去到礦野的地方
[00:02:34.000 --> 00:02:38.000]  而是在軟弱失敗跌倒的時候
[00:02:38.000 --> 00:02:41.000]  他看到他自己真的全然已靠神
[00:02:41.000 --> 00:02:44.000]  摩西是有40年的礦野經歷
[00:02:44.000 --> 00:02:46.000]  以利亞是有
[00:02:46.000 --> 00:02:51.000]  當他說我怎能夠去勝過我的列祖
[00:02:51.000 --> 00:02:54.000]  於是去到荷蒂山在礦野裡面的經歷
[00:02:54.000 --> 00:02:56.000]  約翰是從礦野出來
[00:02:56.000 --> 00:02:58.000]  礦野的聲音呼叫說
[00:02:58.000 --> 00:03:00.000]  預備住這裡收敵他的路
[00:03:00.000 --> 00:03:05.000]  耶穌基督出來傳到礦野裡面40晝夜受試探
[00:03:05.000 --> 00:03:08.000]  保羅是經過三年阿拉伯的礦野經歷
[00:03:08.000 --> 00:03:09.000]  沙漠經歷
[00:03:09.000 --> 00:03:12.000]  才給他看到一個很不同的角度
[00:03:12.000 --> 00:03:13.000]  同樣的
