
[00:00:00.000 --> 00:00:06.280]  大家講道雖然隔空氣
[00:00:06.280 --> 00:00:09.800]  第一次來貴家會講道
[00:00:09.800 --> 00:00:12.160]  應該是第二次了
[00:00:12.160 --> 00:00:13.080]  我忘記了
[00:00:13.080 --> 00:00:14.200]  開始老人痴呆了
[00:00:14.200 --> 00:00:14.600]  OK
[00:00:14.600 --> 00:00:15.680]  Anyway
[00:00:15.680 --> 00:00:17.400]  算是認識了
[00:00:17.400 --> 00:00:20.960]  總之在這個情況之下
[00:00:20.960 --> 00:00:22.800]  我們依然能夠敬拜神
[00:00:22.800 --> 00:00:24.080]  這個都是感恩的
[00:00:24.080 --> 00:00:25.800]  好
[00:00:25.800 --> 00:00:28.200]  我們今天就講一下故事
[00:00:28.200 --> 00:00:32.480]  兩個人兩個女人都面對一些困境
[00:00:32.480 --> 00:00:35.360]  我們看看他們的選擇
[00:00:35.360 --> 00:00:37.720]  他們都不是完美的選擇
[00:00:37.720 --> 00:00:39.800]  不過神也有恩典
[00:00:39.800 --> 00:00:44.240]  希望他們的際遇都成為我們一些鼓勵
[00:00:44.240 --> 00:00:47.000]  我們開始的時候再做一個禱告
[00:00:47.000 --> 00:00:49.600]  主耶穌我們都去到祢的面前
[00:00:49.600 --> 00:00:52.720]  知道人生會遇著很多的困局
[00:00:52.720 --> 00:00:55.760]  有時候我們想辦法去解決
[00:00:55.760 --> 00:00:58.240]  可能越搞就越複雜
[00:00:58.240 --> 00:01:02.440]  幫助我們應該行動的時候我們去行動
[00:01:02.440 --> 00:01:05.440]  應該等待的時候我們去等待
[00:01:05.440 --> 00:01:07.240]  給我們智慧去分辨
[00:01:07.240 --> 00:01:11.520]  什麼是最適合我們需要做的
[00:01:11.520 --> 00:01:13.600]  在一切的困局之中
[00:01:13.600 --> 00:01:15.480]  求祢幫助我們知道
[00:01:15.480 --> 00:01:18.720]  祢要給我們的是盼望、勇氣
[00:01:18.720 --> 00:01:21.320]  我們將今天一段聽到的時間交託
[00:01:21.320 --> 00:01:24.120]  禱告奉耶穌基督命
