
[00:00:00.000 --> 00:00:05.440]  好,很高興又來到大家當中
[00:00:05.440 --> 00:00:08.360]  去年是晚上,今天是早上
[00:00:08.360 --> 00:00:10.760]  其實我也是早上人
[00:00:10.760 --> 00:00:14.000]  所以早上對我都是好事
[00:00:14.000 --> 00:00:20.240]  最初我知道的題目是《認見神》
[00:00:20.240 --> 00:00:21.800]  你們鄭牧師跟我說
[00:00:21.800 --> 00:00:23.400]  不過最初想的時候
[00:00:23.400 --> 00:00:26.960]  第一不知道你們讀阿摩斯書還是靈修
[00:00:26.960 --> 00:00:30.520]  第二也不知道你們看很多啟示錄的東西
[00:00:30.520 --> 00:00:34.040]  是不是晚上的講完都是講啟示錄的
[00:00:34.040 --> 00:00:37.520]  暫時是,剛才也說了
[00:00:37.520 --> 00:00:38.920]  第六第七章
[00:00:38.920 --> 00:00:41.560]  一會兒說到三分之一的人死了
[00:00:41.560 --> 00:00:43.480]  一頸血
[00:00:43.480 --> 00:00:45.600]  可能都是一些很可怕的事情
[00:00:45.600 --> 00:00:46.920]  我不知道這些事情
[00:00:46.920 --> 00:00:48.840]  所以我計劃的時候
[00:00:48.840 --> 00:00:52.960]  計劃得比較沒有那麼恐怖的
[00:00:52.960 --> 00:00:54.760]  我給你看看詩篇
[00:00:54.760 --> 00:00:57.920]  所以我想我這次
[00:00:57.920 --> 00:01:00.600]  跟晚堂的講完的分工合作
[00:01:00.600 --> 00:01:03.760]  可能就是晚堂那個嚇你一頓死
[00:01:03.760 --> 00:01:06.680]  早堂就給你一點安慰
[00:01:06.680 --> 00:01:11.040]  我們今天就看詩篇第一篇
[00:01:11.040 --> 00:01:12.320]  由詩篇第一篇開始
[00:01:12.320 --> 00:01:16.120]  有聖經揭開它
[00:01:16.120 --> 00:01:17.600]  《認見神》
[00:01:17.600 --> 00:01:20.560]  我不知道你想到些甚麼
[00:01:20.560 --> 00:01:25.520]  是不是一種很嚴肅艱鉅的東西
[00:01:25.520 --> 00:01:29.840]  我發覺你們的刑策
[00:01:29.840 --> 00:01:30.720]  很特別
[00:01:30.720 --> 00:01:33.120]  你們的刑策有一個很特別的地方
[00:01:33.120 --> 00:01:36.000]  就是刑策是沒有時間表的
[00:01:36.000 --> 00:01:38.320]  即是說你們現在聽多久
[00:01:38.320 --> 00:01:40.680]  好像我講到吃午餐都可以
[00:01:40.680 --> 00:01:41.640]  有的嗎?
