
[00:00:00.000 --> 00:00:05.000]  大家好 打風都來一定不是小事
[00:00:05.000 --> 00:00:08.640]  很厲害 如果真的打風打得成
[00:00:08.640 --> 00:00:12.540]  都不怕 下次我們還有下個星期天講的
[00:00:12.540 --> 00:00:17.200]  父愛 如果你聽不夠 下次繼續來
[00:00:17.200 --> 00:00:21.280]  或者今天答不夠 下次繼續答夠
[00:00:21.280 --> 00:00:25.420]  但是有一個 我想我都沒有告訴你一件事
[00:00:25.420 --> 00:00:27.720]  就是本來我是有禮物送給你的
[00:00:27.720 --> 00:00:30.240]  就是剛才錢同蠻有沒有書呢
[00:00:30.240 --> 00:00:33.880]  有一本書叫做《品格EQ》
[00:00:33.880 --> 00:00:38.040]  是你的禮物 講明這本書是沒得賣的 是送的
[00:00:38.040 --> 00:00:44.920]  這本書是我三年前就曾經去觀察
[00:00:44.920 --> 00:00:49.500]  還有留意了有三十多個新人
[00:00:49.500 --> 00:00:55.060]  他們在小學拿到學校最佳的品行分
[00:00:55.060 --> 00:00:58.280]  後來我就做了一個品格演講節
[00:00:58.280 --> 00:01:02.520]  是他們的演講稿來的
[00:01:02.520 --> 00:01:07.700]  是小朋友寫給我的 研究他為什麼可以這麼特別
[00:01:07.700 --> 00:01:11.520]  人家頑皮的 為什麼他這麼好呢
[00:01:11.520 --> 00:01:14.640]  什麼原因使他今天可以變成這樣呢
[00:01:14.640 --> 00:01:18.920]  他們上台演講 還有將他們的心得寫給我
[00:01:18.920 --> 00:01:22.680]  編了一本書 如果你下次來
[00:01:22.680 --> 00:01:26.740]  看我夠不夠力 可能我請一百本送給你們
[00:01:26.740 --> 00:01:31.020]  你可以回去將這些真人真故事
[00:01:31.020 --> 00:01:33.360]  講給你的子女聽
[00:01:33.360 --> 00:01:35.800]  但是也有一樣東西今天要想
[00:01:35.800 --> 00:01:38.260]  今天是一個很研究的題目來的
[00:01:38.260 --> 00:01:43.260]  希望不會很悶 就是講究竟媽媽的母愛
[00:01:43.260 --> 00:01:45.580]  有什麼品格的教材
[00:01:45.580 --> 00:01:49.280]  我相信今天坐在這裡 很難得有些丈夫在這裡
[00:01:49.280 --> 00:01:52.600]  今天一定要請你太太煮給他吃
[00:01:52.600 --> 00:01:55.560]  你出不了街 原來那個太太這麼重要
[00:01:55.560 --> 00:01:58.860]  其實不是我們專門講的母愛先
[00:01:58.860 --> 00:02:01.780]  父愛第二 就是父愛第二的意思 不是這個意思
[00:02:01.780 --> 00:02:06.940]  而是媽媽的影響力是要先留意的
[00:02:06.940 --> 00:02:11.200]  如果媽媽做不到 就要爸爸做了
[00:02:11.200 --> 00:02:15.140]  我做了輔導很多年了 我做了40年了
[00:02:15.140 --> 00:02:19.460]  我教的學生已經是草心圃了
[00:02:19.460 --> 00:02:21.960]  或者做了阿爺的那些學生
[00:02:21.960 --> 00:02:24.240]  在1970年代多的時代
[00:02:24.240 --> 00:02:26.880]  所以我經常去講座 很多人都走過來
[00:02:26.880 --> 00:02:30.460]  跟我打招呼 我小時候你教過我
[00:02:30.460 --> 00:02:33.020]  最可怕的就是我爸爸你教過我
[00:02:33.020 --> 00:02:36.460]  我說小聲一點講
[00:02:36.460 --> 00:02:41.340]  教了40年都很開心 做了社工
[00:02:41.340 --> 00:02:44.380]  做社工的時候我還教了三年小學
[00:02:44.380 --> 00:02:46.380]  所以我年紀相當大
[00:02:46.380 --> 00:02:50.260]  但是現在我看政都沒有看了 我的弟子看
[00:02:50.260 --> 00:02:53.280]  有時候他們都會徵詢我的意見
[00:02:53.280 --> 00:02:56.200]  比如有些很難搞的問題
[00:02:56.200 --> 00:02:58.080]  我現在都相信一件事
[00:02:58.080 --> 00:03:01.020]  就是小孩子不用見輔導的
[00:03:01.020 --> 00:03:05.280]  10歲之前的輔導他媽媽
[00:03:05.280 --> 00:03:07.920]  已經九成解決了問題
[00:03:07.920 --> 00:03:11.220]  搞定了爸爸 今天真的不用來的
[00:03:11.220 --> 00:03:12.780]  所以很多時候我都說
[00:03:12.780 --> 00:03:15.720]  人家打電話問小孩子生日 我說不用來的
[00:03:15.720 --> 00:03:18.780]  他說真的假的 你不信試一下
[00:03:18.780 --> 00:03:20.980]  我成功率真的百分百
[00:03:20.980 --> 00:03:22.740]  我是沒有見過小孩子
[00:03:22.740 --> 00:03:24.920]  但是小孩子的問題是解決了的
[00:03:24.920 --> 00:03:28.820]  所以我來說 那不就是千古罪人了 媽媽
[00:03:28.820 --> 00:03:32.100]  所以就不能怪媽媽 因為媽媽沒有學過
[00:03:32.100 --> 00:03:33.700]  教小孩子的
[00:03:33.700 --> 00:03:38.100]  很多媽媽都承認沒有時間教他 也都不會教他
[00:03:38.100 --> 00:03:39.480]  很多時候我們反問
[00:03:39.480 --> 00:03:42.300]  你生他之前你沒有想過將來沒有時間的嗎?
[00:03:42.300 --> 00:03:44.740]  他說是呀 沒有想過的
[00:03:44.740 --> 00:03:46.900]  這些都是很真實的問題
[00:03:46.900 --> 00:03:49.220]  就是你生的時候你沒有想過
[00:03:49.220 --> 00:03:51.580]  你有多少條件在手
[00:03:51.580 --> 00:03:52.780]  可以教他生小孩
[00:03:52.780 --> 00:03:55.760]  甚至連續生兩三個
[00:03:55.760 --> 00:03:58.520]  都沒有想過你是做不了小組工作者的
[00:03:58.520 --> 00:03:59.980]  你沒有想過這個問題
[00:03:59.980 --> 00:04:02.740]  所以希望今晚你都想一下
[00:04:02.740 --> 00:04:08.340]  有得救的 我希望濃縮了他講的10個重點
[00:04:08.340 --> 00:04:11.660]  每一個我都問你一個問題
[00:04:11.660 --> 00:04:14.460]  你覺得你兒子身上 你女兒身上
[00:04:14.460 --> 00:04:16.140]  看不看到這件事?
[00:04:16.140 --> 00:04:17.940]  我排第一呢 排第一呢
[00:04:17.940 --> 00:04:20.260]  因為我做精神科比較多時間
[00:04:20.260 --> 00:04:22.380]  我看小孩子
[00:04:22.380 --> 00:04:27.060]  看他坐在那裡 走路輕不輕鬆
[00:04:27.060 --> 00:04:31.260]  是排他媽媽的功勞大不大 輕不輕鬆
[00:04:31.260 --> 00:04:35.500]  如果小孩子是很緊張的
[00:04:35.500 --> 00:04:40.060]  眼睛看什麼都是懷疑的眼光
[00:04:40.060 --> 00:04:42.740]  還有走過來見到人
[00:04:42.740 --> 00:04:46.220]  不敢走很近的 就是退的
[00:04:46.220 --> 00:04:49.540]  甚至想和他握握手
[00:04:49.540 --> 00:04:51.900]  他都不敢伸手出來的
[00:04:51.900 --> 00:04:53.980]  這些很緊張的小孩子
[00:04:53.980 --> 00:04:58.500]  這些小孩子很明顯就是他的爸爸媽媽
[00:04:58.500 --> 00:05:01.260]  都是非常謹慎
[00:05:01.260 --> 00:05:04.460]  但是謹慎程度他用得不好
[00:05:04.460 --> 00:05:07.620]  變成無形中小孩子很怕
[00:05:07.620 --> 00:05:11.180]  這種錯做得不好的壓力很大
[00:05:11.180 --> 00:05:15.700]  我現在還在教六歲以上的那些 教EQ
[00:05:15.700 --> 00:05:19.700]  差不多八個小孩子在十個裡面
[00:05:19.700 --> 00:05:22.740]  在第一次認識答錯東西都是哭的
[00:05:22.740 --> 00:05:24.740]  眼水都流出來
[00:05:24.740 --> 00:05:27.460]  特別是玩小組比賽的時候
[00:05:27.460 --> 00:05:30.020]  你看到這些是不輕鬆的小孩子
[00:05:30.020 --> 00:05:34.260]  講明是玩的 玩的
[00:05:34.260 --> 00:05:39.020]  比賽 但是他變成了 如果不行
[00:05:39.020 --> 00:05:41.540]  真的很難接受到的結果是不行的
[00:05:41.540 --> 00:05:44.140]  所以如果你是一個這樣的媽媽
[00:05:44.140 --> 00:05:47.300]  你要留意一下 你的小孩子的眼神
[00:05:47.300 --> 00:05:54.580]  看人家是不是不敢直看 不敢
[00:05:54.580 --> 00:05:59.620]  會不會下巴黏著脖子
[00:05:59.620 --> 00:06:03.260]  如果是這樣的話 很緊張 這個小孩子很緊張
[00:06:03.260 --> 00:06:07.420]  講話是不是很急 甚至是吐一口氣
[00:06:07.420 --> 00:06:11.940]  人家說痴呆症 那些不是痴呆症 是很急
[00:06:11.940 --> 00:06:15.140]  問你剛才說什麼 馬上就不記得
[00:06:15.140 --> 00:06:18.900]  這個小孩子是一個低自尊的小孩子
[00:06:18.900 --> 00:06:21.180]  所以媽媽要做三件事
[00:06:21.180 --> 00:06:24.060]  我開門見山 今天每件事都講很短
[00:06:24.060 --> 00:06:25.580]  但是希望直接講答案
[00:06:25.580 --> 00:06:28.580]  答案就是媽媽少講了三件事
[00:06:28.580 --> 00:06:31.340]  第一件事就是提醒他
[00:06:31.340 --> 00:06:35.460]  你以前上個星期 或者上個月 甚至昨天
[00:06:35.460 --> 00:06:38.980]  甚至剛剛有些事情你做得很好的
[00:06:38.980 --> 00:06:44.660]  要講這些 講一些他覺得光榮的事情
[00:06:44.660 --> 00:06:47.420]  是剛剛發生的 不要講很久
[00:06:47.420 --> 00:06:50.540]  不要說你鷹兒棚比賽冠軍 那些太久了
[00:06:50.540 --> 00:06:53.060]  講一些近一點的 最近的
[00:06:53.060 --> 00:06:57.900]  譬如昨天你幫我擦桌子 很好
[00:06:57.900 --> 00:07:00.900]  真的很賣力的 真是擦幾次
[00:07:00.900 --> 00:07:05.260]  我覺得你很細心 你要講第一件事
[00:07:05.260 --> 00:07:08.020]  第二件事是什麼呢 就是看你的兒子
[00:07:08.020 --> 00:07:11.060]  包括你的女兒都可以 當然兒子都可以的
[00:07:11.060 --> 00:07:14.460]  就是我覺得你的樣子很漂亮
[00:07:14.460 --> 00:07:17.700]  很多人喜歡見 很多人看見都很喜歡見他
[00:07:17.700 --> 00:07:20.580]  這個漂亮不是比較第二個 不是香港小姐的意思
[00:07:20.580 --> 00:07:26.060]  而是你被人看過去很舒服 很喜歡見你
[00:07:26.060 --> 00:07:29.580]  第三句是什麼呢 就是我問你事情
[00:07:29.580 --> 00:07:35.460]  你肯用腦想一下 你挺喜歡思想的
[00:07:35.460 --> 00:07:38.860]  挺喜歡想一下的 稱讚這三件事
[00:07:38.860 --> 00:07:42.860]  自尊是砰砰聲的飆的 第二天奇怪
[00:07:42.860 --> 00:07:45.380]  一個星期後 你見到你的新人兒經過
[00:07:45.380 --> 00:07:50.020]  你慢慢的講 他看人的眼神是不緊張的
[00:07:50.020 --> 00:07:55.540]  不知下巴的 講話是慢慢講 很清楚的
[00:07:55.540 --> 00:07:58.700]  你治好了他 這些就是媽媽了
[00:07:58.700 --> 00:08:01.340]  如果你說 哇 這麼神奇的
[00:08:01.340 --> 00:08:04.940]  真的可以七天天天都這樣做
[00:08:04.940 --> 00:08:07.340]  只要入學士都可以考到的
[00:08:07.340 --> 00:08:11.540]  但如果你真的不肯這樣做 你的兒子在低自尊
[00:08:11.540 --> 00:08:15.300]  高壓力底下做生意 所以什麼都說 怕怕怕
[00:08:15.300 --> 00:08:18.420]  我不敢 我怕 我怕 我怕 那就很糟糕了
[00:08:18.420 --> 00:08:21.820]  這是第一件事 第二件事就是
[00:08:21.820 --> 00:08:24.900]  媽媽有些什麼事情是爸爸做不到呢
[00:08:24.900 --> 00:08:30.220]  就是媽媽令兒子有獨立的能力
[00:08:30.220 --> 00:08:35.380]  也都反過來說 媽媽是令兒子沒有獨立的能力
[00:08:35.380 --> 00:08:38.300]  都是在他媽那裡
