
[00:00:00.000 --> 00:00:05.500]  各位觀眾 節目早安
[00:00:05.500 --> 00:00:08.900]  今天和大家看啟示錄第12章
[00:00:08.900 --> 00:00:13.440]  我們會按照經文來解釋
[00:00:13.440 --> 00:00:16.940]  雖然這個題目就好像武俠小說航龍復波
[00:00:16.940 --> 00:00:20.500]  航龍獎 事實上是真的
[00:00:20.500 --> 00:00:23.700]  在裏面真的講到有大恐龍
[00:00:23.700 --> 00:00:29.240]  有這個惡魔出來
[00:00:29.240 --> 00:00:32.800]  剛才讀的經文是前面的六節
[00:00:32.800 --> 00:00:34.500]  不過我想大家讀完
[00:00:34.500 --> 00:00:38.800]  然後我一整章去看
[00:00:38.800 --> 00:00:40.800]  這六節我們不再讀了
[00:00:40.800 --> 00:00:44.140]  我們再讀第七到第十節
[00:00:44.140 --> 00:00:45.640]  我們用啟認方式去讀
[00:00:45.640 --> 00:00:47.000]  不是很長的
[00:00:47.000 --> 00:00:50.100]  啟認就是弟兄讀第七節
[00:00:50.100 --> 00:00:51.480]  姐妹讀第八節
[00:00:51.480 --> 00:00:52.740]  我們讀完這章去
[00:00:52.740 --> 00:00:54.320]  好 請弟兄
[00:00:54.320 --> 00:00:57.180]  在天上就有了爭戰
[00:00:57.180 --> 00:01:01.080]  米加勒和他的使者與龍爭戰
[00:01:01.080 --> 00:01:04.780]  龍也與他的使者去爭戰
[00:01:04.780 --> 00:01:13.640]  大龍就算那古石名叫魔鬼
[00:01:13.640 --> 00:01:17.280]  又叫撒達善迷或普天下的
[00:01:17.280 --> 00:01:19.440]  它被摔在地上
[00:01:19.440 --> 00:01:23.140]  他的使者也一同被摔下去
[00:01:23.140 --> 00:01:43.140]  (大龍說話)
[00:01:43.140 --> 00:01:45.040]  弟兄勝過他
[00:01:45.040 --> 00:01:49.740]  是因羔羊的血和自己所見證的毒
[00:01:49.740 --> 00:01:54.140]  他們雖至於死也不愛惜生命
[00:01:54.140 --> 00:02:10.140]  (大龍說話)
[00:02:10.140 --> 00:02:13.440]  龍見自己被摔在地上
[00:02:13.440 --> 00:02:17.340]  就逼迫那生男孩的婦人
[00:02:17.340 --> 00:02:32.840]  (大龍說話)
[00:02:32.840 --> 00:02:35.340]  蛇就在婦人身後
[00:02:35.340 --> 00:02:37.840]  從口中泡出水來
[00:02:37.840 --> 00:02:41.840]  像河一樣要將婦人沖去
[00:02:41.840 --> 00:02:48.240]  (大龍說話)
[00:02:48.240 --> 00:02:50.640]  龍向婦人發怒
[00:02:50.640 --> 00:02:53.940]  與其他兒女爭戰
[00:02:53.940 --> 00:02:57.240]  這兒女就是那守神誡命
[00:02:57.240 --> 00:02:59.640]  為耶穌作見證的
[00:02:59.640 --> 00:03:03.840]  那時龍就站在海邊的沙上
[00:03:03.840 --> 00:03:07.440]  17節其實是屬於下一章的
[00:03:07.440 --> 00:03:10.840]  這裡提到有龍、有婦人
[00:03:10.840 --> 00:03:15.540]  如果我們熟悉聖經其實也不難解釋的
[00:03:15.540 --> 00:03:19.340]  這個婦人就是教會
[00:03:19.340 --> 00:03:21.740]  我們讀啟示錄我們要明白
[00:03:21.740 --> 00:03:26.740]  約翰他看東西是有幾個不同的情況去看
[00:03:26.740 --> 00:03:30.440]  第一個我提過的就是時空的穿梭
[00:03:30.440 --> 00:03:32.240]  有時他看見天上的東西
[00:03:32.240 --> 00:03:34.440]  同時他看見地上的東西
[00:03:34.440 --> 00:03:37.040]  第二種就是他看一個全面的
[00:03:37.040 --> 00:03:40.340]  就是整個歷史發展的全面
[00:03:40.340 --> 00:03:45.640]  那全面性他就看到裡面很多事情是壓縮
[00:03:45.640 --> 00:03:47.440]  就是一個很長的歷史
[00:03:47.440 --> 00:03:52.840]  就壓縮了在一件事件裡面去彰顯出來
[00:03:52.840 --> 00:03:56.140]  這一章聖經基本上就是
[00:03:56.140 --> 00:03:59.540]  有人看見一個教會的歷史
[00:03:59.540 --> 00:04:03.340]  但就壓縮了在這個比喻
[00:04:03.340 --> 00:04:08.040]  龍、婦人生孩子裡面
[00:04:08.040 --> 00:04:10.640]  就好像整個教會的歷史裡面
[00:04:10.640 --> 00:04:13.140]  是壓縮了在這個比喻裡面
[00:04:13.140 --> 00:04:14.640]  所以當我們看的時候
[00:04:14.640 --> 00:04:18.240]  我們就要將裡面所講的那個字
[00:04:18.240 --> 00:04:20.940]  那些象徵意思去講出來
[00:04:20.940 --> 00:04:23.540]  但這些象徵就不是天馬行空
[00:04:23.540 --> 00:04:26.240]  也都不是對號入座
[00:04:26.240 --> 00:04:29.140]  因為我很多時候去強調就是
[00:04:29.140 --> 00:04:31.940]  約翰當時他真的看見一些東西
[00:04:31.940 --> 00:04:37.040]  但那些東西是超過當時的人所能明白
[00:04:37.040 --> 00:04:39.840]  所以他就要用舊約的語言
[00:04:39.840 --> 00:04:45.040]  去能夠明白語言去表達出來
[00:04:45.040 --> 00:04:50.440]  在這段經文的結構就是很完整的
[00:04:50.440 --> 00:04:55.840]  就是由十一章那裡一直去
[00:04:55.840 --> 00:04:57.340]  就去到去
[00:04:57.340 --> 00:05:01.740]  由十一章第五節一直到十六章
[00:05:01.740 --> 00:05:04.940]  中間就包括的是一個回應的
[00:05:04.940 --> 00:05:08.040]  所以我們看過十一章直到十六章
[00:05:08.040 --> 00:05:10.940]  我們今天就是讀第十二章
[00:05:10.940 --> 00:05:14.540]  第十二章就是在第三行那裡
[00:05:14.540 --> 00:05:15.840]  其實它是一個回應的
[00:05:15.840 --> 00:05:20.740]  所以整個啟示錄是由第七號吹響
[00:05:20.740 --> 00:05:25.340]  七號吹響就在回應十六章的七碗的災
[00:05:25.340 --> 00:05:28.140]  然後天上的重燦
[00:05:28.140 --> 00:05:31.540]  就在回應十五章的聖徒的讚美
[00:05:31.540 --> 00:05:34.940]  十二章我們今天讀一到十八節
[00:05:34.940 --> 00:05:37.040]  婦人和紅龍的意象
[00:05:37.040 --> 00:05:41.240]  其實就是在回應七碗的大意象
[00:05:41.240 --> 00:05:43.340]  然後有海祿異獸的意象
[00:05:43.340 --> 00:05:45.540]  是在回應天上的意象
[00:05:45.540 --> 00:05:47.040]  而核心是什麼呢?
[00:05:47.040 --> 00:05:48.440]  就是羔羊了
[00:05:48.440 --> 00:05:50.040]  就在十四章
[00:05:50.040 --> 00:05:52.140]  你將這幾章聖經放下來
[00:05:52.140 --> 00:05:54.040]  你就會發現其實是很完整的
[00:05:54.040 --> 00:05:57.140]  整個的意象是很完整的
[00:05:57.140 --> 00:06:00.540]  好了 我們今天就是看十二章
[00:06:00.540 --> 00:06:03.240]  就是婦人和紅龍的大意象
[00:06:03.240 --> 00:06:05.040]  遲些我們就會一直看下去
[00:06:05.040 --> 00:06:12.940]  就看到第十五章的七碗的大意象
[00:06:12.940 --> 00:06:15.240]  從第七號到第七碗
[00:06:15.240 --> 00:06:17.340]  中間有一個插曲就是剛才那個
[00:06:17.340 --> 00:06:20.140]  這個插曲就是講教會
[00:06:20.140 --> 00:06:22.340]  所以這一章是講教會的
[00:06:22.340 --> 00:06:24.940]  就是上帝怎樣保守教會
[00:06:24.940 --> 00:06:28.940]  而這段經文也都對我們很有安慰
[00:06:28.940 --> 00:06:31.940]  剛才黎牧師特別提到
[00:06:31.940 --> 00:06:34.740]  他收到電郵在伊拉克的地方
[00:06:34.740 --> 00:06:37.340]  那些埃塞就抓了基督徒
[00:06:37.340 --> 00:06:39.540]  不單止是迫害他們
[00:06:39.540 --> 00:06:43.140]  還要在父母面前殺害他們的兒女
[00:06:43.140 --> 00:06:44.740]  這是一個很悲慘的事情
[00:06:44.740 --> 00:06:46.840]  我們看到在末世紀元間
[00:06:46.840 --> 00:06:48.540]  二十一世紀這麼文明的世紀
[00:06:48.540 --> 00:06:50.240]  出現這樣的事情
[00:06:50.240 --> 00:06:51.540]  我們是很難接受的
[00:06:51.540 --> 00:06:55.940]  特別是衝著信仰和基督教來說
[00:06:57.740 --> 00:06:59.540]  我們要逐節聖經去看的
[00:06:59.540 --> 00:07:01.340]  我希望大家回去看
[00:07:01.340 --> 00:07:03.540]  第一個 天上出現大意象
[00:07:03.540 --> 00:07:05.740]  一個婦人 婦人是什麼呢?
[00:07:05.740 --> 00:07:08.340]  我們要解釋了
[00:07:08.340 --> 00:07:12.940]  身披日頭 腳踏月亮 頭戴十二星冠冕
[00:07:12.940 --> 00:07:14.140]  是不是很奇妙?
[00:07:14.140 --> 00:07:16.340]  這個意象很厲害
[00:07:16.340 --> 00:07:20.540]  這樣一個婦人是很難不可思議的
[00:07:20.540 --> 00:07:23.740]  明顯這個婦人就不是一個人了
[00:07:23.740 --> 00:07:26.140]  你不要想著我聖母瑪利亞
[00:07:26.140 --> 00:07:28.340]  她不是一個人 不是一個獨立的人
[00:07:28.340 --> 00:07:31.740]  因為沒有一個人可以身披日頭
[00:07:31.740 --> 00:07:33.740]  所以她是一個象徵性
[00:07:33.740 --> 00:07:35.940]  這個象徵性的人物就不是一個人
[00:07:35.940 --> 00:07:39.140]  她是一個群體性 一個群體性
[00:07:39.140 --> 00:07:43.140]  所以用這個婦人就好像保羅所用的
[00:07:43.140 --> 00:07:45.140]  教會是基督的身體 是不是?
[00:07:45.140 --> 00:07:46.140]  是身父
[00:07:46.140 --> 00:07:49.140]  身父很明顯 新約說的
[00:07:49.140 --> 00:07:52.140]  教會是基督的身父就不是一個女人 是不是?
[00:07:52.140 --> 00:07:53.740]  是一個群體
[00:07:53.740 --> 00:07:56.540]  是整個教會是千千萬萬的人
[00:07:56.540 --> 00:07:59.540]  我們要這樣去看
[00:07:59.540 --> 00:08:01.340]  那麼這個婦人是誰呢?
[00:08:01.340 --> 00:08:03.540]  我們就要問了
[00:08:03.540 --> 00:08:06.340]  這個婦人是生孩子的
[00:08:06.340 --> 00:08:07.940]  這個孩子是誰呢?
[00:08:07.940 --> 00:08:10.940]  如果在聖經裏面提到這個孩子
