
[00:00:00.000 --> 00:00:04.000]  各位弟兄妹早晨
[00:00:04.000 --> 00:00:06.000]  由我們在靈性主導儀先
[00:00:06.000 --> 00:00:10.000]  我們再次回來在神的啟示裏面
[00:00:10.000 --> 00:00:12.000]  隨著聖靈的引導
[00:00:12.000 --> 00:00:15.000]  幫助我們去明白祂當中的教訓
[00:00:15.000 --> 00:00:18.000]  我們一起再次以禱告能夠仰望在我們當中
[00:00:18.000 --> 00:00:20.000]  慈悲父神多謝你
[00:00:20.000 --> 00:00:22.000]  讓我們能夠有生命氣息
[00:00:22.000 --> 00:00:24.000]  來到你的面前一同去學習
[00:00:24.000 --> 00:00:28.000]  一同去追求認識主理的教訓
[00:00:28.000 --> 00:00:31.000]  求你的聖靈引導我們每一個
[00:00:31.000 --> 00:00:33.000]  很想我們都能夠有智慧
[00:00:33.000 --> 00:00:35.000]  是從天而來的智慧
[00:00:35.000 --> 00:00:37.000]  從你而來的智慧
[00:00:37.000 --> 00:00:40.000]  很想我們去明白你的說話之後
[00:00:40.000 --> 00:00:45.000]  能夠真是有一個更明白主心腸的生命
[00:00:45.000 --> 00:00:48.000]  活在今天這個世代當中
[00:00:48.000 --> 00:00:51.000]  縱然我們可能在見證的裏面
[00:00:51.000 --> 00:00:56.000]  人未必是更能夠明白我們為何要這樣對待他們
[00:00:56.000 --> 00:00:59.000]  或者怎樣去面對事情
[00:00:59.000 --> 00:01:02.000]  但願人可以啟發到
[00:01:02.000 --> 00:01:05.000]  能夠在上主生命當中有份的人
[00:01:05.000 --> 00:01:08.000]  是截然不同的生命
[00:01:08.000 --> 00:01:10.000]  讓他們能夠打開這個救恩的門
[00:01:10.000 --> 00:01:12.000]  能夠開始去認識恩主理
[00:01:12.000 --> 00:01:16.000]  求你幫助我們每一個能夠去聆聽主理說話的人
[00:01:16.000 --> 00:01:18.000]  也能夠在這段時間裏面
[00:01:18.000 --> 00:01:20.000]  全然毀身在這個當中
