
[00:00:00.000 --> 00:00:07.120]  我想今天早上跟大家講一下這個忙碌的問題
[00:00:07.120 --> 00:00:10.320]  這個我們很多時候 特別是在教會裏面
[00:00:10.320 --> 00:00:12.640]  我們真的是一個很大的問題
[00:00:12.640 --> 00:00:15.640]  我不知道耶穌今天來到大家當中
[00:00:15.640 --> 00:00:19.520]  會不會都好像是第41節那樣講
[00:00:19.520 --> 00:00:24.160]  你們為許多的事思慮煩擾
[00:00:24.160 --> 00:00:28.560]  我經常覺得 很多人跟我說
[00:00:28.560 --> 00:00:32.480]  聖經的時代的人怎麼會明白我們現在呢?
[00:00:32.480 --> 00:00:34.640]  我們現在真的是很忙的
[00:00:34.640 --> 00:00:37.040]  很多事要做 以前的人是很空閒的
[00:00:37.040 --> 00:00:42.000]  只是耕田的 但其實不是的
[00:00:42.000 --> 00:00:44.640]  你試一下想一下 以前的人
[00:00:44.640 --> 00:00:47.840]  特別是他們晚上六點鐘就做不了事了
[00:00:47.840 --> 00:00:51.600]  我們六點鐘之後才開始做事的
[00:00:51.600 --> 00:00:55.280]  還有他們煮飯都不是我們今天那麼快的了
[00:00:55.280 --> 00:00:58.880]  我們那時候買個在快餐店很快就搞定
[00:00:58.880 --> 00:01:00.240]  他們要很長時間的
[00:01:00.240 --> 00:01:03.680]  其實他們也有很多時間需要放下去
[00:01:03.680 --> 00:01:06.000]  很多其它事要做的
[00:01:06.000 --> 00:01:08.480]  所以這個忙這個東西
[00:01:08.480 --> 00:01:11.920]  我想是什麼時候都有這個問題的
[00:01:11.920 --> 00:01:15.680]  不過我留意聖經很少提這一點的
[00:01:15.680 --> 00:01:17.600]  很難得到這一段經文
[00:01:17.600 --> 00:01:19.760]  雖然大家是很熟的 我都要跟大家講
[00:01:19.760 --> 00:01:24.480]  因為很難得耶穌是處理這個忙碌的問題
[00:01:24.480 --> 00:01:26.560]  我想大家看一下這段經文
[00:01:26.560 --> 00:01:29.600]  《路加福音》10章38至42節
[00:01:29.600 --> 00:01:33.360]  這段經文其實是很奇怪的
[00:01:33.360 --> 00:01:35.360]  如果你試一下想一下
[00:01:35.360 --> 00:01:38.880]  這個故事是沒有頭沒有尾的
[00:01:38.880 --> 00:01:42.800]  我們不是很知道究竟發生什麼事的
[00:01:42.800 --> 00:01:45.440]  有很多可能性 作者是沒有說的
[00:01:45.440 --> 00:01:47.520]  我們最想知道的東西他沒有說的
[00:01:47.520 --> 00:01:52.800]  比如說 究竟馬大和馬尼亞當時在做什麼呢?
[00:01:52.800 --> 00:01:54.800]  馬尼亞我們知道是坐在廳裡的
[00:01:54.800 --> 00:01:56.320]  那馬大呢?
[00:01:56.320 --> 00:01:58.560]  他的問題是不是他應該坐在廳裡的
[00:01:58.560 --> 00:02:01.360]  不過他就掛在廚房裡煮菜
[00:02:01.360 --> 00:02:02.400]  是不是這樣呢?
[00:02:02.400 --> 00:02:04.880]  他其實是沒有說的
[00:02:04.880 --> 00:02:09.440]  是不是他們輪流主辦的呢?
[00:02:09.440 --> 00:02:12.560]  這次是馬大 下一次是馬尼亞呢?
[00:02:12.560 --> 00:02:14.080]  我們都不知道的
[00:02:14.080 --> 00:02:16.640]  還有最大的問題就是最後怎麼樣呢?
[00:02:16.640 --> 00:02:20.080]  那個出路是什麼呢?
[00:02:20.080 --> 00:02:24.800]  其實那個問題就是耶穌究竟想馬大怎麼做呢?
[00:02:24.800 --> 00:02:26.000]  他說完之後說
[00:02:26.000 --> 00:02:28.720]  馬尼亞已經選擇上了福 萬事不能奪去的
[00:02:28.720 --> 00:02:30.400]  那就完了
[00:02:30.400 --> 00:02:32.400]  他叫馬大坐在那裡聽道
[00:02:32.400 --> 00:02:35.440]  還是叫他回去廚房做事呢?
[00:02:35.440 --> 00:02:36.720]  他都沒有說的
[00:02:36.720 --> 00:02:39.040]  我不知道大家覺得怎麼樣呢?
[00:02:39.040 --> 00:02:42.080]  馬大是不是應該回去呢?
[00:02:42.080 --> 00:02:44.480]  其實我們不知道的
[00:02:44.480 --> 00:02:46.320]  或者這個是不重要的
[00:02:46.320 --> 00:02:48.480]  我想大家試一下想通一下這個問題
[00:02:48.480 --> 00:02:56.160]  究竟忙碌 耶穌給我們的出路是什麼?
[00:02:56.160 --> 00:03:02.480]  可能我首先要幫馬大爭一口氣
[00:03:02.480 --> 00:03:06.480]  很多人覺得馬大是出問題的
[00:03:06.480 --> 00:03:09.280]  我們要做馬尼亞 不要做馬大
[00:03:09.280 --> 00:03:12.800]  其實有一點不公平的
[00:03:12.800 --> 00:03:15.520]  馬大其實是當時呢
[00:03:15.520 --> 00:03:23.120]  他就說是接待耶穌回去他家
[00:03:23.120 --> 00:03:28.320]  當時接待拉比是很大的一件事的
[00:03:28.320 --> 00:03:32.160]  不是隨便誰人請他回去他就回去了
[00:03:32.160 --> 00:03:34.480]  是一個很大的專名來的
[00:03:34.480 --> 00:03:38.240]  你可以說當時憑信徒來說
