
[00:00:00.000 --> 00:00:05.000]  各位靈智媒體平安
[00:00:05.000 --> 00:00:10.000]  我想有很多在家在網上敬拜的靈智媒體
[00:00:10.000 --> 00:00:13.000]  願意上帝都與我們同在
[00:00:13.000 --> 00:00:17.000]  讓我們可以明白上帝自己的心意
[00:00:17.000 --> 00:00:20.000]  今天我所讀的這段聖經
[00:00:20.000 --> 00:00:23.000]  是一段大家很熟悉的經文
[00:00:23.000 --> 00:00:25.000]  經文一開始
[00:00:25.000 --> 00:00:28.000]  它就說我已經作了前書就是《史圖行傳》
[00:00:28.000 --> 00:00:30.000]  因為這位作者
[00:00:30.000 --> 00:00:32.000]  他不單寫了《路加福音》
[00:00:32.000 --> 00:00:34.000]  再寫了《史圖行傳》
[00:00:34.000 --> 00:00:36.000]  所以《路加福音》和《史圖行傳》
[00:00:36.000 --> 00:00:38.000]  好像上下集一樣
[00:00:38.000 --> 00:00:41.000]  《路加福音》裡面說耶穌基督的生平
[00:00:41.000 --> 00:00:42.000]  很多的事蹟
[00:00:42.000 --> 00:00:43.000]  祂所說過的東西
[00:00:43.000 --> 00:00:44.000]  說過的比喻
[00:00:44.000 --> 00:00:45.000]  行過的神蹟
[00:00:45.000 --> 00:00:47.000]  和門徒怎樣交往
[00:00:47.000 --> 00:00:50.000]  和信徒怎樣交往的事蹟
[00:00:50.000 --> 00:00:52.000]  但是去到《史圖行傳》裡面就說教會
[00:00:52.000 --> 00:00:56.000]  但是教會這個時間還沒有正式的產生
[00:00:56.000 --> 00:00:58.000]  要到聖靈降臨之後
[00:00:58.000 --> 00:00:59.000]  在教會
[00:00:59.000 --> 00:01:01.000]  耶路撒冷的教會裡面
[00:01:01.000 --> 00:01:02.000]  人數突然間增加
[00:01:02.000 --> 00:01:04.000]  那時候我們看到
[00:01:04.000 --> 00:01:06.000]  一個教會在歷史裡面
[00:01:06.000 --> 00:01:08.000]  真正正正產生了
[00:01:08.000 --> 00:01:11.000]  但是在這裡我們看到
[00:01:11.000 --> 00:01:13.000]  主耶穌基督升天的時候
[00:01:13.000 --> 00:01:14.000]  有一個景象
[00:01:14.000 --> 00:01:16.000]  就像我們所讀的
[00:01:16.000 --> 00:01:19.000]  但是在《史圖行傳》第一章
[00:01:19.000 --> 00:01:21.000]  第五節那裡
[00:01:21.000 --> 00:01:22.000]  他說
[00:01:22.000 --> 00:01:24.000]  耶穌和他們聚集的時候
[00:01:24.000 --> 00:01:26.000]  祝福他們說
[00:01:26.000 --> 00:01:27.000]  不要離開耶路撒冷
[00:01:27.000 --> 00:01:28.000]  主耶穌基督
[00:01:28.000 --> 00:01:31.000]  吩咐這幫門徒跟他們說
[00:01:31.000 --> 00:01:33.000]  有一樣東西你們要聽明白的
[00:01:33.000 --> 00:01:35.000]  一定要跟著
[00:01:35.000 --> 00:01:37.000]  不可以有偏差的
[00:01:37.000 --> 00:01:39.000]  就是你們不能夠離開耶路撒冷
[00:01:39.000 --> 00:01:41.000]  你們要留在耶路撒冷
[00:01:41.000 --> 00:01:44.000]  要等候父所應許的
[00:01:44.000 --> 00:01:46.000]  你們聽見我曾經說過的
[00:01:46.000 --> 00:01:48.000]  若是用水施洗
[00:01:48.000 --> 00:01:49.000]  但是不多幾天
[00:01:49.000 --> 00:01:51.000]  你們要受聖靈的洗
[00:01:51.000 --> 00:01:52.000]  就說你們要等到耶路撒冷
[00:01:52.000 --> 00:01:55.000]  直到聖靈降臨在你們身上
[00:01:55.000 --> 00:01:57.000]  這也是我們剛才所讀的
[00:01:57.000 --> 00:01:59.000]  《史圖行傳》第一章第八節所說的
[00:01:59.000 --> 00:02:04.000]  我今天晚上要和大家思想的就是
[00:02:04.000 --> 00:02:06.000]  如果你設身處地
[00:02:06.000 --> 00:02:09.000]  將自己擺在第一世紀
[00:02:09.000 --> 00:02:11.000]  主耶穌基督和門徒說
[00:02:11.000 --> 00:02:13.000]  你們不要離開耶路撒冷
[00:02:13.000 --> 00:02:15.000]  你們要在耶路撒冷做什麼呢
[00:02:15.000 --> 00:02:17.000]  做等候的功夫
[00:02:17.000 --> 00:02:21.000]  如果我們看《路加福音》的結尾
[00:02:21.000 --> 00:02:23.000]  《史圖行傳》的開頭
[00:02:23.000 --> 00:02:25.000]  我們看到主耶穌基督報了之後
[00:02:25.000 --> 00:02:27.000]  四十天這麼久
[00:02:27.000 --> 00:02:29.000]  和那些門徒在一起
[00:02:29.000 --> 00:02:32.000]  所以他如果有什麼問題要問
