
[00:00:00.000 --> 00:00:06.400]  福頓師妹讓我們在聆聽上主的話
[00:00:06.400 --> 00:00:09.200]  以示我們一起以禱告
[00:00:09.200 --> 00:00:10.800]  預備我們心思意念
[00:00:10.800 --> 00:00:14.000]  來準確拿捏當中的意思
[00:00:14.000 --> 00:00:20.400]  天父多謝你給我們再次來到你的說話的根前
[00:00:20.400 --> 00:00:25.600]  直接透過你的啟示
[00:00:25.600 --> 00:00:32.800]  讓我們明白你如何在人的當中作供
[00:00:32.800 --> 00:00:36.800]  作成上主你的心願
[00:00:36.800 --> 00:00:42.000]  讓我們能夠在你的啟示裡
[00:00:42.000 --> 00:00:50.000]  賦予我們更多的智慧來洞悉我們今天所遇見的世界
[00:00:50.000 --> 00:00:52.400]  求你讓我們有智慧
[00:00:52.400 --> 00:01:02.000]  來不僅明瞭看通世代人心的詭詐
[00:01:02.000 --> 00:01:04.800]  但同時也讓我們看到
[00:01:04.800 --> 00:01:11.800]  上帝使我們每一個人能夠按照你的心思意念
[00:01:11.800 --> 00:01:20.600]  來活出一個能夠見證出上主的生命當有的樣式
[00:01:20.600 --> 00:01:27.000]  從而讓人明白上主你的屬性是如何
[00:01:27.000 --> 00:01:29.800]  求你的幫助帶領
[00:01:29.800 --> 00:01:33.000]  賜予我們有聖靈的同在
[00:01:33.000 --> 00:01:38.800]  禱告奉靠主耶穌基督得勝的明智而求
[00:01:38.800 --> 00:01:41.200]  阿們
[00:01:41.200 --> 00:01:44.200]  人心充滿詭詐
[00:01:44.200 --> 00:01:48.800]  這個我相信沒有人會否定這句說話
[00:01:48.800 --> 00:01:53.000]  就算別人說我是一個大好人也好
[00:01:53.000 --> 00:01:54.400]  平心而論
[00:01:54.400 --> 00:02:01.800]  始終人心裡總有一些古古惑惑的事情在盤算
[00:02:01.800 --> 00:02:04.600]  不過人雖然是詭詐
[00:02:04.600 --> 00:02:11.200]  但人也不想讓人知道他是一個這麼骯髒的屬靈生命
[00:02:11.200 --> 00:02:16.000]  於是人又會矛盾地出盡力量
[00:02:16.000 --> 00:02:19.600]  要把自己包裝得很漂亮
[00:02:19.600 --> 00:02:22.600]  除非包無可包
[00:02:22.600 --> 00:02:28.600]  被人揭發自己的惡念惡行之後
[00:02:28.600 --> 00:02:31.200]  人還有一招毒招
[00:02:31.200 --> 00:02:34.000]  這招毒招就是
[00:02:34.000 --> 00:02:35.200]  法蘭詐
[00:02:35.200 --> 00:02:40.200]  所以我們廣東話有句法蘭詐
[00:02:40.200 --> 00:02:43.600]  法文不是拉丁文不是意大利文
[00:02:43.600 --> 00:02:45.400]  是廣東話
[00:02:45.400 --> 00:02:47.600]  就是這樣又如何
[00:02:47.600 --> 00:02:50.400]  你咬我呀你吃我呀
[00:02:50.400 --> 00:02:54.400]  這種態度叫法蘭詐
[00:02:54.400 --> 00:03:00.000]  今天我們看到聖經裡的一些人物
[00:03:00.000 --> 00:03:06.000]  我們看聖經是從這個角度去看
[00:03:06.000 --> 00:03:10.000]  他們是否用這種態度去法蘭詐呢
[00:03:10.000 --> 00:03:17.000]  還是這些人是上帝放在你和我跟前
[00:03:17.000 --> 00:03:21.000]  去面對如何帶領他們
[00:03:21.000 --> 00:03:26.400]  能夠走出他們的罪和詭詐的困所呢
[00:03:26.400 --> 00:03:31.400]  當我們找到詭詐這個題目的時候
[00:03:31.400 --> 00:03:34.400]  就讓我想起聖經裡有一對夫婦
[00:03:34.400 --> 00:03:38.200]  這對夫婦在《仕途行傳》第五章裡
[00:03:38.200 --> 00:03:41.200]  他們叫做阿拿尼亞和薩菲拉
[00:03:41.200 --> 00:03:46.200]  這兩夫婦其實都是充滿詭詐的人
[00:03:46.200 --> 00:03:47.800]  他們不是沒有錢的
[00:03:47.800 --> 00:03:49.800]  他們是有錢人
[00:03:49.800 --> 00:03:54.800]  不過有錢之餘又要掩飾自己心裡
[00:03:54.800 --> 00:03:59.800]  那種不是那麼淑女的狀態
[00:03:59.800 --> 00:04:01.800]  所以於是乎怎樣呢
[00:04:01.800 --> 00:04:03.800]  他看到當時很多的信徒
[00:04:03.800 --> 00:04:04.800]  特別是門徒
[00:04:04.800 --> 00:04:08.800]  他們都將自己的產業拿出來
[00:04:08.800 --> 00:04:10.800]  繁物公用
[00:04:10.800 --> 00:04:14.800]  讓大家一起分享使用
[00:04:14.800 --> 00:04:17.800]  他又想著既然我有錢
[00:04:17.800 --> 00:04:18.800]  那我賣田吧
[00:04:18.800 --> 00:04:20.800]  賣了田之後呢
[00:04:20.800 --> 00:04:22.800]  他就想著希望在基督教
[00:04:22.800 --> 00:04:24.800]  或者信仰群體當中
[00:04:24.800 --> 00:04:28.800]  扮演一個虔誠人的角色
