
[00:00:00.000 --> 00:00:06.000]  很感謝宣導會邀請
[00:00:06.000 --> 00:00:09.000]  我第一次來 看到很漂亮的女教授
[00:00:09.000 --> 00:00:11.000]  為你感恩
[00:00:11.000 --> 00:00:15.000]  我已經不是加拿大華人修行教授了
[00:00:15.000 --> 00:00:19.000]  我退休了 我是加拿大宣導會的退休牧師
[00:00:19.000 --> 00:00:23.000]  回到香港的時候退休
[00:00:23.000 --> 00:00:27.000]  現在在我舞會 藝人會大會堂做顧問牧師
[00:00:27.000 --> 00:00:30.000]  不過我一直都是顧問牧師
[00:00:30.000 --> 00:00:35.000]  退休後很開心見到大家
[00:00:35.000 --> 00:00:40.000]  剛才那段經文 我不知道你怎麼看
[00:00:40.000 --> 00:00:43.000]  字比較小 剛才那段經文
[00:00:43.000 --> 00:00:47.000]  我不知道你讀的時候會不會覺得有點奇怪
[00:00:47.000 --> 00:00:51.000]  這個人這麼差勁 在外面做得不好
[00:00:51.000 --> 00:01:01.000]  然後找主人的客人來 私自減50-20
[00:01:01.000 --> 00:01:05.000]  等他將來退休後有好地方去
[00:01:05.000 --> 00:01:07.000]  其實是不合理的
[00:01:07.000 --> 00:01:12.000]  如果在今天 你一定會找廉署抓他
[00:01:12.000 --> 00:01:16.000]  不坐十年八年 你的氣都不順
[00:01:16.000 --> 00:01:19.000]  很奇怪 但耶穌當時說
[00:01:19.000 --> 00:01:21.000]  那些人有沒有質疑耶穌
[00:01:21.000 --> 00:01:25.000]  有這樣的事 更奇怪的是主人讚你聰明
[00:01:25.000 --> 00:01:28.000]  你做老闆 底下的人幫你倒米
[00:01:28.000 --> 00:01:31.000]  你會說 厲害 你倒得好
[00:01:31.000 --> 00:01:34.000]  你讀了是不是不舒服呢
[00:01:34.000 --> 00:01:39.000]  但耶穌說完 門徒又收到
[00:01:39.000 --> 00:01:43.000]  很明顯 耶穌當時說
[00:01:43.000 --> 00:01:47.000]  那些人是明白的 而且他們接受
[00:01:47.000 --> 00:01:51.000]  並且和我們今天的了解有差距
[00:01:51.000 --> 00:01:53.000]  究竟發生什麼事
[00:01:53.000 --> 00:01:57.000]  一個這麼不合理的管家
[00:01:57.000 --> 00:02:00.000]  在外面敗壞主人的名聲
