
[00:00:00.000 --> 00:00:04.000]  丁子明早晨
[00:00:04.000 --> 00:00:08.000]  感謝主給我機會在此跟大家再次分享神的說話
[00:00:08.000 --> 00:00:10.000]  多謝 多謝
[00:00:10.000 --> 00:00:13.000]  我記得我用了很多年的時間講了《馬學福音》
[00:00:13.000 --> 00:00:14.000]  終於講完了
[00:00:14.000 --> 00:00:18.000]  講完了之後 我想有一個系列的說話
[00:00:18.000 --> 00:00:23.000]  我就選了這個系列 講天堂的訊息
[00:00:23.000 --> 00:00:27.000]  有幾個原因 第一個原因就是
[00:00:27.000 --> 00:00:31.000]  我發覺很多時候講天堂或這類經文
[00:00:31.000 --> 00:00:35.000]  在我的經驗裏 甚麼時候講呢?
[00:00:35.000 --> 00:00:37.000]  喪禮的時候講
[00:00:37.000 --> 00:00:41.000]  喪禮的時候講對離開世界的人沒甚麼用
[00:00:41.000 --> 00:00:45.000]  與其在喪禮時有二十分鐘分享
[00:00:45.000 --> 00:00:49.000]  不如在崇拜裏好好地跟我們仍在生的人
[00:00:49.000 --> 00:00:55.000]  仍有能力聽的人一起講解 比較詳細地講解
[00:00:55.000 --> 00:00:58.000]  第二就是有機會跟丁子明聊天的時候
[00:00:58.000 --> 00:01:02.000]  他問我一些關於人死後是甚麼情況
[00:01:02.000 --> 00:01:06.000]  我發現他的想法可能代表很多丁子明的想法
[00:01:06.000 --> 00:01:10.000]  原來我覺得在一些很基本的教義
[00:01:10.000 --> 00:01:12.000]  其實丁子明未必明白
[00:01:12.000 --> 00:01:15.000]  所以我就覺得不如一次過跟大家講一下
[00:01:15.000 --> 00:01:17.000]  關於這個教導
[00:01:17.000 --> 00:01:20.000]  第三個原因是最近有人送了一本書給我
[00:01:20.000 --> 00:01:22.000]  刺激我更加要去講
[00:01:22.000 --> 00:01:25.000]  原因是如果讓我講天堂
[00:01:25.000 --> 00:01:30.000]  我大概三五頁紙就講完天堂的訊息
[00:01:30.000 --> 00:01:32.000]  但想不到這個人送了一本書給我
[00:01:32.000 --> 00:01:34.000]  這本書叫做天堂 是一本翻譯的書
[00:01:34.000 --> 00:01:37.000]  這本書有四五百頁口
[00:01:37.000 --> 00:01:40.000]  我想怎麼可以講四五百頁關於天堂的訊息呢?
[00:01:40.000 --> 00:01:43.000]  所以我發覺原來很多東西我都要繼續跟大家一起學
[00:01:43.000 --> 00:01:46.000]  所以打算在這裏跟大家講天堂系列一
[00:01:46.000 --> 00:01:48.000]  跟大家分享
[00:01:48.000 --> 00:01:53.000]  但現在的速度大概要未來十年八年才講得完這個系列
[00:01:53.000 --> 00:01:56.000]  因為我大約一年來兩三次
[00:01:56.000 --> 00:01:58.000]  所以就看上帝怎麼帶領
[00:01:58.000 --> 00:02:01.000]  希望不需要到天堂的時候才講得完
[00:02:01.000 --> 00:02:05.000]  今天跟大家選的經文就是
[00:02:05.000 --> 00:02:11.000]  路加第十六章十九到三十一節
[00:02:11.000 --> 00:02:15.000]  請大家翻開聖經或者電子版聖經翻開
[00:02:15.000 --> 00:02:18.000]  希望大家盡量投入在崇拜裏面
[00:02:18.000 --> 00:02:21.000]  唱歌也好 請你投入
[00:02:21.000 --> 00:02:23.000]  其實我們是一起唱的
[00:02:23.000 --> 00:02:25.000]  如果你回來不唱歌參與崇拜
[00:02:25.000 --> 00:02:27.000]  其實你已經沒有回到崇拜
[00:02:27.000 --> 00:02:30.000]  奉獻 請你預備奉獻
[00:02:30.000 --> 00:02:32.000]  基督徒都不奉獻
[00:02:32.000 --> 00:02:35.000]  你來朝見上帝就要帶禮物的
[00:02:35.000 --> 00:02:37.000]  聽到也是 請你打開聖經
[00:02:37.000 --> 00:02:39.000]  我想一下我這些老人家
[00:02:39.000 --> 00:02:41.000]  我可以講一下這幾句話
[00:02:41.000 --> 00:02:43.000]  希望你們不要介意我這樣講
[00:02:43.000 --> 00:02:45.000]  OK吧
[00:02:45.000 --> 00:02:47.000]  不要OK都講了
[00:02:47.000 --> 00:02:52.000]  路加第十六章十九到三十一節
[00:02:52.000 --> 00:02:55.000]  這段經文就是耶穌講一個比喻
[00:02:55.000 --> 00:02:57.000]  如果留意這段經文上下文
[00:02:57.000 --> 00:03:00.000]  其實整個路加第十六章都是講錢的問題
[00:03:00.000 --> 00:03:04.000]  耶穌開始的時候講一個不義的管家的比喻
[00:03:04.000 --> 00:03:07.000]  講完之後那些法律上的人就很痴之以鼻
[00:03:07.000 --> 00:03:09.000]  說這些 用金天說話
[00:03:09.000 --> 00:03:11.000]  說這些 不太喜歡聽
[00:03:11.000 --> 00:03:14.000]  接著耶穌再講一個比喻
[00:03:14.000 --> 00:03:17.000]  大概多數解經的人都認為這是一個比喻
[00:03:17.000 --> 00:03:19.000]  雖然沒有用比喻這個詞
[00:03:19.000 --> 00:03:21.000]  但大概應該是比喻一個意思
[00:03:21.000 --> 00:03:24.000]  無論比喻也好 或真實發生的事也好
[00:03:24.000 --> 00:03:28.000]  這件事無論如何都是耶穌針對當時
[00:03:28.000 --> 00:03:31.000]  針對我們 講一個關於死後
[00:03:31.000 --> 00:03:33.000]  究竟會面對甚麼的世界的訊息
[00:03:40.000 --> 00:03:43.000]  我想在開始的時候用一個焦點去看這段經文
[00:03:43.000 --> 00:03:46.000]  就是我們把握終點的重要性
[00:03:46.000 --> 00:03:48.000]  甚麼意思呢
[00:03:48.000 --> 00:03:51.000]  有一次一班變壓民團很多年前
[00:03:51.000 --> 00:03:54.000]  就和我去貝奧露營過夜
[00:03:54.000 --> 00:03:57.000]  其實他們早上不睡覺
[00:03:57.000 --> 00:04:01.000]  接著第二天早上他們就準備去行鳳凰山
[00:04:01.000 --> 00:04:03.000]  不知道有沒有人行過
[00:04:03.000 --> 00:04:05.000]  就是香港其中一個高山 行鳳凰山
[00:04:05.000 --> 00:04:07.000]  兩三點就出發了
[00:04:07.000 --> 00:04:09.000]  他們就好像很好心那樣
[00:04:09.000 --> 00:04:11.000]  叫我不要行了
[00:04:11.000 --> 00:04:13.000]  但實際上叫我幫他們看行李
[00:04:13.000 --> 00:04:15.000]  因為帶了行李有人看的
[00:04:15.000 --> 00:04:16.000]  就叫我在那裡看
[00:04:16.000 --> 00:04:18.000]  接著他們自己去行山
[00:04:18.000 --> 00:04:21.000]  你見到行山的人很辛苦
[00:04:21.000 --> 00:04:24.000]  很早起床 或者不睡覺這樣去
[00:04:24.000 --> 00:04:27.000]  不過為了見一個很宏偉很壯觀
[00:04:27.000 --> 00:04:29.000]  你一生難忘 你不見過
[00:04:29.000 --> 00:04:33.000]  就算你看YouTube都沒有辦法感受那種壯觀的日出
[00:04:33.000 --> 00:04:35.000]  所以是值得的
[00:04:35.000 --> 00:04:39.000]  終點就因為太好了
[00:04:39.000 --> 00:04:42.000]  所以你現在的過程辛苦 你覺得值得的
[00:04:42.000 --> 00:04:45.000]  然後讀書也是
[00:04:45.000 --> 00:04:49.000]  可能很勤力地讀書 很辛苦
[00:04:49.000 --> 00:04:51.000]  甚至睡很少覺
[00:04:51.000 --> 00:04:54.000]  為了考好試 或者將來可能工作
[00:04:54.000 --> 00:04:56.000]  或者人生 或者明白道理好一點
[00:04:56.000 --> 00:04:58.000]  你勤力地讀書
[00:04:58.000 --> 00:05:01.000]  也都是因為我知道我這樣讀書之後
[00:05:01.000 --> 00:05:02.000]  對我有好處
[00:05:02.000 --> 00:05:04.000]  雖然過程辛苦
[00:05:04.000 --> 00:05:07.000]  但已經決定了過程
[00:05:07.000 --> 00:05:09.000]  如果這樣說的時候
[00:05:09.000 --> 00:05:13.000]  基督徒的終點我們相信就是天堂和地獄
[00:05:13.000 --> 00:05:15.000]  一個很簡單的道理
[00:05:15.000 --> 00:05:19.000]  如果天堂地獄是我們相信人生整個世界
[00:05:19.000 --> 00:05:22.000]  所有的人最後的終極的話
[00:05:22.000 --> 00:05:25.000]  這個應該成為我們成為所有人
[00:05:25.000 --> 00:05:27.000]  現在這個過程這個起點
[00:05:27.000 --> 00:05:30.000]  一個重要的指標
[00:05:30.000 --> 00:05:33.000]  有一次很多時候我發覺我們做傳道人也好
[00:05:33.000 --> 00:05:35.000]  有時候怕說這個題目
[00:05:35.000 --> 00:05:38.000]  為什麼呢?因為我試過被人這樣說
[00:05:38.000 --> 00:05:40.000]  我不說這些的 為什麼呢?
[00:05:40.000 --> 00:05:43.000]  因為說這些我怕用天堂來有理信主
[00:05:43.000 --> 00:05:45.000]  地獄恐嚇理信主
[00:05:45.000 --> 00:05:48.000]  這個可能也有些道理
[00:05:48.000 --> 00:05:52.000]  我們不應該用這個成為我們信耶穌的動機
[00:05:52.000 --> 00:05:54.000]  不過反過來說
[00:05:54.000 --> 00:05:56.000]  如果天堂地獄是真實會發生
[00:05:56.000 --> 00:05:57.000]  我相信是
[00:05:57.000 --> 00:06:00.000]  如果我不說 或者不說清楚的話
[00:06:00.000 --> 00:06:03.000]  他信到夢裡有些未信主的朋友沒聽過
[00:06:03.000 --> 00:06:07.000]  以為信耶穌就是今生我做一個好人
[00:06:07.000 --> 00:06:10.000]  能夠回教會和一班朋友相處
[00:06:10.000 --> 00:06:13.000]  這個責任在我身上
[00:06:13.000 --> 00:06:15.000]  因為我沒有將真理說清楚
[00:06:15.000 --> 00:06:17.000]  所以今天我希望說清楚
[00:06:17.000 --> 00:06:19.000]  天堂地獄 將來你去到天堂
[00:06:19.000 --> 00:06:22.000]  不要怪我沒說過
[00:06:22.000 --> 00:06:24.000]  我已經說了
[00:06:24.000 --> 00:06:27.000]  首先這個比喻裡面
[00:06:27.000 --> 00:06:32.000]  耶穌說有一個很有錢的財主
[00:06:32.000 --> 00:06:35.000]  穿著紫色的布和細麻布衣服
[00:06:35.000 --> 00:06:37.000]  大家知道紫色的袍
[00:06:37.000 --> 00:06:42.000]  當時是代表了王族或者貴族才可以穿的
[00:06:42.000 --> 00:06:44.000]  因為當時染料的技術
[00:06:44.000 --> 00:06:47.000]  要染紫色的布是相當矜貴的
[00:06:47.000 --> 00:06:49.000]  要找一些很難的貝殼
[00:06:49.000 --> 00:06:52.000]  然後才找到一些紫色的顏料出來
[00:06:52.000 --> 00:06:55.000]  所以一些很高貴的人物才會穿
[00:06:55.000 --> 00:06:58.000]  皇帝或者有錢人
[00:06:58.000 --> 00:07:02.000]  細麻布衣服就像我們凌羅錦繡的意思
[00:07:02.000 --> 00:07:08.000]  是一些上乘的物料造成的內衣
[00:07:08.000 --> 00:07:10.000]  即是這個人非常有錢
[00:07:10.000 --> 00:07:12.000]  然後聖經形容他很簡單
[00:07:12.000 --> 00:07:14.000]  天天奢華奠樂
[00:07:14.000 --> 00:07:17.000]  即是他整個人生的目標表達
[00:07:17.000 --> 00:07:20.000]  就是今生要享受人生
[00:07:20.000 --> 00:07:23.000]  不過這個故事的另一個主角
[00:07:23.000 --> 00:07:27.000]  相反20節的一個土飯人 乞丐
[00:07:27.000 --> 00:07:29.000]  他的名字叫拉薩路
[00:07:29.000 --> 00:07:33.000]  很諷刺地拉薩路的名字是神所愛的
[00:07:33.000 --> 00:07:37.000]  拉薩路肯定不是馬大馬尼亞的兄弟
[00:07:37.000 --> 00:07:39.000]  是另外一個故事當中的拉薩路
[00:07:39.000 --> 00:07:40.000]  神所愛的
[00:07:40.000 --> 00:07:42.000]  但事實上在人生裏面
[00:07:42.000 --> 00:07:43.000]  從人的角度來講
[00:07:43.000 --> 00:07:45.000]  甚至從所有人的角度來講
[00:07:45.000 --> 00:07:47.000]  都是一個非常不幸的人生
[00:07:47.000 --> 00:07:49.000]  首先很窮 做乞丐 乞食
[00:07:49.000 --> 00:07:53.000]  並且身上長了很多瘡
[00:07:53.000 --> 00:07:55.000]  這裏有一個很大的對比
[00:07:55.000 --> 00:07:59.000]  財主在裏面大魚大肉
[00:07:59.000 --> 00:08:01.000]  門口有個乞丐經常經過
