
[00:00:00.000 --> 00:00:09.000]  難得我們可以聚集在主的家裏面再相聚
[00:00:09.000 --> 00:00:15.000]  今天是講啟示錄21、22兩章
[00:00:15.000 --> 00:00:21.000]  昨晚有人聽完這個訊息就提出兩個問題
[00:00:21.000 --> 00:00:24.000]  為什麼這個題目是這樣的呢?
[00:00:24.000 --> 00:00:26.000]  是這麼神秘的
[00:00:26.000 --> 00:00:32.000]  另外一個問題是陳欣明是不是講完這堂課就不講了
[00:00:32.000 --> 00:00:35.000]  兩個問題先交代了
[00:00:35.000 --> 00:00:39.000]  一個「中」就是總有終結
[00:00:39.000 --> 00:00:44.000]  就是終於的大結局會是怎樣
[00:00:44.000 --> 00:00:46.000]  第二個就很簡單的
[00:00:46.000 --> 00:00:49.000]  主若許可 一式常傳
[00:00:49.000 --> 00:00:51.000]  有機會講的話
[00:00:51.000 --> 00:00:55.000]  我都會繼續來分享主的話語的
[00:00:55.000 --> 00:00:59.000]  所以請大家紀念、祈禱
[00:00:59.000 --> 00:01:06.000]  我想昨晚有人以為我講完就不講了
[00:01:06.000 --> 00:01:08.000]  或者講了很大壓力
[00:01:08.000 --> 00:01:10.000]  或者將來又沒有人讓我講
[00:01:10.000 --> 00:01:15.000]  其實我想鼓勵自己和全道同工
[00:01:15.000 --> 00:01:19.000]  我們只要講的是主的道
[00:01:19.000 --> 00:01:22.000]  我們就不需要太過擔心
[00:01:22.000 --> 00:01:25.000]  而且也知道任何講道者
[00:01:25.000 --> 00:01:30.000]  只不過是一口氣出現一會就不見了
[00:01:30.000 --> 00:01:33.000]  以後還有其他人接續下去
[00:01:33.000 --> 00:01:36.000]  可能是我昨晚講了這類說話
[00:01:36.000 --> 00:01:39.000]  就引起了弟兄姊妹的關心
[00:01:39.000 --> 00:01:44.000]  大家記住我們前面的日子
[00:01:44.000 --> 00:01:47.000]  如同昔日的日子
[00:01:47.000 --> 00:01:51.000]  都是靠著因典來度過
[00:01:51.000 --> 00:01:57.000]  大家要一路彼此守望 一路打氣
[00:01:57.000 --> 00:02:02.000]  我特別想講啟示錄最後這兩章
[00:02:02.000 --> 00:02:05.000]  一方面就是由第一章講
[00:02:05.000 --> 00:02:09.000]  來到現在已經差不多接近一年的時間
[00:02:09.000 --> 00:02:21.000]  在這段日子裡講啟示錄是很特別的
[00:02:21.000 --> 00:02:30.000]  在人世間我們生活裡經歷了不少衝擊和挑戰
[00:02:30.000 --> 00:02:38.000]  生離死別、疫症、社會的狀況、世界的混亂
[00:02:38.000 --> 00:02:44.000]  實在有時候令人非常迷茫
[00:02:44.000 --> 00:02:48.000]  邱吉爾大家知道
[00:02:48.000 --> 00:02:59.000]  二戰的英國首相帶領著盟軍來終於打勝仗
