
[00:00:00.000 --> 00:00:02.000]  請自會平安
[00:00:02.000 --> 00:00:05.000]  今次我們一起思想神自己的說話
[00:00:05.000 --> 00:00:07.000]  就是剛才我們所讀的那封信
[00:00:07.000 --> 00:00:09.000]  「肥利門書」
[00:00:09.000 --> 00:00:11.000]  「肥利門書」是很短的
[00:00:11.000 --> 00:00:13.000]  如果大家想找回這本書
[00:00:13.000 --> 00:00:16.000]  你就未必可以翻閱到 只有一頁
[00:00:16.000 --> 00:00:20.000]  那你就去找到希伯來書就可以了
[00:00:20.000 --> 00:00:23.000]  希伯來書之前那一卷
[00:00:23.000 --> 00:00:25.000]  就是「肥利門書」 好嗎?
[00:00:25.000 --> 00:00:26.000]  我們打開「肥利門書」
[00:00:26.000 --> 00:00:28.000]  我們一起思想神自己的說話
[00:00:28.000 --> 00:00:31.000]  「肥利門書」這封信
[00:00:31.000 --> 00:00:34.000]  剛才讀的時候你都會聽得出來
[00:00:34.000 --> 00:00:37.000]  這封信就是保羅
[00:00:37.000 --> 00:00:41.000]  在羅馬坐牢的時候
[00:00:41.000 --> 00:00:47.000]  寫到今天希臘附近
[00:00:47.000 --> 00:00:50.000]  那裡叫做是哥羅西的地區
[00:00:50.000 --> 00:00:52.000]  一間教會的領袖
[00:00:52.000 --> 00:00:54.000]  叫做「肥利門」
[00:00:54.000 --> 00:00:57.000]  這個肯定是一個有錢的基督徒
[00:00:57.000 --> 00:01:01.000]  因為他家住的地方就是教會的地方
[00:01:01.000 --> 00:01:04.000]  所以這個是一個有錢的基督徒
[00:01:04.000 --> 00:01:05.000]  那為什麼會寫這封信呢?
[00:01:05.000 --> 00:01:08.000]  按照剛才我們所讀這封信的內容
[00:01:08.000 --> 00:01:11.000]  和我們的估計
[00:01:11.000 --> 00:01:14.000]  那個內容的血脈就是
[00:01:14.000 --> 00:01:17.000]  這個肥利門這個有錢的基督徒
[00:01:17.000 --> 00:01:21.000]  他正如當時第一世紀的羅馬世界一樣
[00:01:21.000 --> 00:01:25.000]  他下面有些不同的奴隸幫他工作
[00:01:25.000 --> 00:01:28.000]  他有一個奴隸的名字叫做阿尼西姆
[00:01:28.000 --> 00:01:32.000]  阿尼西姆做了一件很大膽
[00:01:32.000 --> 00:01:35.000]  並且不歸路的事情
[00:01:35.000 --> 00:01:37.000]  就是他逃亡
[00:01:37.000 --> 00:01:39.000]  他走
[00:01:39.000 --> 00:01:41.000]  並且按照剛才我們所讀的那些
[00:01:41.000 --> 00:01:43.000]  如果你認識希臘文
[00:01:43.000 --> 00:01:45.000]  他子女行間其實暗示了
[00:01:45.000 --> 00:01:47.000]  他不單止逃亡
[00:01:47.000 --> 00:01:50.000]  並且偷了他家裡的一些東西
[00:01:50.000 --> 00:01:52.000]  就走 夾帶私逃
[00:01:52.000 --> 00:01:55.000]  這是非常嚴重的罪行
[00:01:55.000 --> 00:01:57.000]  按照當時羅馬的法律
[00:01:57.000 --> 00:01:59.000]  奴隸這樣逃亡
[00:01:59.000 --> 00:02:02.000]  就足以抓到的時候死定了
[00:02:02.000 --> 00:02:03.000]  一定死
[00:02:03.000 --> 00:02:05.000]  並且死得很慘
[00:02:05.000 --> 00:02:07.000]  不會就這樣殺他
[00:02:07.000 --> 00:02:08.000]  多數是釘他十字架
[00:02:08.000 --> 00:02:09.000]  讓他慢慢死
[00:02:09.000 --> 00:02:14.000]  所以這個奴隸就做了很大的
[00:02:14.000 --> 00:02:16.000]  很險的決定
[00:02:16.000 --> 00:02:17.000]  就走
[00:02:17.000 --> 00:02:19.000]  走當然就不會留在那裡
[00:02:19.000 --> 00:02:20.000]  家裡附近
[00:02:20.000 --> 00:02:22.000]  一路輾轉
[00:02:22.000 --> 00:02:24.000]  我相信就走到羅馬
[00:02:24.000 --> 00:02:26.000]  誰知道在監獄裡
[00:02:26.000 --> 00:02:28.000]  碰見了坐牢的保羅
[00:02:28.000 --> 00:02:31.000]  誰知道在監獄裡碰見了保羅
[00:02:31.000 --> 00:02:32.000]  我想很多人就相信
[00:02:32.000 --> 00:02:34.000]  因為他要逃亡
[00:02:34.000 --> 00:02:36.000]  經常要躲在這裡躲在那裡
[00:02:36.000 --> 00:02:37.000]  什麼工作都要做
[00:02:37.000 --> 00:02:39.000]  做一些最卑下的工作
[00:02:39.000 --> 00:02:41.000]  去到監獄都要做
[00:02:41.000 --> 00:02:44.000]  在最卑下的監獄的地方
[00:02:44.000 --> 00:02:45.000]  就碰到保羅
[00:02:45.000 --> 00:02:48.000]  保羅就藉機會
[00:02:48.000 --> 00:02:49.000]  認識他之後
[00:02:49.000 --> 00:02:51.000]  就將福音傳給他
[00:02:51.000 --> 00:02:53.000]  亞歷西伯就信了耶穌
[00:02:53.000 --> 00:02:55.000]  他的生命有很大的改變
[00:02:55.000 --> 00:02:59.000]  接著就發生第二件驚天動地的冒險的事
[00:02:59.000 --> 00:03:01.000]  就是不知道是亞歷西伯他自己
[00:03:01.000 --> 00:03:02.000]  信了主之後
[00:03:02.000 --> 00:03:04.000]  心裡面的悔改的心
[00:03:04.000 --> 00:03:06.000]  和他決定說
[00:03:06.000 --> 00:03:10.000]  我要回到我逃亡出來的主人那裡
[00:03:10.000 --> 00:03:11.000]  向他道歉
[00:03:11.000 --> 00:03:13.000]  回到他那裡
[00:03:13.000 --> 00:03:14.000]  其實你知道
[00:03:14.000 --> 00:03:17.000]  這個決定是死的
[00:03:17.000 --> 00:03:19.000]  這樣走了出來
[00:03:19.000 --> 00:03:20.000]  回到他那裡
[00:03:20.000 --> 00:03:21.000]  怎麼知道結果呢
[00:03:21.000 --> 00:03:24.000]  於是我相信保羅也是在祈禱裡面
[00:03:24.000 --> 00:03:26.000]  支持他這樣做
[00:03:26.000 --> 00:03:27.000]  所以保羅就為他
[00:03:27.000 --> 00:03:29.000]  不如我為你寫一封信
[00:03:29.000 --> 00:03:31.000]  寫一封推薦信
[00:03:31.000 --> 00:03:33.000]  希望這個肥利門
[00:03:33.000 --> 00:03:34.000]  你的主人
[00:03:34.000 --> 00:03:36.000]  看到我這封信的時候
[00:03:36.000 --> 00:03:37.000]  又見到你
[00:03:37.000 --> 00:03:38.000]  重新接納你
[00:03:38.000 --> 00:03:39.000]  不殺你
[00:03:39.000 --> 00:03:41.000]  這個是一個很大的險
[00:03:41.000 --> 00:03:43.000]  保羅這樣做都很大冒險
[00:03:43.000 --> 00:03:45.000]  如果不是就變成送人回去送死
[00:03:45.000 --> 00:03:47.000]  尤其是基督徒
[00:03:47.000 --> 00:03:48.000]  信耶穌
[00:03:48.000 --> 00:03:49.000]  送他回去送死
