
[00:00:00.000 --> 00:00:05.000]  各位大兄弟妹妹 各位朋友 你們好
[00:00:05.000 --> 00:00:07.500]  歡迎大家參加我們三藩市播道會
[00:00:07.500 --> 00:00:09.500]  網上命運堂神拜
[00:00:09.500 --> 00:00:14.500]  我們今天繼續思想馬太夫人登山補份的信息
[00:00:14.500 --> 00:00:20.500]  我們來到馬太夫人第六章25至34節
[00:00:20.500 --> 00:00:25.000]  題目叫做「人無遠慮必有近憂」
[00:00:25.000 --> 00:00:28.000]  在未開始思想這段聖經之前
[00:00:28.000 --> 00:00:31.000]  請我們同心低頭 為這道禱告
[00:00:31.000 --> 00:00:34.000]  先給你人的天父 我們本身感謝你
[00:00:34.000 --> 00:00:38.000]  你告訴他 他們有勞苦擔重擔
[00:00:38.000 --> 00:00:40.000]  可以到我們這裡來
[00:00:40.000 --> 00:00:44.000]  你一定為我們 給我們有安息
[00:00:44.000 --> 00:00:48.000]  天父 我們適應很多時候
[00:00:48.000 --> 00:00:52.000]  在我們的生活裏面有很多焦慮
[00:00:52.000 --> 00:00:55.000]  擔心這個 擔心那個
[00:00:55.000 --> 00:00:58.000]  你教導我們懂得怎樣
[00:00:58.000 --> 00:01:02.000]  將我們的憂慮交到主的手裏面
[00:01:02.000 --> 00:01:04.000]  教導我們懂得怎樣
[00:01:04.000 --> 00:01:07.000]  用你教導我們的方法
[00:01:07.000 --> 00:01:14.000]  怎樣去應對生命裏面各種不同的焦慮
[00:01:14.000 --> 00:01:18.000]  你真的祝福保守我們 要我們同在
[00:01:18.000 --> 00:01:21.000]  祈禱奉耶穌基督的名 阿們
[00:01:21.000 --> 00:01:26.000]  在1976年 我剛從美國回到香港侍奉
[00:01:26.000 --> 00:01:30.000]  那天主日 我講道的時候
[00:01:30.000 --> 00:01:33.000]  聖經的經文就是這段聖經
[00:01:33.000 --> 00:01:37.000]  馬太福音第六章25至34節
[00:01:37.000 --> 00:01:39.000]  當時我對會眾說
[00:01:39.000 --> 00:01:43.000]  我相信在你們中間 我是最沒資格
[00:01:43.000 --> 00:01:47.000]  講這段聖經 論述這段題目的
[00:01:47.000 --> 00:01:53.000]  因為這兩個星期 我實在是非常非常憂慮
[00:01:53.000 --> 00:01:56.000]  覺得神好像在捉弄我
[00:01:56.000 --> 00:02:00.000]  因為我講道的時候是順著聖經的經文講道
[00:02:00.000 --> 00:02:05.000]  剛剛那天就是講道馬太福音第六章25至34節
[00:02:05.000 --> 00:02:07.000]  是講到憂慮的問題
[00:02:07.000 --> 00:02:10.000]  我對會眾說 事情是這樣
[00:02:10.000 --> 00:02:15.000]  我大太君主懷孕差不多有三個月的時間
[00:02:15.000 --> 00:02:21.000]  前日發覺和證實了 她的確是患上了德國疹
[00:02:21.000 --> 00:02:26.000]  我們知道一個初期懷孕的婦人
[00:02:26.000 --> 00:02:29.000]  如果是患上了德國疹的時候
[00:02:29.000 --> 00:02:31.000]  胎兒受到一定的影響
[00:02:31.000 --> 00:02:36.000]  或者是弄啞 或者是傷目失明
[00:02:36.000 --> 00:02:40.000]  或者是心漏 或者是智障
