
[00:00:00.000 --> 00:00:08.600]  今天要和大家看的是聖經裡的一個年輕人
[00:00:08.600 --> 00:00:13.800]  在聖經裡有兩個人主動來找耶穌
[00:00:13.800 --> 00:00:15.400]  第一個大家都很熟悉
[00:00:15.400 --> 00:00:20.200]  在約翰福音第三章的人叫尼哥底姆
[00:00:20.200 --> 00:00:22.000]  是個老人家
[00:00:22.000 --> 00:00:26.400]  他是晚上偷偷來找耶穌
[00:00:26.400 --> 00:00:30.600]  第二個年輕人三卷福音書都有記載
[00:00:30.600 --> 00:00:34.800]  馬太、馬可、盧迦都有記載
[00:00:34.800 --> 00:00:38.200]  有一個年輕人也是來找耶穌
[00:00:38.200 --> 00:00:41.400]  和剛才尼哥底姆很不同
[00:00:41.400 --> 00:00:43.800]  尼哥底姆是個老人家
[00:00:43.800 --> 00:00:46.800]  但這個年輕人很年輕
[00:00:46.800 --> 00:00:49.200]  可能只有二十多歲
[00:00:49.200 --> 00:00:52.400]  尼哥底姆是晚上來找耶穌
[00:00:52.400 --> 00:00:57.400]  這個年輕人是光天白日來找耶穌
[00:00:57.400 --> 00:01:01.200]  但這兩個人都有相同的地方
[00:01:01.200 --> 00:01:05.000]  兩個人都是因為心靈裡有些需要
[00:01:05.000 --> 00:01:07.000]  他要來找耶穌
[00:01:07.000 --> 00:01:11.200]  兩個人都有很濃厚的宗教背景
[00:01:11.200 --> 00:01:14.800]  但他們心裡都知道
[00:01:14.800 --> 00:01:19.000]  宗教的背景不能夠為他帶來永生
[00:01:19.000 --> 00:01:22.400]  所以他們兩個心裡都想找耶穌
[00:01:22.400 --> 00:01:26.000]  來解決永生的問題
[00:01:26.000 --> 00:01:29.800]  他們兩個人都是很謙卑的來找耶穌
[00:01:29.800 --> 00:01:34.000]  聖經也說兩個人都是做官
[00:01:34.000 --> 00:01:35.800]  那個年長的做官
[00:01:35.800 --> 00:01:40.400]  我相信當時猶太人是在羅馬人的統治
[00:01:40.400 --> 00:01:42.400]  所以他沒有自己的政府
[00:01:42.400 --> 00:01:44.000]  沒有自己的官員
[00:01:44.000 --> 00:01:45.800]  所以他所謂做官
[00:01:45.800 --> 00:01:51.000]  應該在他們的議會中
[00:01:51.000 --> 00:01:53.800]  他是其中一個成員
[00:01:53.800 --> 00:01:59.000]  尼哥底姆是一個德高望重的領袖
[00:01:59.000 --> 00:02:00.800]  這個年輕人
[00:02:00.800 --> 00:02:04.600]  三卷福音書裡的路加福音
[00:02:04.600 --> 00:02:08.000]  都說他是一個少年的官
[00:02:08.000 --> 00:02:10.200]  我想因為他年紀輕輕
[00:02:10.200 --> 00:02:14.800]  不應該在議會當領袖
[00:02:14.800 --> 00:02:19.000]  我相信他在一些本地的會堂
[00:02:19.000 --> 00:02:21.000]  即是叫做Synagogue那裡
[00:02:21.000 --> 00:02:22.800]  可能他是那裡的一個領袖
[00:02:22.800 --> 00:02:26.000]  但兩個人都是有頭有臉
[00:02:26.000 --> 00:02:28.400]  外出都是一個非常虔誠
[00:02:28.400 --> 00:02:29.800]  非常好的人
[00:02:29.800 --> 00:02:32.400]  但是兩個人來找耶穌
[00:02:32.400 --> 00:02:34.800]  因為他心裡有這個需要
[00:02:34.800 --> 00:02:39.200]  他知道他未有得到永生
[00:02:39.200 --> 00:02:42.800]  今早我要和大家思想這個年輕人的時候
[00:02:42.800 --> 00:02:47.800]  我稍後所說的會很不同
[00:02:47.800 --> 00:02:50.000]  我們希望在這個年輕人身上
[00:02:50.000 --> 00:02:52.200]  學習到一些功課
[00:02:52.200 --> 00:02:56.200]  我們不單止只是看他和耶穌的對話
[00:02:56.200 --> 00:03:00.400]  一會兒我希望我們用多一點想像力
[00:03:00.400 --> 00:03:02.800]  甚至今早我要大家
[00:03:02.800 --> 00:03:06.200]  和我一起做私家偵探
[00:03:06.200 --> 00:03:10.200]  我們想探討多一點關於這個聖經
[00:03:10.200 --> 00:03:14.000]  沒有說到他的名字的年輕人
[00:03:14.000 --> 00:03:16.400]  所以大家要留心聽
[00:03:16.400 --> 00:03:17.600]  千萬不要閉上眼睛
[00:03:17.600 --> 00:03:20.800]  一會兒我們要動腦筋
[00:03:20.800 --> 00:03:26.200]  追溯多一點關於這個年輕人
[00:03:26.200 --> 00:03:30.000]  我們先來看馬可福音第十章
[00:03:30.000 --> 00:03:33.000]  第十章第十七節我讀給大家聽
[00:03:33.000 --> 00:03:35.600]  耶穌出來行路的時候
[00:03:35.600 --> 00:03:37.800]  有一個人跑過來
