
[00:00:00.000 --> 00:00:10.000]  (內容簡介)
[00:00:10.000 --> 00:00:12.000]  各位影子們晚安
[00:00:12.000 --> 00:00:15.000]  能夠有機會和大家一起讀聖經
[00:00:15.000 --> 00:00:18.000]  是非常興奮的事情
[00:00:18.000 --> 00:00:24.000]  所以開始的時候我只是有一個提議
[00:00:24.000 --> 00:00:31.000]  我們有六次,每次有九十分鐘的時間
[00:00:31.000 --> 00:00:35.000]  怎樣都講不完利美記
[00:00:35.000 --> 00:00:42.000]  所以在這六次的時間,五個星期裡
[00:00:42.000 --> 00:00:47.000]  我很想建議大家每天讀一章利美記
[00:00:47.000 --> 00:00:53.000]  剛好,星期天忙得不讀,溫習
[00:00:53.000 --> 00:00:57.000]  一個星期讀六章,五個星期讀三十章
[00:00:57.000 --> 00:01:02.000]  利美記沒有三十章,中間可以漏掉
[00:01:02.000 --> 00:01:06.000]  你可以讀完利美記
[00:01:06.000 --> 00:01:13.000]  或者讀的時候,如果需要有少許參考書幫助就好
[00:01:13.000 --> 00:01:19.000]  所以你不怕去基督教書局,自己選擇
[00:01:19.000 --> 00:01:22.000]  合眼緣就行,不用太多推薦
[00:01:22.000 --> 00:01:27.000]  有時幫你讀經文,有人幫你解釋
[00:01:27.000 --> 00:01:32.000]  主要是讀經文,不是讀參考書
[00:01:32.000 --> 00:01:36.000]  所以紅銅面牧師寫了兩本很厚的
[00:01:36.000 --> 00:01:39.000]  那就很辛苦,如果要五個星期讀完
[00:01:39.000 --> 00:01:43.000]  有些很薄的,很容易看
[00:01:43.000 --> 00:01:48.000]  如果你只聽,得益會少一點
[00:01:48.000 --> 00:01:51.000]  如果你有機會自己去讀
[00:01:51.000 --> 00:01:58.000]  再加上我們有六次一起思想討論
[00:01:58.000 --> 00:02:01.000]  大概會幫助更大
[00:02:01.000 --> 00:02:07.000]  我首先和大家從利美記第一章開始
[00:02:07.000 --> 00:02:12.000]  我們找到第一章第一節到第九節
[00:02:12.000 --> 00:02:16.000]  利美記一章一至九節
[00:02:16.000 --> 00:02:18.000]  我們一起讀吧
[00:02:18.000 --> 00:02:23.000]  耶和華從會幕中呼叫摩西對他說
[00:02:23.000 --> 00:02:26.000]  你曉如以色列人說
[00:02:26.000 --> 00:02:31.000]  你們中間若有人獻公物給耶和華
[00:02:31.000 --> 00:02:36.000]  要從牛群羊群中獻牲畜為公物
[00:02:36.000 --> 00:02:39.000]  他的公物若以牛為繁祭
[00:02:39.000 --> 00:02:44.000]  就要在會幕門口獻一隻沒有殘疾的公牛
[00:02:44.000 --> 00:02:47.000]  可以在耶和華面前蒙月立
[00:02:47.000 --> 00:02:51.000]  他要按手在繁祭身的球上
[00:02:51.000 --> 00:02:55.000]  繁祭便蒙月立,為他贖罪
[00:02:55.000 --> 00:02:58.000]  他要在耶和華面前載公牛
