
[00:00:00.000 --> 00:00:08.000]  人神之際3 宗教經驗的研究
[00:00:08.000 --> 00:00:12.000]  從心理現象看信仰的反省
[00:00:12.000 --> 00:00:15.000]  主講者溫偉耀先生
[00:00:15.000 --> 00:00:18.000]  天國牛津大學哲學博士
[00:00:18.000 --> 00:00:21.000]  現在我們講宗教經驗
[00:00:21.000 --> 00:00:25.000]  宗教經驗我們先從廣義來講講
[00:00:25.000 --> 00:00:29.000]  廣義來看宗教經驗可以說是這樣的情況
[00:00:29.000 --> 00:00:32.000]  我們先兩堂都講到如果用形象來說
[00:00:32.000 --> 00:00:36.000]  是水平平面的關係
[00:00:36.000 --> 00:00:39.000]  第一堂講人是怎樣呢
[00:00:39.000 --> 00:00:41.000]  首先要尋索真我
[00:00:41.000 --> 00:00:44.000]  Individualization 一個自我
[00:00:44.000 --> 00:00:47.000]  個別每個個體的獨特性
[00:00:47.000 --> 00:00:49.000]  然後這個個體的獨特性
[00:00:49.000 --> 00:00:54.000]  第二個特色就是要投入群體才能完成自己
[00:00:54.000 --> 00:00:56.000]  人的個體雖然是獨特
[00:00:56.000 --> 00:00:58.000]  但本身無法完成自己
[00:00:58.000 --> 00:01:01.000]  insufficient as an individual
[00:01:01.000 --> 00:01:03.000]  所以要投入群體
[00:01:03.000 --> 00:01:10.000]  個人投入群體就找到一個比較全面的人性的描述
[00:01:10.000 --> 00:01:11.000]  這個就是我們基督教人
[00:01:11.000 --> 00:01:14.000]  第三個就是一個消極面來說
[00:01:14.000 --> 00:01:16.000]  就是人有犯罪的可能性
[00:01:16.000 --> 00:01:18.000]  其實我的人觀就是這麼簡單
[00:01:18.000 --> 00:01:19.000]  三點來的
[00:01:19.000 --> 00:01:21.000]  當然可以延展到很多東西
[00:01:21.000 --> 00:01:24.000]  基本上我講的這兩點就是講到一個平面的
[00:01:24.000 --> 00:01:26.000]  可以說是人際之間的關係
[00:01:26.000 --> 00:01:28.000]  Individualization and participation
[00:01:28.000 --> 00:01:31.000]  還有一點還沒講的
[00:01:31.000 --> 00:01:33.000]  就是垂直面
[00:01:33.000 --> 00:01:36.000]  垂直就是人超越他自己
[00:01:36.000 --> 00:01:40.000]  超越他自己這個我們可以說是一個宗教經驗的層次
[00:01:40.000 --> 00:01:45.000]  宗教經驗就是將主體指向一個他以外的
[00:01:45.000 --> 00:01:48.000]  不是其他人或者是自然界
[00:01:48.000 --> 00:01:52.000]  他以上的一個超越者
[00:01:52.000 --> 00:01:53.000]  一個超越的對象
[00:01:53.000 --> 00:01:55.000]  Transcendent subject 或者是Divine
[00:01:55.000 --> 00:02:00.000]  Holy的Reality
[00:02:00.000 --> 00:02:05.000]  還有可能不單止指向並且和他有一個相遇
[00:02:05.000 --> 00:02:10.000]  甚至有些時間有些人和他聯合Union
[00:02:10.000 --> 00:02:13.000]  這裡我們可以說是一種形象來說
[00:02:13.000 --> 00:02:15.000]  垂直面的關係
[00:02:15.000 --> 00:02:17.000]  有水平有垂直
[00:02:17.000 --> 00:02:20.000]  已經是一個很全面的人的關係
[00:02:20.000 --> 00:02:23.000]  我們說社會學很多的心理學
[00:02:23.000 --> 00:02:25.000]  非基督教的心理學社會學
