
[00:00:00.000 --> 00:00:07.560]  今天是 剛才說到在二教徒的節日裏面
[00:00:07.560 --> 00:00:10.480]  讀上帝的道
[00:00:10.480 --> 00:00:12.000]  在最早期的時候
[00:00:12.000 --> 00:00:16.040]  怎樣向當時候的東方
[00:00:16.040 --> 00:00:18.360]  當然他們不認識
[00:00:18.360 --> 00:00:22.680]  但是起碼是早期的信徒所認知的世界
[00:00:22.680 --> 00:00:26.640]  一大部分就是在《史壇傳》裏面記載
[00:00:26.640 --> 00:00:28.760]  去到羅馬 28章去到羅馬
[00:00:28.760 --> 00:00:32.840]  雖然是保羅去到羅馬的情況比較奇怪
[00:00:32.840 --> 00:00:38.560]  不是他心甘情願或者是自由地去到羅馬
[00:00:38.560 --> 00:00:40.080]  但始終去到羅馬
[00:00:40.080 --> 00:00:43.760]  尤其是如果我們看路加在《史壇傳》記載
[00:00:43.760 --> 00:00:45.840]  他怎樣最後那句
[00:00:45.840 --> 00:00:48.720]  是福音在上帝的道
[00:00:48.720 --> 00:00:51.640]  在羅馬傳開是無人禁止
[00:00:51.640 --> 00:00:53.400]  這一句都很誇張
[00:00:53.400 --> 00:00:57.760]  其實以這句話來做結束
[00:00:57.760 --> 00:01:01.120]  其實都標誌著
[00:01:01.120 --> 00:01:04.080]  第一就是《史壇傳》起全福音
[00:01:04.080 --> 00:01:09.080]  那個起上帝的國道的擴展上面
[00:01:09.080 --> 00:01:10.760]  其實是開始而已
[00:01:10.760 --> 00:01:12.480]  有段時間還沒完
[00:01:12.480 --> 00:01:14.800]  另外就是也標誌著
[00:01:14.800 --> 00:01:16.720]  因為無人禁止
[00:01:16.720 --> 00:01:19.400]  無人禁止就是標誌著前面很多人想禁止
[00:01:19.400 --> 00:01:20.600]  其實那個故事
[00:01:20.600 --> 00:01:22.600]  如果我們看《史壇傳》那個故事
[00:01:22.600 --> 00:01:27.240]  就需要用全福音的時候
[00:01:27.240 --> 00:01:29.240]  最早期《信徒傳》的全福音的時候
[00:01:29.240 --> 00:01:34.480]  遇到很多的困難和阻力
[00:01:34.480 --> 00:01:37.280]  那些阻力困難當然全部都是由人來
[00:01:37.280 --> 00:01:39.800]  登山涉水都會有困難
[00:01:39.800 --> 00:01:42.320]  但是保羅都是
[00:01:42.320 --> 00:01:47.720]  尤其是最後要去羅馬的旅程當中
[00:01:47.720 --> 00:01:50.600]  船又沉了
[00:01:50.600 --> 00:01:52.080]  觸礁沉了
[00:01:52.080 --> 00:01:52.760]  之類
[00:01:52.760 --> 00:01:53.560]  又風浪
[00:01:53.560 --> 00:01:55.080]  所以其實都是牙癲的
[00:01:55.080 --> 00:01:57.280]  但是主要對保羅起
[00:01:57.280 --> 00:01:58.960]  哥倫多候選11章
[00:01:58.960 --> 00:02:00.920]  也都說到有三河的危險
[00:02:00.920 --> 00:02:02.320]  盜賊的危險
[00:02:02.320 --> 00:02:05.320]  這個都是和以前他旅行
[00:02:05.320 --> 00:02:06.280]  不是坐飛機
[00:02:06.280 --> 00:02:07.760]  坐飛機上應該沒什麼盜賊
[00:02:07.760 --> 00:02:08.840]  都可能有的
[00:02:08.840 --> 00:02:11.800]  聽說有偷行李都可能有
[00:02:11.800 --> 00:02:14.960]  但是主要以前真的陸路水路
[00:02:14.960 --> 00:02:17.320]  在船上被人強迫搶
[00:02:17.320 --> 00:02:18.800]  如果有賊的話
[00:02:18.800 --> 00:02:20.640]  如果是黑船的話
[00:02:20.640 --> 00:02:22.200]  陸路上有牙癲
[00:02:22.200 --> 00:02:24.040]  但是史坦傳記載
[00:02:24.040 --> 00:02:26.560]  主要的壓力都是由人
[00:02:26.560 --> 00:02:28.720]  因為是信徒傳福音
[00:02:28.720 --> 00:02:31.480]  主要的原因都是因為傳福音
[00:02:31.480 --> 00:02:34.080]  其實因為傳福音是招惹
[00:02:34.080 --> 00:02:42.080]  其他人對傳福音的信徒的注意
[00:02:42.080 --> 00:02:48.040]  接著進一步對他們施加壓力
[00:02:48.040 --> 00:02:51.440]  甚至是令到傳福音的人
[00:02:51.440 --> 00:02:56.680]  包括保羅、希拉、彼得、約翰
[00:02:56.680 --> 00:02:59.800]  這些最早期的使徒和門徒
[00:02:59.800 --> 00:03:02.120]  身體遭到罰錄
[00:03:02.120 --> 00:03:06.680]  我們今天開始的時候
[00:03:06.680 --> 00:03:12.480]  我就扔了一疊筆記本給林姑娘
[00:03:12.480 --> 00:03:13.680]  但是一般來說
[00:03:13.680 --> 00:03:15.120]  筆記本都是
[00:03:15.120 --> 00:03:17.440]  你知道香港無論上什麼課
[00:03:17.440 --> 00:03:19.720]  尤其是補習最重要是筆記本
[00:03:19.720 --> 00:03:21.040]  筆記本其實沒什麼用
[00:03:21.040 --> 00:03:24.680]  我今天和大家看聖經多一點
[00:03:24.680 --> 00:03:28.040]  所以大家手上真的要有一本聖經
[00:03:28.040 --> 00:03:30.600]  或者你手機上
[00:03:30.600 --> 00:03:33.120]  你用手機版
[00:03:33.120 --> 00:03:35.400]  手機樣式的聖經也好
[00:03:35.400 --> 00:03:37.160]  或者是硬本的聖經
[00:03:37.160 --> 00:03:39.120]  筆記本偶然也會看一下
[00:03:39.120 --> 00:03:40.720]  有些地方會讀一下
