
[00:00:00.000 --> 00:00:07.280]  領主們我們今天在崇拜裡面一起看耶利米蘇的第六章
[00:00:07.280 --> 00:00:10.120]  接著我們會再看它三十一章
[00:00:10.120 --> 00:00:17.080]  剛才讀聖經的時候你都可以看到這一章聖經是很嚴厲的一章聖經
[00:00:17.080 --> 00:00:21.840]  我們今天有個大綱在這裡
[00:00:21.840 --> 00:00:23.520]  如果你可以看著大綱
[00:00:23.520 --> 00:00:28.200]  可以幫助我們一起去容易一點閱讀神的說話
[00:00:28.200 --> 00:00:33.960]  如果你喜歡打開聖經看耶利米蘇第六章都可以
[00:00:33.960 --> 00:00:38.640]  我首先講我今天講道沒有什麼企圖的
[00:00:38.640 --> 00:00:45.520]  我只是想和大家一起去看神的說話
[00:00:45.520 --> 00:00:47.520]  聽聽神說什麼
[00:00:47.520 --> 00:00:55.120]  然後我也不否認我會在神自己的說話裡面去看香港的情況
[00:00:55.120 --> 00:00:58.440]  我覺得作為一個港道的人
[00:00:58.440 --> 00:01:02.520]  講一些風花雪月的東西不是不行的
[00:01:02.520 --> 00:01:07.480]  不過我心裡面是有從神而來的信息想講
[00:01:07.480 --> 00:01:09.480]  不過請你不要對號入座
[00:01:09.480 --> 00:01:15.000]  猜我講這句話究竟是想講什麼游說我什麼
[00:01:15.000 --> 00:01:18.040]  我們這幾天包括我在內
[00:01:18.040 --> 00:01:20.040]  我已經太過疲倦
[00:01:20.040 --> 00:01:22.440]  聽到話很多時候都會有骨
[00:01:22.440 --> 00:01:28.200]  我猜他想講的不是表面的東西是後面的東西
[00:01:28.200 --> 00:01:31.600]  我和你都不想再聽這些說話
[00:01:31.600 --> 00:01:35.760]  只要我們一起簡單聽神說什麼
[00:01:35.760 --> 00:01:39.800]  究竟神說了什麼對你有什麼意思
[00:01:39.800 --> 00:01:43.720]  聽到什麼你自己在神面前聆聽
[00:01:43.720 --> 00:01:47.360]  我沒有想告訴你要這樣看要這樣看
[00:01:47.360 --> 00:01:50.440]  我的責任是解釋神的說話
[00:01:50.440 --> 00:01:52.440]  我也要聆聽神的說話
[00:01:52.440 --> 00:01:58.240]  我剛才說這段聖經我引用的時候當然有我的意思
[00:01:58.240 --> 00:02:01.560]  因為在這段日子裡大家和我一樣
[00:02:01.560 --> 00:02:03.960]  對於香港的情況我們都很沉重
[00:02:03.960 --> 00:02:05.360]  也很難過
[00:02:05.360 --> 00:02:06.640]  甚至有憤怒
[00:02:06.640 --> 00:02:08.640]  有很多很複雜的情緒
[00:02:08.640 --> 00:02:11.520]  所以我除了自己的寫作和看聖經
[00:02:11.520 --> 00:02:14.400]  和研究之外我也看了好幾本書
[00:02:14.400 --> 00:02:17.640]  和香港的情況我覺得是有關係的
[00:02:17.640 --> 00:02:21.440]  其中一本我看的是一本明珠
[00:02:21.440 --> 00:02:23.440]  18世紀的明珠
[00:02:23.440 --> 00:02:29.200]  那本書是一位歷史學家Edward Gibbon所寫的明珠
[00:02:29.200 --> 00:02:32.160]  叫做羅馬帝國的衰亡史
[00:02:32.160 --> 00:02:34.840]  The Declining Fall of Roman Empires
[00:02:34.840 --> 00:02:36.840]  六大卷的書
[00:02:36.840 --> 00:02:41.600]  我看的時候就留意到這個作者為什麼會寫這本書呢
[00:02:41.600 --> 00:02:50.800]  他說自己有一天坐在羅馬本來偉大的帝國廢墟前
[00:02:50.800 --> 00:02:52.800]  當他坐在那裡的時候
[00:02:52.800 --> 00:02:56.920]  他看著這個曾經輝煌的帝國廢墟
