
[00:00:00.000 --> 00:00:03.200]  我們上次有一個新年
[00:00:03.200 --> 00:00:05.200]  所以我就借這個
[00:00:05.200 --> 00:00:08.520]  這些部分就快說 面子重播
[00:00:08.520 --> 00:00:10.020]  就是我們
[00:00:10.020 --> 00:00:12.500]  特別是信了主之後 我自己都時時提醒
[00:00:12.500 --> 00:00:15.000]  盡量不要說萬事如意
[00:00:15.000 --> 00:00:17.600]  有時現在看那些社團
[00:00:17.600 --> 00:00:19.600]  甚至那些國家的領導人
[00:00:19.600 --> 00:00:22.400]  都說萬事如意 有時你會笑
[00:00:22.400 --> 00:00:24.400]  如果嚴格來說
[00:00:24.400 --> 00:00:26.400]  祝人家萬事如意
[00:00:26.400 --> 00:00:28.400]  嚴格來說
[00:00:28.400 --> 00:00:31.400]  虛偽 空浮
[00:00:31.400 --> 00:00:33.400]  因為你明知做不到
[00:00:33.400 --> 00:00:35.400]  我們有個常識的說話
[00:00:35.400 --> 00:00:39.400]  世事不如人意 者十常八九
[00:00:39.400 --> 00:00:42.400]  根本不可能萬事如意
[00:00:42.400 --> 00:00:44.400]  第一 萬事如A意
[00:00:44.400 --> 00:00:46.400]  未必如B意
[00:00:46.400 --> 00:00:48.400]  更加一定不如C意
[00:00:48.400 --> 00:00:50.400]  大家的利益立場很多時候衝突
[00:00:50.400 --> 00:00:52.400]  國家又這樣 私人又這樣
[00:00:52.400 --> 00:00:55.400]  因此萬事如意這四個字
[00:00:55.400 --> 00:00:58.400]  根本就是實現的機會非常少
[00:00:58.400 --> 00:01:00.400]  而且本身未必是價值
[00:01:00.400 --> 00:01:02.400]  是不是?我們那時都說過
[00:01:02.400 --> 00:01:04.400]  重播第三次
[00:01:04.400 --> 00:01:06.400]  有個朋友 布里斯本 前輩大我幾年
[00:01:06.400 --> 00:01:09.400]  他就說少些人扮乖兄弟
[00:01:09.400 --> 00:01:11.400]  記不記得?
[00:01:11.400 --> 00:01:13.400]  他說賊佬拜關公
[00:01:13.400 --> 00:01:15.400]  保佑他打劫得成功
[00:01:15.400 --> 00:01:17.400]  差佬拜關公
[00:01:17.400 --> 00:01:19.400]  就保佑他捉賊立大功
[00:01:19.400 --> 00:01:22.400]  結果關公就顯神通
[00:01:22.400 --> 00:01:24.400]  於是警匪大戰
[00:01:24.400 --> 00:01:26.400]  到現在都未收工
[00:01:26.400 --> 00:01:28.400]  大家再聽第三四次
[00:01:28.400 --> 00:01:30.400]  都還有些朋友笑 確是幾好笑
[00:01:30.400 --> 00:01:33.400]  那個前輩姓陳 陳新
[00:01:33.400 --> 00:01:36.400]  他大我六七年左右
[00:01:36.400 --> 00:01:38.400]  很幽默的 這句說話真是
[00:01:38.400 --> 00:01:40.400]  背後很深刻 表示
[00:01:40.400 --> 00:01:42.400]  民間的信仰
[00:01:42.400 --> 00:01:44.400]  或者那些
[00:01:44.400 --> 00:01:47.400]  根本當所有神都是王大仙
[00:01:47.400 --> 00:01:49.400]  如果我們基督徒都是這樣
[00:01:49.400 --> 00:01:51.400]  其實就等於王大仙化
[00:01:51.400 --> 00:01:53.400]  這是另外一個深刻的問題
[00:01:53.400 --> 00:01:55.400]  萬事如意根本不可
[00:01:55.400 --> 00:01:57.400]  所以我說與其不如用
[00:01:57.400 --> 00:01:59.400]  另外一句話 萬事勝意
[00:01:59.400 --> 00:02:01.400]  你還貪心 勝意勝過你的意思?
[00:02:01.400 --> 00:02:03.400]  不是的 勝意的意思
[00:02:03.400 --> 00:02:05.400]  就是未必我們所求的
[00:02:05.400 --> 00:02:07.400]  是對的 問題是
[00:02:07.400 --> 00:02:09.400]  掌握 命運掌握
[00:02:09.400 --> 00:02:11.400]  是世界的主
[00:02:11.400 --> 00:02:13.400]  唯一的真主 他有他的尺度
[00:02:13.400 --> 00:02:15.400]  以賽亞書說得很清楚
[00:02:15.400 --> 00:02:17.400]  銀章八字九節
[00:02:17.400 --> 00:02:19.400]  是金句
[00:02:19.400 --> 00:02:21.400]  他的道路高過我們的道路
[00:02:21.400 --> 00:02:23.400]  並非我們的意願
[00:02:23.400 --> 00:02:25.400]  所以我們祈禱都是希望神
[00:02:25.400 --> 00:02:27.400]  照他的意思做
[00:02:27.400 --> 00:02:29.400]  有時候有疾病
[00:02:29.400 --> 00:02:31.400]  我們都不能夠祈禱 一定要醫好
[00:02:31.400 --> 00:02:33.400]  醫不醫好權在上帝
[00:02:33.400 --> 00:02:35.400]  這樣才是真正的祈禱
[00:02:35.400 --> 00:02:37.400]  如果你一定要
[00:02:37.400 --> 00:02:39.400]  祈禱一定要醫好
[00:02:39.400 --> 00:02:41.400]  你不醫好我就不信 其實你在要脅上帝
[00:02:41.400 --> 00:02:43.400]  如果祈親禱就好
[00:02:43.400 --> 00:02:45.400]  還需要去醫院 還需要去醫生
[00:02:45.400 --> 00:02:47.400]  是不是 祈親禱就好
[00:02:47.400 --> 00:02:49.400]  醫生自己都不會死
[00:02:49.400 --> 00:02:51.400]  醫生死的權就在上帝那裡
[00:02:51.400 --> 00:02:53.400]  大家都知道 從那個開始
[00:02:53.400 --> 00:02:55.400]  然後我們引述說
[00:02:55.400 --> 00:02:57.400]  我們中國人說
[00:02:57.400 --> 00:02:59.400]  謀事在人 成事在天
[00:02:59.400 --> 00:03:01.400]  正經就說 人心籌算
[00:03:01.400 --> 00:03:03.400]  自己的道路 只是耶和華指引
[00:03:03.400 --> 00:03:05.400]  他的腳步 真如四十六章九節
[00:03:05.400 --> 00:03:07.400]  上一堂所說
[00:03:07.400 --> 00:03:09.400]  上一次所說和現在所說
[00:03:09.400 --> 00:03:11.400]  其實就是我的書前言的部分
[00:03:11.400 --> 00:03:13.400]  不過這樣說
[00:03:13.400 --> 00:03:15.400]  又會希望親切一點
[00:03:15.400 --> 00:03:17.400]  一個似乎顯得無奈
[00:03:17.400 --> 00:03:19.400]  謀事在人 成事在天
[00:03:19.400 --> 00:03:21.400]  但是曾元的說法
[00:03:21.400 --> 00:03:23.400]  更加有信靠
[00:03:23.400 --> 00:03:25.400]  其實分別就是
[00:03:25.400 --> 00:03:27.400]  中國很多東西和正經是相差
[00:03:27.400 --> 00:03:29.400]  就是有神
[00:03:29.400 --> 00:03:31.400]  和沒有確定的神
[00:03:31.400 --> 00:03:33.400]  那一下分別
[00:03:33.400 --> 00:03:35.400]  曾元很多句很好的
[00:03:35.400 --> 00:03:37.400]  所以很值得和大家介紹
[00:03:37.400 --> 00:03:39.400]  人的腳步是耶和華所定
[00:03:39.400 --> 00:03:41.400]  人豈能明白自己的路呢
[00:03:41.400 --> 00:03:43.400]  馬是為打仗那天來準備的
[00:03:43.400 --> 00:03:45.400]  但是能不能打贏就在乎耶和華
[00:03:45.400 --> 00:03:47.400]  秋天那些籤就放在胸懷裡
[00:03:47.400 --> 00:03:49.400]  但是定是在耶和華
[00:03:49.400 --> 00:03:51.400]  這些是曾元的明具
[00:03:51.400 --> 00:03:53.400]  我們看得很親切有味
[00:03:53.400 --> 00:03:55.400]  更加令我們人心境界
[00:03:55.400 --> 00:03:57.400]  智慧境界深一層
[00:03:57.400 --> 00:03:59.400]  所以說不如
[00:03:59.400 --> 00:04:01.400]  祝萬事勝意好過
[00:04:01.400 --> 00:04:03.400]  由此開頭
[00:04:03.400 --> 00:04:05.400]  大家手上有嗎?
[00:04:05.400 --> 00:04:07.400]  不懂中文也不要緊
[00:04:07.400 --> 00:04:09.400]  拿著它鼓勵自己將來會
[00:04:09.400 --> 00:04:11.400]  不用這麼說
[00:04:11.400 --> 00:04:13.400]  算了 我說一句
[00:04:13.400 --> 00:04:15.400]  兒女如骨細液
[00:04:15.400 --> 00:04:17.400]  不惜功本無論多辛苦也要鼓勵
[00:04:17.400 --> 00:04:19.400]  兒文三語
[00:04:19.400 --> 00:04:21.400]  以前就難說了
[00:04:21.400 --> 00:04:23.400]  社會客觀環境有困難
[00:04:23.400 --> 00:04:25.400]  我們親為父母的責任就是
[00:04:25.400 --> 00:04:27.400]  給兒女最好的
[00:04:27.400 --> 00:04:29.400]  而現在你知道
[00:04:29.400 --> 00:04:31.400]  中國人佔世界四分之一
[00:04:31.400 --> 00:04:33.400]  不要說五千年文化未斷過
[00:04:33.400 --> 00:04:35.400]  不要說背後的文化
[00:04:35.400 --> 00:04:37.400]  上帝既然做得我們是炎黃子孫
[00:04:37.400 --> 00:04:39.400]  本來就是希望我們能夠肩負這方面的責任
[00:04:39.400 --> 00:04:41.400]  榮臣益人
[00:04:41.400 --> 00:04:43.400]  在這裡烏鷹飛過
[00:04:43.400 --> 00:04:45.400]  英文好沒用
[00:04:45.400 --> 00:04:47.400]  誰說英文好沒用?英文世界議員
[00:04:47.400 --> 00:04:49.400]  就是因為這樣所以
[00:04:49.400 --> 00:04:51.400]  只是英文好
[00:04:51.400 --> 00:04:53.400]  就算工商界發展
[00:04:53.400 --> 00:04:55.400]  也是一樣
[00:04:55.400 --> 00:04:57.400]  上司機構為何要你回亞太區做主宰
[00:04:57.400 --> 00:04:59.400]  為何不派伯奇夫
[00:04:59.400 --> 00:05:01.400]  為何不派生出來
[00:05:01.400 --> 00:05:03.400]  非常標準的Oxford English
[00:05:03.400 --> 00:05:05.400]  就是因為你又懂英文
[00:05:05.400 --> 00:05:07.400]  又有中國關係
[00:05:07.400 --> 00:05:09.400]  你又懂中文 了解兩種文化
[00:05:09.400 --> 00:05:11.400]  你可以起溝通作用
[00:05:11.400 --> 00:05:13.400]  你可以對機構有發展
[00:05:13.400 --> 00:05:15.400]  這是常識
[00:05:15.400 --> 00:05:17.400]  所以陸克文先生非常有遠見
[00:05:17.400 --> 00:05:19.400]  其他我不敢評論他
[00:05:19.400 --> 00:05:21.400]  只是幾十年前他已經
[00:05:21.400 --> 00:05:23.400]  自己的確學中文
[00:05:23.400 --> 00:05:25.400]  這件事了不起
[00:05:25.400 --> 00:05:27.400]  正如我們時時崇拜馬勒信佩服他
[00:05:27.400 --> 00:05:29.400]  當時整個西方世界沒有一個人懂中文
[00:05:29.400 --> 00:05:31.400]  他就已經
[00:05:31.400 --> 00:05:33.400]  立志來東方傳教
[00:05:33.400 --> 00:05:35.400]  從零開始
[00:05:35.400 --> 00:05:37.400]  學到後來可以編中文字典
[00:05:37.400 --> 00:05:39.400]  他的後記者
[00:05:39.400 --> 00:05:41.400]  James Leigh 李那國
[00:05:41.400 --> 00:05:43.400]  即是黃忍書院第一任校長
[00:05:43.400 --> 00:05:45.400]  牛津大學第一任講座教授
[00:05:45.400 --> 00:05:47.400]  可以譯中國的五經
[00:05:47.400 --> 00:05:49.400]  了不起
[00:05:49.400 --> 00:05:51.400]  真的起了溝通文化的責任
[00:05:51.400 --> 00:05:53.400]  我都知道重要
[00:05:53.400 --> 00:05:55.400]  可惜我現在已經鼓勵下一代
[00:05:55.400 --> 00:05:57.400]  這些又題外話
[00:05:57.400 --> 00:05:59.400]  大家可以順著那張紙
[00:05:59.400 --> 00:06:01.400]  針者針也
[00:06:01.400 --> 00:06:03.400]  找不找得到
[00:06:03.400 --> 00:06:05.400]  針源是甚麼來的
[00:06:05.400 --> 00:06:07.400]  有根據是否較好
[00:06:07.400 --> 00:06:09.400]  否則空口說白話很難把握
