
[00:00:00.000 --> 00:00:06.400]  今天我們分享的題目是舊約僕人傳
[00:00:06.400 --> 00:00:09.400]  我們說到第三個僕人 就是基顛
[00:00:09.400 --> 00:00:11.600]  大家知不知道基顛的英文名字是什麼?
[00:00:11.600 --> 00:00:14.600]  就是Gideon
[00:00:14.600 --> 00:00:18.000]  我有一個很好的朋友 很好的弟兄
[00:00:18.000 --> 00:00:19.200]  也是叫做Gideon
[00:00:19.200 --> 00:00:21.400]  一邊說的時候 有時候也會想起他
[00:00:21.400 --> 00:00:24.600]  剛才我們讀那段舊約的經文
[00:00:24.600 --> 00:00:27.600]  剛才讀希伯來書 剛才讀那段經文
[00:00:27.600 --> 00:00:30.400]  就說到很多舊約的僕人
[00:00:30.400 --> 00:00:32.800]  其中一個就是提到基顛
[00:00:32.800 --> 00:00:34.400]  他有很多都重要的
[00:00:34.400 --> 00:00:36.400]  剛才的經文說
[00:00:36.400 --> 00:00:39.600]  他們都是滅了烈火的猛勢
[00:00:39.600 --> 00:00:41.600]  脫了刀劍的鋒刃
[00:00:41.600 --> 00:00:44.400]  軟弱的變為剛強
[00:00:44.400 --> 00:00:47.200]  爭戰顯出勇敢
[00:00:47.200 --> 00:00:50.200]  打退了外邦的全軍
[00:00:50.200 --> 00:00:53.000]  他們都是英勇善戰
[00:00:53.000 --> 00:00:56.200]  而今天所說的基顛 都是英勇善戰
[00:00:56.200 --> 00:00:58.800]  但是他對上帝的信心
[00:00:58.800 --> 00:01:02.600]  卻是從弱變為強
[00:01:02.600 --> 00:01:04.000]  什麼是從弱變強呢?
[00:01:04.000 --> 00:01:05.600]  其實和我們很相似
[00:01:05.600 --> 00:01:07.600]  我們在座 我都相信
[00:01:07.600 --> 00:01:10.000]  我們是相信有上帝的
[00:01:10.000 --> 00:01:12.000]  我們都是相信上帝的
[00:01:12.000 --> 00:01:14.400]  不過問題很多時候我們遇到困境
[00:01:14.400 --> 00:01:17.200]  或者遇到一些疑惑的時候
[00:01:17.200 --> 00:01:20.200]  我們會只是帶著疑惑
[00:01:20.200 --> 00:01:21.600]  去和上帝同行
[00:01:21.600 --> 00:01:23.200]  我們的信心不是那些
[00:01:23.200 --> 00:01:26.000]  聖經說到信心為人那麼強大
[00:01:26.000 --> 00:01:27.800]  或者那麼足夠
[00:01:27.800 --> 00:01:30.000]  那麼基顛是誰呢?
[00:01:30.000 --> 00:01:32.400]  在第六章 即是《事司紀》
[00:01:32.400 --> 00:01:35.000]  第六章就說到基顛出場
[00:01:35.000 --> 00:01:38.600]  《事司紀》或者《事司》是什麼呢?
[00:01:38.600 --> 00:01:42.600]  原來當約書亞在110歲去世之後
[00:01:42.600 --> 00:01:45.200]  以色列人進入了一個叫做
[00:01:45.200 --> 00:01:47.200]  「事司」的時代
[00:01:47.200 --> 00:01:49.800]  大約就是上面說的公元前
[00:01:49.800 --> 00:01:52.400]  1390到1050年
[00:01:52.400 --> 00:01:55.800]  所謂「事司」就是當那一刻有需要
[00:01:55.800 --> 00:01:59.800]  特別有敵人去侵犯以色列人的時候
[00:01:59.800 --> 00:02:02.600]  那麼上帝就會興起一個人
[00:02:02.600 --> 00:02:05.400]  而那個人就成為了民族的領袖
[00:02:05.400 --> 00:02:08.400]  民族的英雄 然後去帶領他們
[00:02:08.400 --> 00:02:12.000]  但是這個民族的領袖不是皇帝
[00:02:12.000 --> 00:02:14.000]  因為他不是世襲的
[00:02:14.000 --> 00:02:16.400]  也都不需要選舉的
[00:02:16.400 --> 00:02:19.000]  而是上帝興起一個領袖
[00:02:19.000 --> 00:02:21.200]  去協助 去幫助以色列人
[00:02:21.200 --> 00:02:23.200]  渡過水深火熱的時候
[00:02:23.200 --> 00:02:27.600]  而《事司紀》第六章第一句的開場白是什麼呢?
[00:02:27.600 --> 00:02:30.400]  就是以色列人「又」
[00:02:30.400 --> 00:02:31.600]  要強調這個字
[00:02:31.600 --> 00:02:36.600]  以色列人「又」行耶和華眼中看為惡的事
[00:02:36.600 --> 00:02:42.200]  耶和華就將他們交在米顛人的手裏面七年
[00:02:42.200 --> 00:02:46.400]  這個是一個懲罰交給了米顛人
[00:02:46.400 --> 00:02:48.200]  米顛人是什麼人呢?
[00:02:48.200 --> 00:02:51.000]  正經形容他們為極其殘忍的
[00:02:51.000 --> 00:02:54.000]  他們本身米顛人是游牧民族
[00:02:54.000 --> 00:02:55.800]  逐水草而居
[00:02:55.800 --> 00:02:59.600]  然後他們當環境很惡劣的時候
[00:02:59.600 --> 00:03:00.800]  沒什麼收成的時候
[00:03:00.800 --> 00:03:02.800]  他們就會到處去搶掠
[00:03:02.800 --> 00:03:06.200]  所以聖經記載米顛人不單止自己搶
[00:03:06.200 --> 00:03:09.600]  他還連同其他民族一起去搶
[00:03:09.600 --> 00:03:12.200]  在《事司紀》六章三至五節裏說
[00:03:12.200 --> 00:03:14.000]  以色列人每逢殺種
