
[00:00:00.000 --> 00:00:06.520]  我不知道大家聽到Ruby和Sophie
[00:00:06.520 --> 00:00:11.200]  Susie和我們分享大家覺得怎樣
[00:00:11.200 --> 00:00:14.920]  她分享的時候 我想起以前我去探望她
[00:00:14.920 --> 00:00:17.120]  和看著她怎樣去康復的時候
[00:00:17.120 --> 00:00:19.520]  我想起保羅的一句話
[00:00:19.520 --> 00:00:22.400]  他說:「有隻寶貝放在這個瓦器裏面
[00:00:22.400 --> 00:00:24.200]  點名莫大的能力
[00:00:24.200 --> 00:00:27.800]  雖然我不四面受敵卻不被打倒
[00:00:27.800 --> 00:00:30.800]  跌倒了就不至死亡」
[00:00:30.800 --> 00:00:34.400]  我覺得是一個很奇妙的事
[00:00:34.400 --> 00:00:36.800]  我們叫生命力
[00:00:36.800 --> 00:00:40.800]  為什麼Ruby有一個這麼大的生命力在裏面呢
[00:00:40.800 --> 00:00:44.400]  原來有個寶貝放在瓦器裏面
[00:00:44.400 --> 00:00:46.000]  點名莫大的能力
[00:00:46.000 --> 00:00:49.000]  不是我們 是出於神
[00:00:49.000 --> 00:00:51.600]  生命力是一件很重要的事
[00:00:51.600 --> 00:00:54.000]  為什麼會有生命力 就是因為盼望
[00:00:54.000 --> 00:00:56.600]  我們的盼望就在耶穌基督裏面
[00:00:56.600 --> 00:01:00.600]  聖誕節就是給我們盼望
[00:01:00.600 --> 00:01:02.600]  一想到聖誕節 很多人就會想到
[00:01:02.600 --> 00:01:06.000]  「哎 牧師你講的聖誕節我都聽過了
[00:01:06.000 --> 00:01:07.600]  伯利恆的嘛 是不是
[00:01:07.600 --> 00:01:10.000]  三博士的嘛 其實不是三博士
[00:01:10.000 --> 00:01:12.200]  三件禮物未必是三個博士
[00:01:12.200 --> 00:01:15.400]  聖經說的三件禮物是誰告訴你的 三個博士
[00:01:15.400 --> 00:01:17.800]  但那些人經常唱三博士的
[00:01:17.800 --> 00:01:19.400]  其實我們不知道是多少個博士
[00:01:19.400 --> 00:01:21.400]  總之就是三件禮物
[00:01:21.400 --> 00:01:23.400]  有幾個博士 東方黎的博士
[00:01:23.400 --> 00:01:25.800]  這些全部都聽過了 馬曹的嘛
[00:01:25.800 --> 00:01:27.000]  全部都聽過了
[00:01:27.000 --> 00:01:28.800]  但是我想告訴你
[00:01:28.800 --> 00:01:32.200]  在這些似乎是一些很
[00:01:32.200 --> 00:01:35.200]  聽耳熟能詳的故事裏面
[00:01:35.200 --> 00:01:39.000]  是下面隱藏了珍珠很美
[00:01:39.000 --> 00:01:40.800]  正如我們看見
[00:01:40.800 --> 00:01:44.000]  哇 Ruby 她是一個普通人
[00:01:44.000 --> 00:01:45.800]  但後面的故事
[00:01:45.800 --> 00:01:49.600]  是一些很美的珍珠在裏面
[00:01:49.600 --> 00:01:51.400]  有時我們只是看表面上的東西
[00:01:51.400 --> 00:01:53.600]  我們想到聖誕的禮物
[00:01:53.600 --> 00:01:54.600]  其實看表面
[00:01:54.600 --> 00:01:58.600]  我想起我們廣東人
[00:01:58.600 --> 00:02:04.200]  有一個很厲害的才子叫做論文序
[00:02:04.200 --> 00:02:06.200]  大家聽過論文序的名字
[00:02:06.200 --> 00:02:09.000]  論文序就是學問很厲害的
[00:02:09.000 --> 00:02:12.400]  有一次有個園外
[00:02:12.400 --> 00:02:14.000]  就是很有錢的園外
[00:02:14.000 --> 00:02:17.200]  就給人送了蘇東坡一幅圖畫給他
[00:02:17.200 --> 00:02:18.400]  叫做八鳥圖
[00:02:18.400 --> 00:02:20.200]  有一百隻鳥仔
[00:02:20.200 --> 00:02:21.400]  那幅畫就很漂亮的了
[00:02:21.400 --> 00:02:23.400]  蘇東坡親手畫的
[00:02:23.400 --> 00:02:25.400]  不是蘇永睿 是蘇東坡
[00:02:25.400 --> 00:02:28.600]  他想想可惜畫漂亮
[00:02:28.600 --> 00:02:30.200]  沒有了一首詩
[00:02:30.200 --> 00:02:34.200]  他就想找一首詩填在那幅圖上
[00:02:34.200 --> 00:02:35.800]  要找一個作詩人
[00:02:35.800 --> 00:02:37.400]  聽聞論文序這麼厲害
[00:02:37.400 --> 00:02:38.800]  就找他作詩
[00:02:38.800 --> 00:02:41.600]  請了所有的文學知識
[00:02:41.600 --> 00:02:43.600]  來看看怎麼作詩
[00:02:43.600 --> 00:02:45.200]  誰知道他拿著筆
[00:02:45.200 --> 00:02:46.800]  想都不用想就寫著
[00:02:46.800 --> 00:02:49.600]  天生一隻又一隻
[00:02:49.600 --> 00:02:52.400]  那些所謂有學知識
[00:02:52.400 --> 00:02:55.200]  天生一隻又一隻
[00:02:55.200 --> 00:02:56.800]  這麼粗鄙
[00:02:56.800 --> 00:03:00.000]  看看你怎麼做
[00:03:00.000 --> 00:03:02.600]  三四五六七八隻
[00:03:02.600 --> 00:03:04.800]  這些是詩來的
[00:03:04.800 --> 00:03:06.400]  天生一隻又一隻
[00:03:06.400 --> 00:03:08.400]  三四五六七八隻
[00:03:08.400 --> 00:03:11.000]  接著就寫後面那兩句
[00:03:11.000 --> 00:03:12.600]  那兩句就很漂亮很深
[00:03:12.600 --> 00:03:15.400]  我都忘記了他在說什麼
[00:03:15.400 --> 00:03:18.600]  那些人就大讚後面那兩句
[00:03:18.600 --> 00:03:20.400]  就大彈前後那兩句
[00:03:20.400 --> 00:03:22.400]  於是就以為論文序有兩個腦
[00:03:22.400 --> 00:03:26.000]  頭腦還沒熟的時候就弄那些差的東西
[00:03:26.000 --> 00:03:28.200]  後面腦熟的時候就弄些很漂亮的東西
