
[00:00:00.000 --> 00:00:11.000]  各位靚電腦早晨,請介紹我做香港神樂院的院長到8月15日為止。
[00:00:11.000 --> 00:00:20.000]  在工作裏面一共,我教書在神樂院工作了34年,很長的日子。
[00:00:20.000 --> 00:00:31.000]  體現神賜福、神樂院,我們到現在都是一間很細小的神樂院,所以我們與同學之間的關係非常之親密。
[00:00:31.000 --> 00:00:40.000]  所以木偵、廣雄、國明等,我們大家都認識得非常之深入。
[00:00:40.000 --> 00:00:50.000]  生命裏面各種難題,不同的階段,有不同的捨棄,有不同的痛苦,我們都互相禱告,互相鼓勵。
[00:00:50.000 --> 00:00:56.000]  我們今天所讀的這段聖經,都是一個大家非常熟悉的聖經。
[00:00:56.000 --> 00:01:04.000]  如果你在教會裏面聚會久了,或者說有參加主日學,參加團契,
[00:01:04.000 --> 00:01:12.000]  你一定會知道,新約聖經裏面第一本寫成的呼音詩不是《馬太》,是《馬可》。
[00:01:12.000 --> 00:01:18.000]  我這樣說的時候,應該不會太多人會感價。
[00:01:18.000 --> 00:01:26.000]  雖然在新約聖經裏面排列的次序,《馬太》排第一本,但是《馬可》排第二本。
[00:01:26.000 --> 00:01:32.000]  但是在寫成文字的過程中間,《馬可》是第一本,《馬太》是比較後期的。
[00:01:32.000 --> 00:01:40.000]  但是當我們看到《馬可》呼音的時候,尤其是在《馬可》呼音,或者其他的呼音書未曾變成文字之前,
[00:01:40.000 --> 00:01:43.000]  是不是呼音沒有廣傳呢?不是的。
[00:01:43.000 --> 00:01:48.000]  我們知道有一個人物,那個人叫做保羅。
[00:01:48.000 --> 00:02:01.000]  保羅在四十年代,五十年代,已經在猶太的地方,後來再去到非猶太的地方,去到歐洲很多的地方來傳呼音。
[00:02:01.000 --> 00:02:10.000]  所以呼音未成為文字的時候,呼音已經被傳揚到世界很多不同的地方。
[00:02:10.000 --> 00:02:14.000]  當我們讀到呼音書的時候,有一個很奇特的現象。
[00:02:14.000 --> 00:02:22.000]  我們細心去跟這些經文對話,留心經文來思考的時候,
[00:02:22.000 --> 00:02:28.000]  我們發覺曾經給我們很多特別的意義,對我們很衝擊的。
[00:02:28.000 --> 00:02:35.000]  如果我們讀《馬》讀保羅所寫的書信的話,「二人的恩信不爭」,你明白什麼意思?
[00:02:35.000 --> 00:02:38.000]  因為你只要用理性去思考就可以了。
[00:02:38.000 --> 00:02:46.000]  但是記載呼音書裡面,記載有關耶穌基督的生平,記載耶穌基督所講的故事,他從來都不加以解釋的。
[00:02:46.000 --> 00:02:50.000]  你說看就可以了,就好像保羅那樣解釋。
[00:02:50.000 --> 00:02:56.000]  但是講故事給你聽,那個故事裡面不是一句話,那個故事是什麼?
[00:02:56.000 --> 00:02:58.000]  是整個整體的。
[00:02:58.000 --> 00:03:06.000]  如果你的女朋友今晚,不要說今晚,歲月末之後,你會說「今晚吃飯吧!今晚吃飯吧!」
[00:03:06.000 --> 00:03:13.000]  有這樣的手神,有這樣的手勢,有這樣的臉色,你不知道自己做錯什麼。
[00:03:13.000 --> 00:03:18.000]  可能今天晚上,她真的跟你大吵架都不一定,可能晚上她來安慰你都不一定,
[00:03:18.000 --> 00:03:22.000]  但是她說「來吃飯吧!」你不知道她想怎麼樣。
[00:03:22.000 --> 00:03:29.000]  呼音書很多時候,就將一段記載給我們,但是我們從來都不知道呼音書的記載在後面,
[00:03:29.000 --> 00:03:38.000]  講的那個人的心境是怎麼樣的,面貌是怎麼樣的,到底那個心境是怎麼樣的呢?
[00:03:38.000 --> 00:03:46.000]  他是不是很嚴肅地講這些話,或者很慈悲地講這些話,很震怒的時候講這些話,很開心的時候講這些話,
[00:03:46.000 --> 00:04:00.000]  完全不知道,是要讀經的人留在經文內一點,上下文讀來讀去,讀前讀後,想前想後,在揣摩他的意志的。
[00:04:00.000 --> 00:04:06.000]  好像你讀情信那樣,每個人都講到讀情信好像木口木面那樣,
[00:04:06.000 --> 00:04:13.000]  現在十點半鐘,我們很多老人家未收過情信,那個年代可能沒有情信收的,
[00:04:13.000 --> 00:04:22.000]  你又不識字,他又不識字,大家都見到,哦,多漂亮,多勤奮,多老實,嫁他,娶他,就這麼多,沒有信件寫的。
[00:04:22.000 --> 00:04:32.000]  我相信你小學的時候都有,四五年級,給你一張紙,今天放學後才在門口等我,你真的很振奮。
[00:04:32.000 --> 00:04:39.000]  當你收到一封整全的情信的時候,你都會對著他們思前想後的,
[00:04:39.000 --> 00:04:45.000]  有這麼多字可以用,為什麼他不用那些字,要哪些人用這些字呢?
[00:04:45.000 --> 00:04:50.000]  真愛的James!
[00:04:50.000 --> 00:04:57.000]  你說:哎,這裡很閒而已,Dear James,禮貌性的話,每個人都可以Dear,
[00:04:57.000 --> 00:05:04.000]  今次可以Dear,下周又是Dear,明天又是Dear,一個月之後都是,一年之後都是Dear的話,你就要想一想,
