
[00:00:00.000 --> 00:00:07.000]  各位弟兄姊妹 聖誕平安! (聖誕快樂!)
[00:00:07.000 --> 00:00:14.000]  我們剛才聽到一首歡欣的歌 盼望的歌 慈愛的歌
[00:00:14.000 --> 00:00:19.000]  唱頌這位的救主耶穌基督為我們誕生
[00:00:19.000 --> 00:00:24.000]  也因為祂的誕生 我們可以歡欣 我們可以快樂
[00:00:24.000 --> 00:00:30.000]  因為聖經很清楚說 上帝所賜的救恩是大喜的訊息
[00:00:30.000 --> 00:00:35.000]  是關乎萬民的 是充滿著喜樂的訊息
[00:00:35.000 --> 00:00:38.000]  也帶給我們生命喜樂的訊息
[00:00:38.000 --> 00:00:40.000]  我們大家一起再一次祈禱
[00:00:40.000 --> 00:00:44.000]  我們仰望主將這份恩惠賜在我們心中
[00:00:44.000 --> 00:00:47.000]  親愛的主我們感謝祢
[00:00:47.000 --> 00:00:51.000]  我們讚美祢自己成就奇妙的救恩
[00:00:51.000 --> 00:00:55.000]  主啊 世界雖然黑暗
[00:00:55.000 --> 00:00:59.000]  但祢自己的降能將光照進黑暗
[00:00:59.000 --> 00:01:01.000]  世界雖然在悲哀中
[00:01:01.000 --> 00:01:04.000]  但祢的拯救 祢的公義
[00:01:04.000 --> 00:01:08.000]  承傳了喜樂在我們生命中
[00:01:08.000 --> 00:01:11.000]  因此我們感謝祢 我們讚美祢
[00:01:11.000 --> 00:01:14.000]  我們都在祢面前同心的仰望
[00:01:14.000 --> 00:01:16.000]  主啊 求祢讓祢的光
[00:01:16.000 --> 00:01:19.000]  更清晰照耀在我們心中
[00:01:19.000 --> 00:01:21.000]  叫我們不忘記祢自己
[00:01:21.000 --> 00:01:24.000]  道成肉身 承傳救贖
[00:01:24.000 --> 00:01:27.000]  就叫我們今天在聖誕的主日的時候
[00:01:27.000 --> 00:01:30.000]  再一次領受祢給我們喜樂的令
[00:01:30.000 --> 00:01:33.000]  歡欣 感謝 讚美祢
[00:01:33.000 --> 00:01:35.000]  所以聽我們祈禱
[00:01:35.000 --> 00:01:37.000]  奉主耶穌的聖名祈求
[00:01:37.000 --> 00:01:39.000]  Amen
[00:01:39.000 --> 00:01:44.000]  我們今天就會思唱聖經二賽亞書第六十一章
[00:01:44.000 --> 00:01:47.000]  聖經裡面有一個很清楚的訊息
[00:01:47.000 --> 00:01:49.000]  彌賽亞的降生
[00:01:49.000 --> 00:01:52.000]  要帶給我們永遠的快樂
[00:01:52.000 --> 00:01:54.000]  永遠的喜樂
[00:01:54.000 --> 00:01:57.000]  我們翻開聖經二賽亞書第六十一章
[00:01:57.000 --> 00:01:59.000]  當我們一讀聖經的時候
[00:01:59.000 --> 00:02:03.000]  你會發覺聖經一開始就說出一件事情
[00:02:03.000 --> 00:02:06.000]  就是上帝的降生
[00:02:06.000 --> 00:02:09.000]  神所差的彌賽亞降生
[00:02:09.000 --> 00:02:13.000]  是將喜樂代替了悲哀
[00:02:13.000 --> 00:02:19.000]  喜樂成為了我們生命的一種最重要的質素
[00:02:19.000 --> 00:02:21.000]  大家一起看六十一章第一節
[00:02:21.000 --> 00:02:23.000]  聖經就這樣說
[00:02:23.000 --> 00:02:25.000]  主耶和華的靈在我身上
[00:02:25.000 --> 00:02:27.000]  因為耶和華告了我
[00:02:27.000 --> 00:02:31.000]  叫我傳福音給困苦的人
[00:02:31.000 --> 00:02:36.000]  先知彌賽亞在公元680年前
[00:02:36.000 --> 00:02:39.000]  就寫下這個預言
[00:02:39.000 --> 00:02:42.000]  預言彌賽亞基督要降生
[00:02:42.000 --> 00:02:44.000]  當他寫這個預言的時候
[00:02:44.000 --> 00:02:47.000]  他很清楚講述就是這個時候
[00:02:47.000 --> 00:02:51.000]  就是神月納人的欺憐
[00:02:51.000 --> 00:02:54.000]  當主耶穌祂降生的時候
[00:02:54.000 --> 00:02:57.000]  有一次祂去到會堂
[00:02:57.000 --> 00:02:58.000]  當祂去到會堂
[00:02:58.000 --> 00:03:00.000]  有人將聖經遞給祂
[00:03:00.000 --> 00:03:01.000]  祂揭開聖經
[00:03:01.000 --> 00:03:04.000]  揭開二賽亞書第六十一章
[00:03:04.000 --> 00:03:07.000]  然後祂重讀這一段的聖經
[00:03:07.000 --> 00:03:09.000]  當祂重讀完之後
[00:03:09.000 --> 00:03:15.000]  祂就說「今天這經應驗在你們耳中」
[00:03:15.000 --> 00:03:19.000]  主耶穌清楚將這段預言指向祂自己
[00:03:19.000 --> 00:03:23.000]  表明祂就是那位上帝所預言的
[00:03:23.000 --> 00:03:26.000]  降生的彌賽亞基督
[00:03:26.000 --> 00:03:27.000]  當祂讀這段經文的時候
[00:03:27.000 --> 00:03:31.000]  祂就說主耶和華的靈在我身上
[00:03:31.000 --> 00:03:35.000]  這個不只是說主耶穌自己那種生命的狀況
[00:03:35.000 --> 00:03:40.000]  更加是指向被聖靈完全充滿的基督
[00:03:40.000 --> 00:03:44.000]  就是那位將臨的彌賽亞
[00:03:44.000 --> 00:03:46.000]  在二賽亞的聖經
[00:03:46.000 --> 00:03:48.000]  之前有很多處地方提到
[00:03:48.000 --> 00:03:51.000]  這個預言基督的降生
[00:03:51.000 --> 00:03:53.000]  而每一次都提及到
[00:03:53.000 --> 00:03:57.000]  關於聖靈要完全充滿祂的生命
[00:03:57.000 --> 00:03:59.000]  如果大家拿著聖經
[00:03:59.000 --> 00:04:03.000]  你可以揭開前面的第十一章
[00:04:03.000 --> 00:04:04.000]  二賽亞書十一章
[00:04:04.000 --> 00:04:06.000]  就其中一處提及到
[00:04:06.000 --> 00:04:10.000]  一位的彌賽亞將會降生
[00:04:10.000 --> 00:04:14.000]  二賽亞書第十一章第一節
[00:04:14.000 --> 00:04:20.000]  就說到從耶西的樹幹必生出一根嫩芽
[00:04:20.000 --> 00:04:22.000]  讀二賽亞書的人知道
[00:04:22.000 --> 00:04:27.000]  這裡所說的是指向耶穌基督
[00:04:27.000 --> 00:04:29.000]  然後第二節聖經就說
[00:04:29.000 --> 00:04:33.000]  耶和華的靈必停留在他身上
[00:04:33.000 --> 00:04:36.000]  就是智慧的靈和聰明的靈
[00:04:36.000 --> 00:04:39.000]  謀略的靈和能力的靈
[00:04:39.000 --> 00:04:44.000]  知識的靈和敬畏耶和華的靈
[00:04:44.000 --> 00:04:46.000]  因此去到新約的時候
[00:04:46.000 --> 00:04:48.000]  當主耶穌降臨的時候
[00:04:48.000 --> 00:04:51.000]  福音書的作者就很清楚地見證
[00:04:51.000 --> 00:04:54.000]  見證出一位神所差離的
[00:04:54.000 --> 00:04:56.000]  神賜給他的聖靈
[00:04:56.000 --> 00:04:59.000]  是完全沒有限量的
[00:04:59.000 --> 00:05:00.000]  意味著這位的聖靈
[00:05:00.000 --> 00:05:04.000]  是完完全全充滿在彌賽亞的身上
[00:05:04.000 --> 00:05:07.000]  也表示著神所應許的救恩
[00:05:07.000 --> 00:05:11.000]  承傳在耶穌基督的身上
[00:05:11.000 --> 00:05:12.000]  耶穌基督來到
[00:05:12.000 --> 00:05:15.000]  成為了彌賽亞的救世主
[00:05:15.000 --> 00:05:18.000]  領受聖靈在他生命當中完全的充滿
[00:05:18.000 --> 00:05:23.000]  因此帶著大能力承傳了拯救
[00:05:23.000 --> 00:05:24.000]  聖經繼續說
[00:05:24.000 --> 00:05:26.000]  就是這位的彌賽亞
[00:05:26.000 --> 00:05:28.000]  他是被神所高納的
[00:05:28.000 --> 00:05:32.000]  意味著這位上帝是神所差派來的
[00:05:32.000 --> 00:05:34.000]  彌賽亞基督
[00:05:34.000 --> 00:05:37.000]  因此他帶著一切的恩惠和能力
[00:05:37.000 --> 00:05:40.000]  去成就神的工作
[00:05:40.000 --> 00:05:43.000]  所以你見到聖經剛才讀的61章裏面所說
[00:05:43.000 --> 00:05:46.000]  就提到叫我傳福音
[00:05:46.000 --> 00:05:51.000]  是差遣我去作各樣的神的工作
[00:05:51.000 --> 00:05:54.000]  明顯指出就是是神的工作
[00:05:54.000 --> 00:05:57.000]  是神差遣耶穌基督
[00:05:57.000 --> 00:06:00.000]  來到世上成全這一切
[00:06:00.000 --> 00:06:04.000]  是神自己成就祂所應許的預言
[00:06:04.000 --> 00:06:07.000]  祂所應許的計劃
[00:06:07.000 --> 00:06:10.000]  然後在過程當中清楚指出
[00:06:10.000 --> 00:06:13.000]  彌賽亞來到有一個很清楚的目的
[00:06:13.000 --> 00:06:17.000]  是讓困苦人聽見福音
[00:06:17.000 --> 00:06:20.000]  困苦所說的是一些完全沒有盼望
[00:06:20.000 --> 00:06:22.000]  絕望的人的情況
[00:06:22.000 --> 00:06:26.000]  但這些人他們要聽見有盼望的訊息
[00:06:26.000 --> 00:06:28.000]  聖經稱為好消息
[00:06:28.000 --> 00:06:30.000]  這個福音
[00:06:30.000 --> 00:06:34.000]  耶穌基督帶進我們當中
[00:06:34.000 --> 00:06:36.000]  當你再讀的時候就發覺
[00:06:36.000 --> 00:06:40.000]  因為彌賽亞基督帶進這個世界的好福音
[00:06:40.000 --> 00:06:43.000]  產生一種很重要的生命的轉變
[00:06:43.000 --> 00:06:46.000]  一種的後果 一種的果效
[00:06:46.000 --> 00:06:48.000]  聖經再繼續說
[00:06:48.000 --> 00:06:51.000]  差遣我去醫治傷心的人
[00:06:51.000 --> 00:06:53.000]  向被擄的宣告自由
[00:06:53.000 --> 00:06:57.000]  向被囚的宣告釋放
[00:06:57.000 --> 00:07:00.000]  聖經提到不單止帶來了這個世界的平安
[00:07:00.000 --> 00:07:06.000]  更加叫人內心深處領受神給我們的醫治
[00:07:06.000 --> 00:07:08.000]  本來是傷心的
[00:07:08.000 --> 00:07:10.000]  或者說破碎了的心靈
[00:07:10.000 --> 00:07:15.000]  上帝重新醫治好
[00:07:15.000 --> 00:07:17.000]  在過程當中
[00:07:17.000 --> 00:07:20.000]  人也都面對著很多不同的捆綁
[00:07:20.000 --> 00:07:22.000]  特別是罪的捆綁
