
[00:00:00.000 --> 00:00:03.480]  將來又怎麼樣呢?是不是?能不能帶過去呢?
[00:00:03.480 --> 00:00:07.180]  我就算做得很好 我的兒女能不能繼承呢?
[00:00:07.180 --> 00:00:09.840]  我的兒女能不能繼承呢?她結婚之後
[00:00:09.840 --> 00:00:13.340]  會不會被歷史上的朝代都印上了
[00:00:13.340 --> 00:00:15.340]  被別人的家人過去了呢?
[00:00:15.340 --> 00:00:19.020]  你看看現在當前香港也好 雪梨也好
[00:00:19.020 --> 00:00:22.040]  那些富豪差不多自然增加產量 是不是?
[00:00:22.040 --> 00:00:26.720]  很大問題 聰明才智 何先生都搞到頭都大了
[00:00:26.720 --> 00:00:30.320]  而且人都會老的 老之前又沒有無復當年英勇
[00:00:30.320 --> 00:00:33.360]  那他就可能會很後悔
[00:00:33.360 --> 00:00:36.520]  自己是不是一向太過駝鳥政策
[00:00:36.520 --> 00:00:40.960]  只是顧著賺錢 或者只是顧著想一些以為重要的問題
[00:00:40.960 --> 00:00:46.320]  反而最重要的問題就是生命會有終結 會有挫折
[00:00:46.320 --> 00:00:50.760]  人原來不是真的永強的 不是時時都這麼強
[00:00:50.760 --> 00:00:52.760]  很多時候原來發覺自己一樣
[00:00:52.760 --> 00:00:56.160]  無論身體精神一樣會軟弱
[00:00:56.160 --> 00:01:02.240]  三寸氣在千般用 一旦無常萬事憂 怎麼搞呢?
[00:01:02.240 --> 00:01:07.120]  但是我們男慈信主多數就是
[00:01:07.120 --> 00:01:09.760]  要麼是十五六歲 要麼是五六十歲 多數是
[00:01:09.760 --> 00:01:13.920]  真的 可能我自己也是 我也五十多歲才是
[00:01:13.920 --> 00:01:20.320]  前者譬如五六十歲大概因為漸漸的慕蓮
[00:01:20.320 --> 00:01:24.080]  小弟多謝上帝 最近有些朋友都知道
[00:01:24.080 --> 00:01:27.160]  他不經不覺就七十歲了 以前叫古萊希 現在大家
[00:01:27.160 --> 00:01:31.200]  一大群人 但是究竟都 一方面也很慶幸
[00:01:31.200 --> 00:01:33.840]  他經常說 一個人最重要是滿足
