
[00:00:00.000 --> 00:00:02.000]  (字幕組: 鄭若驊)
[00:00:02.000 --> 00:00:05.200]  (字幕組: 鄭若驊) 節目早晨
[00:00:05.200 --> 00:00:07.200]  今天大家很精神
[00:00:07.200 --> 00:00:12.000]  我已經很少在台上講道
[00:00:12.000 --> 00:00:17.200]  過去兩年基本上都是對著電腦
[00:00:17.200 --> 00:00:19.200]  傻乎乎地去講
[00:00:19.200 --> 00:00:23.000]  又看不到一些人自己又在做猴戲
[00:00:23.000 --> 00:00:26.000]  很不舒服 今天很開心
[00:00:26.000 --> 00:00:28.000]  見到大家坐在這裏
[00:00:28.000 --> 00:00:31.000]  雖然看不到你的嘴 但看見你的眼睛
[00:00:31.000 --> 00:00:34.000]  眼睛閃閃的 真是很開心
[00:00:34.000 --> 00:00:40.000]  原來敬拜真的需要實體
[00:00:40.000 --> 00:00:42.000]  我不是歧視網上的那些
[00:00:42.000 --> 00:00:46.000]  你們都是很敬虔的
[00:00:46.000 --> 00:00:51.000]  不過我們一起在神的面前是好的
[00:00:51.000 --> 00:00:55.000]  在這個日子裏面
[00:00:55.000 --> 00:00:58.000]  我們要去記住一句話
[00:00:58.000 --> 00:01:00.000]  叫做「張臨期」
[00:01:00.000 --> 00:01:05.000]  「張臨期」的意思就是迎接主在來
[00:01:05.000 --> 00:01:07.000]  不過不要誤會
[00:01:07.000 --> 00:01:10.000]  因為早期教會定了教會年
[00:01:10.000 --> 00:01:12.000]  即是教會新年
[00:01:12.000 --> 00:01:15.000]  就是聖誕節之前的第四個星期
[00:01:15.000 --> 00:01:17.000]  就是教會的新年開始
[00:01:17.000 --> 00:01:21.000]  教會新年一開始就是紀念主在來
[00:01:21.000 --> 00:01:24.000]  而上星期是講主在來
[00:01:24.000 --> 00:01:28.000]  因為早期教會最關心的是甚麼呢?
[00:01:28.000 --> 00:01:30.000]  就是耶穌何時回來
[00:01:30.000 --> 00:01:32.000]  當時祂面對很大的困難
[00:01:32.000 --> 00:01:36.000]  很多的逼迫 被人歧視 被人排擠
[00:01:36.000 --> 00:01:39.000]  還有很多信耶穌的人都很基層的
[00:01:39.000 --> 00:01:42.000]  在社會上是沒有地位的
[00:01:42.000 --> 00:01:44.000]  但祂因為相信主
[00:01:44.000 --> 00:01:46.000]  祂們是一個很好的群體
[00:01:46.000 --> 00:01:48.000]  彼此相愛 互相支持
[00:01:48.000 --> 00:01:50.000]  就盼望主回來
[00:01:50.000 --> 00:01:51.000]  在困難的時候
[00:01:51.000 --> 00:01:53.000]  祂特別問主
[00:01:53.000 --> 00:01:56.000]  這個這麼艱苦的日子何時過去
[00:01:56.000 --> 00:01:58.000]  特別是羅馬帝國
[00:01:58.000 --> 00:02:00.000]  我們都知道歷史上
[00:02:00.000 --> 00:02:04.000]  很多基督徒就因為信主的緣故被殺
[00:02:04.000 --> 00:02:07.000]  因為當時羅馬人覺得基督徒很奇怪
[00:02:07.000 --> 00:02:09.000]  又喝人血 又吃人肉
[00:02:09.000 --> 00:02:14.000]  還有基督徒不敬拜國家的凱撒
[00:02:14.000 --> 00:02:16.000]  就是稱耶穌為主
[00:02:16.000 --> 00:02:18.000]  犯了政治的錯誤
[00:02:18.000 --> 00:02:20.000]  所以很多人抓了祂
[00:02:20.000 --> 00:02:22.000]  甚至犧牲了
[00:02:22.000 --> 00:02:24.000]  在這麼艱難的日子裏面
[00:02:24.000 --> 00:02:27.000]  教會最關心的就是
[00:02:27.000 --> 00:02:29.000]  主啊 祢何時回來
[00:02:29.000 --> 00:02:32.000]  艱難的日子何時過去
[00:02:32.000 --> 00:02:35.000]  所以張能奇一開始
[00:02:35.000 --> 00:02:38.000]  就是紀念我們主何時回來
[00:02:38.000 --> 00:02:45.000]  四個星期前的頭兩個星期提醒
[00:02:45.000 --> 00:02:47.000]  我們教會是永恆
[00:02:47.000 --> 00:02:50.000]  因為我們等主回來
[00:02:50.000 --> 00:02:54.000]  教會是有超越永恆的視野
[00:02:54.000 --> 00:02:59.000]  我們的主是創造主耶穌基督的兒子
[00:02:59.000 --> 00:03:02.000]  並且將來要被提
[00:03:02.000 --> 00:03:05.000]  與主在一起
[00:03:05.000 --> 00:03:07.000]  因為有這個永恆的視野
[00:03:07.000 --> 00:03:10.000]  所以我們才會知道關心這個世界
[00:03:10.000 --> 00:03:12.000]  我們有一個目標
[00:03:12.000 --> 00:03:15.000]  我們知道如何在這個生活
[00:03:15.000 --> 00:03:17.000]  世界上相處
[00:03:17.000 --> 00:03:21.000]  第三第四個星期才去紀念
[00:03:21.000 --> 00:03:23.000]  我們耶穌基督第一次降臨
[00:03:23.000 --> 00:03:27.000]  這個其實在當時的猶太人裏面
[00:03:27.000 --> 00:03:29.000]  他們都是有相同盼望
[00:03:29.000 --> 00:03:32.000]  就是等候尼塞亞降臨
[00:03:32.000 --> 00:03:34.000]  所以在今天
