
[00:00:00.000 --> 00:00:06.000]  好 大家讓我們開始聆聽主教先
[00:00:06.000 --> 00:00:09.000]  藉著禱告再次將我們心生靈教給我們主教
[00:00:09.000 --> 00:00:14.000]  父神多謝你讓我們可以在你的寶貴說話面前學習
[00:00:14.000 --> 00:00:16.000]  求主你的帶領
[00:00:16.000 --> 00:00:19.000]  讓耶穌基督在地上的教訓
[00:00:19.000 --> 00:00:21.000]  藉著聖靈的引導
[00:00:21.000 --> 00:00:24.000]  能夠進入到我們每一個人的生命裏面
[00:00:24.000 --> 00:00:29.000]  使我們可以更新變化成為一個真正屬主的人
[00:00:29.000 --> 00:00:32.000]  求你的幫助帶領我們同心禱告
[00:00:32.000 --> 00:00:34.000]  奉靠主耶穌基督的德性名字
[00:00:34.000 --> 00:00:36.000]  以及阿們
[00:00:36.000 --> 00:00:39.000]  今天會和大家一起思想的經文
[00:00:39.000 --> 00:00:42.000]  是剛剛惠東惠惠讀出的經文
[00:00:42.000 --> 00:00:45.000]  馬太福音第十六章
[00:00:45.000 --> 00:00:47.000]  來到馬太福音第十六章
[00:00:47.000 --> 00:00:50.000]  我們今天會看第五至十二節的經文
[00:00:50.000 --> 00:00:52.000]  我給了一個題目
[00:00:52.000 --> 00:00:56.000]  是在門徒訓練當中的其中一個危機
[00:00:56.000 --> 00:00:58.000]  就是誤會
[00:00:58.000 --> 00:01:04.000]  誤會這個題目其實不是只有基督徒有的問題
[00:01:04.000 --> 00:01:09.000]  誤會是很涉及關係的問題
[00:01:09.000 --> 00:01:14.000]  誤會也可以是一個建立一個關係
[00:01:14.000 --> 00:01:20.000]  或者破壞一個關係的一個很重要的事情
[00:01:20.000 --> 00:01:23.000]  因為這個可以說是
[00:01:23.000 --> 00:01:26.000]  無論你信主還是不信主
[00:01:26.000 --> 00:01:28.000]  還是你的生活圈子裡
[00:01:28.000 --> 00:01:31.000]  是在教會群體還是不在教會群體
[00:01:31.000 --> 00:01:33.000]  或者在公司裡
[00:01:33.000 --> 00:01:35.000]  都是一個很大的挑戰
[00:01:35.000 --> 00:01:39.000]  為什麼我會和大家談論到誤會呢
[00:01:39.000 --> 00:01:41.000]  當然和今天這段經文是有關係的
