
[00:00:00.000 --> 00:00:08.320]  在同道早晨 這班小孩子去上學了
[00:00:08.320 --> 00:00:12.640]  我想 將近四十多年前
[00:00:12.640 --> 00:00:15.000]  我都好像他們那樣上過主教學
[00:00:15.000 --> 00:00:18.560]  也唱過主教學校歌
[00:00:18.560 --> 00:00:21.800]  如果我們選擇宗教教育
[00:00:21.800 --> 00:00:26.480]  可能你會想是多少歲去讀的東西呢?
[00:00:26.480 --> 00:00:30.960]  今天的聖經是任何一個年歲
[00:00:30.960 --> 00:00:32.960]  可以上的宗教教育
[00:00:32.960 --> 00:00:36.160]  也可以說是任何一個聖經的經文
[00:00:36.160 --> 00:00:38.160]  都可以上宗教教育
[00:00:38.160 --> 00:00:41.760]  如果自由聯想 教育
[00:00:41.760 --> 00:00:43.760]  你第一時間想起什麼呢?
[00:00:43.760 --> 00:00:46.800]  香港人很快就想起考試
[00:00:46.800 --> 00:00:52.400]  但是如果外國人可能想起課程 教材
[00:00:52.400 --> 00:00:56.600]  我相信全世界的人都想起教育
[00:00:56.600 --> 00:00:58.600]  馬上想起功課
[00:00:58.600 --> 00:01:04.000]  我想教書落堂之前最緊張的時刻
[00:01:04.000 --> 00:01:06.000]  不知道你還記不記得
[00:01:06.000 --> 00:01:09.200]  就是當老師說今天沒有功課
[00:01:09.200 --> 00:01:11.200]  你就很開心
[00:01:11.200 --> 00:01:15.680]  也都希望打一下他 老師忘記說這句話
[00:01:15.680 --> 00:01:18.560]  我想這些是幾十年來讀書
[00:01:18.560 --> 00:01:22.560]  你最大的記憶就是今天沒有功課
[00:01:22.560 --> 00:01:28.080]  其實功課也代表了教育的真正的一面
[00:01:28.080 --> 00:01:30.960]  如果教育沒有功課呢
[00:01:30.960 --> 00:01:34.640]  教育很容易變成了二邊風
[00:01:34.640 --> 00:01:37.120]  我們全部懂的東西
[00:01:37.120 --> 00:01:40.560]  都是來自功課那裡得來的
[00:01:40.560 --> 00:01:44.400]  今天說這個人物 以薩
[00:01:44.400 --> 00:01:46.880]  他也上了一個很重要的功課
[00:01:46.880 --> 00:01:51.840]  是他爸爸在他人生裡面看到的東西
[00:01:51.840 --> 00:01:55.840]  有時你問我
[00:01:55.840 --> 00:02:01.280]  宗教教育和現代教育有什麼不同呢?
[00:02:01.280 --> 00:02:03.280]  有什麼不同呢?
[00:02:03.280 --> 00:02:06.480]  其實是兩種生活的方式
[00:02:06.480 --> 00:02:09.360]  今天《創世紀》26章
[00:02:09.360 --> 00:02:13.120]  是表現了兩種生活的方式
[00:02:14.080 --> 00:02:17.760]  一種你可以說是世界上人人都用的生活方式
[00:02:17.760 --> 00:02:19.760]  那個遊戲規則
[00:02:19.760 --> 00:02:23.840]  我想你去和平迪士尼 你會知道哪裡才行
[00:02:23.840 --> 00:02:27.600]  所以你天亮之前最好去
[00:02:27.600 --> 00:02:29.600]  那你應該入得場
[00:02:29.600 --> 00:02:35.600]  也都有種方式是你用高一點價錢訂酒店
[00:02:35.600 --> 00:02:38.320]  你可能是價高者得
[00:02:38.320 --> 00:02:42.000]  你出得多 你入的機會會高很多
[00:02:42.000 --> 00:02:44.000]  甚至絕對很多
[00:02:44.000 --> 00:02:47.600]  也有可能是技高者得
[00:02:47.600 --> 00:02:49.840]  你有辦法可以進去 你很厲害
[00:02:49.840 --> 00:02:52.880]  可能你爬過去 爬過去 跳過去
[00:02:52.880 --> 00:02:56.800]  其實這三種方式都是世界上生活的方式
[00:02:56.800 --> 00:03:02.160]  先到先得 價高者得 技高者得
[00:03:02.160 --> 00:03:07.600]  上學 可能學完之後學到一種技能
[00:03:07.600 --> 00:03:11.920]  你高過別人 你要找一份工是高人工的
[00:03:11.920 --> 00:03:13.920]  地位是高很多
[00:03:13.920 --> 00:03:16.480]  所以你的兒女就是技高者得
[00:03:16.480 --> 00:03:20.240]  在這個世界遊戲中玩贏了
[00:03:20.240 --> 00:03:23.440]  但到了玩的時候 你會先到先得
[00:03:23.440 --> 00:03:25.440]  你不可以執輸
[00:03:25.440 --> 00:03:29.520]  因為你慢的時候 別人會搶你一步
[00:03:29.520 --> 00:03:32.640]  但世界上最大的爭論
[00:03:32.640 --> 00:03:36.400]  就是在26章裏面19、20節
[00:03:36.400 --> 00:03:39.440]  兩個情況 一個情況就是
[00:03:40.640 --> 00:03:42.640]  以撒的僕人
[00:03:42.640 --> 00:03:46.160]  是挖到那口井
[00:03:46.160 --> 00:03:48.880]  是一口活水井
[00:03:48.880 --> 00:03:51.600]  這活口井
[00:03:51.600 --> 00:03:55.680]  在地底下哪裏有水 是他挖到的
[00:03:55.680 --> 00:03:57.680]  他挖到是他成功的
[00:03:57.680 --> 00:03:59.680]  他成功的
[00:03:59.680 --> 00:04:03.200]  井下面的水應該是他們的
[00:04:03.200 --> 00:04:05.600]  但是
[00:04:05.600 --> 00:04:08.320]  菲利士人說
[00:04:08.320 --> 00:04:10.320]  這水是我們的
[00:04:10.800 --> 00:04:13.360]  你們是從別處來的住的人
[00:04:13.360 --> 00:04:16.400]  我們是原本住的人
[00:04:16.400 --> 00:04:20.560]  這個地方所有東西應該是這裡的人有的
[00:04:20.560 --> 00:04:22.560]  你是從別處進來的
[00:04:22.560 --> 00:04:25.360]  所以他說 這水是我們的
[00:04:25.360 --> 00:04:27.280]  那誰贏呢?
[00:04:27.280 --> 00:04:29.840]  誰對呢? 打一場官司誰贏呢?
[00:04:29.840 --> 00:04:34.160]  其實世界上每日制在打這一場官司
[00:04:34.160 --> 00:04:39.120]  就是究竟你的 我的
[00:04:39.840 --> 00:04:41.840]  究竟誰應該拿到呢?
[00:04:41.840 --> 00:04:45.600]  宗教教育有時回到這種生活裏面
[00:04:45.600 --> 00:04:49.360]  去決定這個世界遊戲規則
[00:04:49.360 --> 00:04:51.840]  究竟誰贏
[00:04:51.840 --> 00:04:54.080]  可能你一直想下去覺得
[00:04:54.080 --> 00:04:59.040]  三個井的字眼很有意思
[00:04:59.040 --> 00:05:02.080]  你看細字 你看到
[00:05:02.080 --> 00:05:04.080]  埃式
[00:05:04.080 --> 00:05:06.080]  即是雙增在20節
[00:05:06.080 --> 00:05:08.080]  21節
[00:05:08.080 --> 00:05:10.080]  西提拿
[00:05:10.080 --> 00:05:11.200]  即是為敵
[00:05:11.200 --> 00:05:13.200]  一個爭 和你爭
[00:05:13.200 --> 00:05:15.200]  一個就是和你做仇家
[00:05:15.200 --> 00:05:17.040]  22節
[00:05:17.040 --> 00:05:19.040]  利荷伯
[00:05:19.040 --> 00:05:21.040]  即是寬闊
[00:05:21.040 --> 00:05:26.160]  這些是以撒改的名字
[00:05:26.160 --> 00:05:30.320]  也可以說他爸爸就教領他
[00:05:30.320 --> 00:05:32.320]  這些井的名字
[00:05:32.320 --> 00:05:35.520]  起碼你會看到一個很不同的形式
[00:05:35.520 --> 00:05:36.800]  就是一句說話
[00:05:36.800 --> 00:05:38.800]  他們另外再畫一個口井
[00:05:38.800 --> 00:05:39.920]  不要再爭了
[00:05:39.920 --> 00:05:41.680]  即是說將這個
[00:05:41.680 --> 00:05:43.200]  埃式
[00:05:43.200 --> 00:05:44.800]  西提拿
[00:05:44.800 --> 00:05:47.360]  這麼辛苦到來的東西送給別人
[00:05:47.360 --> 00:05:49.360]  不要 還給他
[00:05:49.360 --> 00:05:53.360]  其實進來禮拜堂
[00:05:53.360 --> 00:05:55.760]  讀聖經
[00:05:55.760 --> 00:05:56.880]  參加數學學
[00:05:56.880 --> 00:05:58.880]  或者宗教教育
[00:05:58.880 --> 00:06:03.360]  其實每天都在學這一堂功課
[00:06:04.160 --> 00:06:07.040]  每天都在學這個世界的遊戲規則
[00:06:07.040 --> 00:06:09.600]  在找另一種生活方式
[00:06:09.600 --> 00:06:12.320]  在一個小朋友 剛才唱歌的小朋友
[00:06:12.320 --> 00:06:13.760]  他們很小的時候
[00:06:13.760 --> 00:06:15.760]  就在聽這個生活方式
[00:06:15.760 --> 00:06:18.320]  這個生活到他們二十多歲
[00:06:18.320 --> 00:06:20.320]  三十多歲 四十多歲的時候
[00:06:20.320 --> 00:06:22.880]  他們就在用這個生活方式
[00:06:22.880 --> 00:06:24.880]  進入一個世界
[00:06:24.880 --> 00:06:26.880]  是不是這種生活方式的
[00:06:26.880 --> 00:06:28.880]  是先到先得的
[00:06:28.880 --> 00:06:30.320]  是駕高者得的
[00:06:30.320 --> 00:06:31.840]  技高者得的
[00:06:31.840 --> 00:06:33.440]  但是他十分小的時候
[00:06:33.440 --> 00:06:35.440]  在讀另一種生活方式
[00:06:35.440 --> 00:06:38.480]  可能有一天你問你的子女
[00:06:38.480 --> 00:06:41.680]  上完主要學 學過什麼
[00:06:41.680 --> 00:06:43.680]  或者他畢業
[00:06:43.680 --> 00:06:45.680]  讀了十幾年主要學
[00:06:45.680 --> 00:06:47.680]  學過什麼
[00:06:47.680 --> 00:06:50.400]  有時候他說很多 都不知道說什麼
[00:06:50.400 --> 00:06:52.960]  可能要觀察
[00:06:52.960 --> 00:06:54.960]  一個主要學
[00:06:54.960 --> 00:06:56.960]  讀過主要學的人
[00:06:56.960 --> 00:06:58.960]  他的畢業
[00:06:58.960 --> 00:07:01.840]  是在他的生活方式那裡
[00:07:01.840 --> 00:07:03.840]  有沒有這種
[00:07:03.840 --> 00:07:05.840]  靈活厚井的道理
[00:07:05.840 --> 00:07:07.840]  可能他人生裏面
[00:07:07.840 --> 00:07:09.840]  你見到一個很不同的生活
[00:07:09.840 --> 00:07:11.840]  是來自一個主要學生那裡
[00:07:11.840 --> 00:07:13.840]  寬闊
[00:07:13.840 --> 00:07:15.840]  李何百
[00:07:15.840 --> 00:07:17.840]  這個井的名字
[00:07:17.840 --> 00:07:19.840]  寬闊
[00:07:19.840 --> 00:07:21.840]  如果用中文字
[00:07:21.840 --> 00:07:23.840]  寬大為壞
[00:07:23.840 --> 00:07:25.840]  這種氣質
[00:07:25.840 --> 00:07:27.840]  這個是一個宗教教育
[00:07:27.840 --> 00:07:29.840]  上課前
[00:07:29.840 --> 00:07:31.840]  上課後 整容前整容後
[00:07:31.840 --> 00:07:33.840]  應該有不同的結果
[00:07:33.840 --> 00:07:35.840]  就是那種氣質
[00:07:35.840 --> 00:07:37.840]  寬闊
[00:07:37.840 --> 00:07:39.840]  如果拿不到這種氣質
[00:07:39.840 --> 00:07:43.840]  這個學生是失敗的
[00:07:43.840 --> 00:07:45.840]  這個學生是失敗的
[00:07:45.840 --> 00:07:47.840]  他可能拿到勤道獎
[00:07:47.840 --> 00:07:49.840]  拿到聖經金句
[00:07:49.840 --> 00:07:51.840]  貝重的獎
[00:07:51.840 --> 00:07:53.840]  朗誦獎
[00:07:53.840 --> 00:07:55.840]  但是他是失敗的
[00:07:55.840 --> 00:07:57.840]  因為他沒有這種淑靈
[00:07:57.840 --> 00:07:59.840]  氣質
[00:07:59.840 --> 00:08:01.840]  寬闊
[00:08:01.840 --> 00:08:03.840]  上個星期
[00:08:03.840 --> 00:08:05.840]  過完之前 我遇到一個舊朋友
[00:08:05.840 --> 00:08:07.840]  這個舊朋友認識了幾年
[00:08:07.840 --> 00:08:09.840]  他是一個
[00:08:09.840 --> 00:08:11.840]  攝影師
[00:08:11.840 --> 00:08:13.840]  是一個設計師
[00:08:13.840 --> 00:08:15.840]  我和他都幾熟
[00:08:15.840 --> 00:08:17.840]  和他合作過一段短的時間
[00:08:17.840 --> 00:08:19.840]  他見到我
[00:08:19.840 --> 00:08:21.840]  他和我說
[00:08:21.840 --> 00:08:23.840]  他說他看到很大改變
[00:08:23.840 --> 00:08:25.840]  他是一個很迷信的人
[00:08:25.840 --> 00:08:27.840]  在辦公室裏弄了一些八卦
[00:08:27.840 --> 00:08:29.840]  金魚
[00:08:29.840 --> 00:08:31.840]  見到他
[00:08:31.840 --> 00:08:33.840]  就想起一個很典型的拜神佬
[00:08:33.840 --> 00:08:37.840]  他是一個很虔誠的佛教徒
[00:08:37.840 --> 00:08:39.840]  他經常研究佛學
