
[00:00:00.000 --> 00:00:05.260]  佛陀姐妹 讓我們先聽神的禱語
[00:00:05.260 --> 00:00:06.520]  同心禱告
[00:00:06.520 --> 00:00:12.400]  我們親愛的父神 多謝你
[00:00:12.400 --> 00:00:16.440]  讓我們能夠再次有機會可以聽著你的禱
[00:00:16.440 --> 00:00:20.340]  並且學習怎樣去明白上帝你的心
[00:00:20.340 --> 00:00:25.380]  走走面前一條合神心意的道路
[00:00:25.380 --> 00:00:28.140]  直奔永恆 我們感謝你
[00:00:28.140 --> 00:00:32.120]  讓我們真的可以在這個時候
[00:00:32.120 --> 00:00:35.240]  能夠明白你是何等之美的事
[00:00:35.240 --> 00:00:39.720]  就讓我們全然投靠在上帝你的當中
[00:00:39.720 --> 00:00:44.280]  真是在你的說話的安慰 鼓勵
[00:00:44.280 --> 00:00:47.720]  能夠使我們走在你面前的路
[00:00:47.720 --> 00:00:50.420]  都是一條永生的人的路
[00:00:50.420 --> 00:00:52.420]  我親愛的父神 感謝你
[00:00:52.420 --> 00:00:55.640]  讓我們能夠再次打開你的說話
[00:00:55.640 --> 00:00:59.380]  也要靠近祖裡的松塘
[00:00:59.380 --> 00:01:01.700]  使我們明白你的心意
[00:01:01.700 --> 00:01:03.700]  我們再次向上感謝
[00:01:03.700 --> 00:01:05.700]  我們再次懇求你
[00:01:05.700 --> 00:01:07.500]  隨著心靈的帶領
[00:01:07.500 --> 00:01:09.500]  直到無論聽的講的
[00:01:09.500 --> 00:01:13.500]  我們每一個都能夠在你的帶領當中
[00:01:13.500 --> 00:01:17.900]  直走這條屬神的道路
[00:01:17.900 --> 00:01:21.500]  活出永生一人的生命
[00:01:21.500 --> 00:01:24.300]  直奔跑到永恆的終點
[00:01:24.300 --> 00:01:26.300]  受你的幫助
[00:01:26.300 --> 00:01:30.300]  我們大家 奉主耶穌的名字 阿 恩
[00:01:30.300 --> 00:01:34.300]  「良心」這句話
[00:01:34.300 --> 00:01:36.300]  其實常常掛在很多人的口邊
[00:01:36.300 --> 00:01:40.300]  「良心」這句話 經常掛在人的口邊
[00:01:40.300 --> 00:01:44.300]  但究竟甚麼是良心呢?
[00:01:44.300 --> 00:01:45.300]  究竟甚麼是良心呢?
[00:01:45.300 --> 00:01:47.300]  「良心」又指甚麼呢?
[00:01:47.300 --> 00:01:49.300]  「良心」指的是甚麼呢?
[00:01:49.300 --> 00:01:51.300]  當我們問不同的人
[00:01:51.300 --> 00:01:55.300]  我們未必能夠掌握得到他們
[00:01:55.300 --> 00:01:57.300]  去解釋甚麼是良心
[00:01:57.300 --> 00:02:01.300]  我們問不同的人都不能解釋出甚麼是良心
[00:02:01.300 --> 00:02:05.300]  「良心」好像是一種難以捉摸和形容的事情
[00:02:05.300 --> 00:02:09.300]  「良心」好像是不能捉摸和理解的事情
[00:02:09.300 --> 00:02:11.300]  更困難的是因為「良心」
[00:02:11.300 --> 00:02:13.300]  除了不同的人
[00:02:13.300 --> 00:02:15.300]  又有不同的定義
[00:02:15.300 --> 00:02:18.300]  「良心」有不同的人 有不同的定義
[00:02:18.300 --> 00:02:21.300]  有些人認為「良心」是一種公義
[00:02:21.300 --> 00:02:23.300]  有些人認為「良心」是公義
[00:02:23.300 --> 00:02:28.300]  有些人又認為「良心」是一種知恩去望
[00:02:28.300 --> 00:02:32.300]  望能夠報恩 這種就是美德
[00:02:32.300 --> 00:02:36.300]  有些人認為「良心」可以是知恩圖報的美德
[00:02:36.300 --> 00:02:38.300]  有些人甚至覺得「良心」是
[00:02:38.300 --> 00:02:40.300]  我不害你就是一種良心
[00:02:40.300 --> 00:02:43.300]  有些人認為我不害你就是有良心
[00:02:43.300 --> 00:02:45.300]  另一個極端有些人就是
[00:02:45.300 --> 00:02:48.300]  不做那些好事去幫助人又覺得
[00:02:48.300 --> 00:02:50.300]  不是過得自己的良心
[00:02:50.300 --> 00:02:52.300]  有些人覺得如果不去做好事
[00:02:52.300 --> 00:02:53.300]  就過不了自己的良心
[00:02:53.300 --> 00:02:55.300]  似乎各執一詞
[00:02:55.300 --> 00:02:57.300]  似乎各執一詞
[00:02:57.300 --> 00:02:59.300]  各人為良心去定義
[00:02:59.300 --> 00:03:01.300]  各人為良心去定義
[00:03:01.300 --> 00:03:03.300]  無論怎樣解釋好
[00:03:03.300 --> 00:03:04.300]  無論怎樣解釋
[00:03:04.300 --> 00:03:07.300]  都好像很飄渺的一種事情
[00:03:07.300 --> 00:03:09.300]  都是一件飄渺的事情
[00:03:09.300 --> 00:03:11.300]  但是當我們看回聖經的時候
[00:03:11.300 --> 00:03:13.300]  當我們看聖經的時候
[00:03:13.300 --> 00:03:17.300]  良心在聖經裡面其實有很清楚的介紹
[00:03:17.300 --> 00:03:20.300]  良心在聖經中有清楚的介紹
[00:03:20.300 --> 00:03:24.300]  如果我們去看到第四圖行傳第23章的第一節
[00:03:24.300 --> 00:03:27.300]  就在這裡介紹了良心這個題目出來
[00:03:27.300 --> 00:03:31.300]  如果我們看始祿行傳23章第一節就講了良心
[00:03:31.300 --> 00:03:35.300]  其實良心這個題目不單止在四圖行傳裡面
[00:03:35.300 --> 00:03:38.300]  在保羅的神學裡面也經常提到
[00:03:38.300 --> 00:03:42.300]  尤其是在提摩太書當中
[00:03:42.300 --> 00:03:45.300]  良心不只在始祿行傳中提到
[00:03:45.300 --> 00:03:48.300]  而是在保羅所講的東西在提摩太書中也提到
[00:03:48.300 --> 00:03:51.300]  在這裡第23章的第一節
[00:03:51.300 --> 00:03:54.300]  保羅向猶太人的公會的人這樣說
[00:03:54.300 --> 00:03:59.300]  在23章保羅對公會的人說
[00:03:59.300 --> 00:04:03.300]  弟兄們我在神的面前行事為人
[00:04:03.300 --> 00:04:06.300]  都是憑著良心直到今天
[00:04:06.300 --> 00:04:09.300]  保羅說弟兄們我在神面前行事為人
[00:04:09.300 --> 00:04:11.300]  都是憑著良心直到今日
[00:04:11.300 --> 00:04:13.300]  保羅為了良心
[00:04:13.300 --> 00:04:18.300]  Zooneticist這個字他留了一個很清楚的定義
[00:04:18.300 --> 00:04:21.300]  保羅為良心有一個很清楚的定義
[00:04:21.300 --> 00:04:24.300]  Zooneticist這個字是解讀在神裡面
[00:04:24.300 --> 00:04:29.300]  被上帝監察著的一種內注性情
[00:04:29.300 --> 00:04:32.300]  良心是被上帝監察的一種性情
[00:04:32.300 --> 00:04:34.300]  不是我自己定的
[00:04:34.300 --> 00:04:35.300]  不是我們自己定的
[00:04:35.300 --> 00:04:37.300]  是神為我們而定的
[00:04:37.300 --> 00:04:39.300]  是神為我們而定的
[00:04:39.300 --> 00:04:41.300]  換句話說
[00:04:41.300 --> 00:04:42.300]  換句話說
[00:04:42.300 --> 00:04:44.300]  保羅對良心的解釋就是
[00:04:44.300 --> 00:04:49.300]  當一個人和神的心思是能夠緊緊掛勾的話
[00:04:49.300 --> 00:04:53.300]  保羅認為良心如果是跟神可以一起掛勾的話
[00:04:53.300 --> 00:04:58.300]  人就能夠有一種像上帝一樣辨別對錯的能力
