
[00:00:00.000 --> 00:00:06.560]  開始的時候,我就想到今天的題目是與上帝合著
[00:00:06.560 --> 00:00:11.600]  其實大家已經是與上帝合著一個故事
[00:00:11.600 --> 00:00:15.840]  通常合著就是一本書
[00:00:15.840 --> 00:00:21.920]  但我想到我們是合著一首交響樂曲
[00:00:21.920 --> 00:00:25.840]  這首交響樂曲,我就問了一些專家
[00:00:25.840 --> 00:00:28.640]  我問他們,什麼叫交響樂呢?
[00:00:28.640 --> 00:00:30.640]  他們說講得複雜,你也不明白
[00:00:30.640 --> 00:00:38.160]  簡單來說,交響樂曲是一種大型音樂作品
[00:00:38.160 --> 00:00:46.320]  通常要動用全隊標準的管弦樂團和指揮一起合力演出
[00:00:46.320 --> 00:00:50.720]  一首交響樂曲通常有三到四個樂章
[00:00:50.720 --> 00:00:58.720]  而樂章之間又會有比較強烈的節奏感,比較快的對比
[00:00:58.720 --> 00:01:04.000]  我想給大家看一段幾十秒的交響樂曲
[00:01:04.000 --> 00:01:10.720]  不要只聽歌,留意畫面,留意指揮和樂團成員
[00:01:10.720 --> 00:01:25.760]  (交響樂曲)
[00:01:25.760 --> 00:01:30.240]  大家有沒有留意到指揮很有型?
[00:01:30.240 --> 00:01:34.240]  特別是那一刻,一放下,就這樣
[00:01:34.240 --> 00:01:42.240]  一放下,那邊的聲音,那邊負責的樂器就一起去唱
[00:01:42.240 --> 00:01:50.240]  我想到我們所有弟兄姊妹都是在一個樂團裡面
[00:01:50.240 --> 00:01:55.360]  其實你們每一個人已經是在參與其中的一份子
[00:01:55.360 --> 00:02:00.240]  每一個都是,就算今天特別來慶祝我們生日的嘉賓
[00:02:00.240 --> 00:02:03.040]  你都是其中一份子
[00:02:03.040 --> 00:02:08.800]  如果一個樂團要演奏得好,有好的指揮當然很重要
[00:02:08.800 --> 00:02:12.320]  但是我們不用擔心,因為我們有一個總指揮
[00:02:12.320 --> 00:02:16.000]  就是上帝在總指揮,指揮著我們
[00:02:16.000 --> 00:02:21.040]  但是你有沒有看到剛才那個指揮很緊張的
[00:02:21.040 --> 00:02:23.040]  很緊張地在指揮
[00:02:23.040 --> 00:02:25.040]  但是如果很緊張地在指揮的時候
[00:02:25.040 --> 00:02:29.920]  那些人不唱,不動,可能都很尷尬
[00:02:29.920 --> 00:02:34.080]  那這一刻,上帝在指揮我們使命浸信會的時候
[00:02:34.080 --> 00:02:35.680]  究竟是怎樣呢?
[00:02:35.680 --> 00:02:40.160]  我在預備的時候,就在幻想上帝很緊張地在指揮
[00:02:40.160 --> 00:02:44.160]  然後你就這樣
[00:02:44.160 --> 00:02:46.160]  你會不會是這樣呢?
[00:02:46.160 --> 00:02:47.200]  我不知道
[00:02:47.200 --> 00:02:49.200]  但是今天很想和大家思考一下
[00:02:49.200 --> 00:02:54.160]  我們使命浸信會,究竟接下來一個是什麼的樂章
[00:02:54.160 --> 00:02:58.400]  樂章裡面有快,有慢,有大聲,有小聲
[00:02:58.400 --> 00:03:01.920]  使命浸信會已經踏入第五年了
[00:03:01.920 --> 00:03:06.080]  究竟我們是在樂章的哪一個階段呢?
[00:03:06.080 --> 00:03:09.360]  在樂譜上,我給大家看看樂譜
[00:03:09.360 --> 00:03:11.840]  樂譜上通常有些標記的
[00:03:11.840 --> 00:03:17.920]  標記著演奏的人究竟怎樣去用聲音,怎樣去用節奏
[00:03:17.920 --> 00:03:19.920]  大家知不知道這個代表什麼?
[00:03:19.920 --> 00:03:23.200]  MP,FF,有人轉頭了
[00:03:23.200 --> 00:03:26.400]  那MP,FF,我今天請教了我們的指揮
[00:03:26.400 --> 00:03:28.960]  我就問他MP是怎樣讀呢?
[00:03:28.960 --> 00:03:30.560]  我讀都不懂
[00:03:30.560 --> 00:03:33.120]  然後他就說是Mezzo Piano
[00:03:33.120 --> 00:03:36.480]  他是意大利文嗎?還是法文?
[00:03:36.480 --> 00:03:38.480]  意大利文,Mezzo Piano
[00:03:38.480 --> 00:03:40.480]  我認識了第一個意大利文
[00:03:40.480 --> 00:03:42.480]  Mezzo,Mezzo是什麼意思呢?
[00:03:42.480 --> 00:03:46.400]  原來他就說是Medium Quiet
[00:03:46.400 --> 00:03:48.720]  就是中挺細聲
[00:03:48.720 --> 00:03:50.960]  那你可能會說,細聲啊細聲啊
[00:03:50.960 --> 00:03:53.680]  什麼叫做中挺細聲呢?我不知道
[00:03:53.680 --> 00:03:56.720]  那FF就是很大聲
[00:03:56.720 --> 00:03:58.720]  但是我們使命浸信會呢
[00:03:58.720 --> 00:04:02.000]  我覺得是哪一個符號在代表我們呢?
[00:04:02.000 --> 00:04:06.000]  就是現在這個,好像箭咀一樣
[00:04:06.000 --> 00:04:09.120]  大家知不知道箭咀是什麼意思呢?
[00:04:09.120 --> 00:04:12.880]  這個就是箭大聲
[00:04:12.880 --> 00:04:19.520]  當我們在樂譜上看到,就是由中挺Piano一直大聲
[00:04:19.520 --> 00:04:22.720]  那意大利文就叫做Crescendo
[00:04:22.720 --> 00:04:24.720]  我認識第二個意大利文了
[00:04:24.720 --> 00:04:26.720]  Crescendo就是箭大聲
[00:04:26.720 --> 00:04:31.680]  我覺得現在這一刻,我們就是在箭大聲當中
[00:04:31.680 --> 00:04:35.200]  因為如果你去年三周年有在的話
