
[00:00:00.000 --> 00:00:04.320]  各位親愛的弟兄姊妹你們好
[00:00:04.320 --> 00:00:06.080]  母親節快樂
[00:00:06.080 --> 00:00:08.960]  不單止做母親的快樂
[00:00:08.960 --> 00:00:10.880]  我們每一位有母親的
[00:00:10.880 --> 00:00:12.280]  我們都是快樂
[00:00:12.280 --> 00:00:13.120]  感謝主
[00:00:13.120 --> 00:00:15.080]  今天感謝主
[00:00:15.080 --> 00:00:17.320]  我選讀的是約翰一書
[00:00:17.320 --> 00:00:19.240]  其實我是講一節的
[00:00:19.240 --> 00:00:22.560]  其實是講一節的
[00:00:22.560 --> 00:00:24.200]  第十八節
[00:00:24.200 --> 00:00:25.280]  孩子們啊
[00:00:25.280 --> 00:00:26.160]  我們相愛
[00:00:26.160 --> 00:00:28.360]  不要只在言語或是頭上
[00:00:28.360 --> 00:00:32.840]  總要以行為在行為和誠實上
[00:00:32.840 --> 00:00:36.240]  其實我們神造
[00:00:36.240 --> 00:00:40.360]  我們在家庭裏要與家人相處
[00:00:40.360 --> 00:00:45.640]  最容易相處就是一開口就說
[00:00:45.640 --> 00:00:51.440]  所以言語是非常容易表達
[00:00:51.440 --> 00:00:53.800]  不過要面對面說
[00:00:53.800 --> 00:00:54.960]  要有眼神接觸
[00:00:54.960 --> 00:00:55.960]  對著別人說
[00:00:55.960 --> 00:00:59.400]  有些人很間接地說
[00:00:59.400 --> 00:01:01.240]  不喜歡直接說
[00:01:01.240 --> 00:01:02.520]  你幫我說
[00:01:02.520 --> 00:01:06.360]  有一家人三仔奶同桌吃飯
[00:01:06.360 --> 00:01:08.600]  母親問爸爸
[00:01:08.600 --> 00:01:10.120]  你問他
[00:01:10.120 --> 00:01:12.120]  兒子叫他
[00:01:12.120 --> 00:01:14.120]  你問他喝不喝湯
[00:01:14.120 --> 00:01:16.120]  爸爸問兒子
[00:01:16.120 --> 00:01:18.280]  你母親問你喝不喝湯
[00:01:18.280 --> 00:01:20.520]  兒子告訴爸爸
[00:01:20.520 --> 00:01:22.120]  你告訴你老婆
[00:01:22.120 --> 00:01:24.520]  她兒子不喝湯
[00:01:24.520 --> 00:01:28.840]  這樣行不行
[00:01:28.840 --> 00:01:30.600]  完全沒有關係
[00:01:30.600 --> 00:01:32.040]  為什麼不直接說
[00:01:32.040 --> 00:01:33.480]  我們可以面對面
