
[00:00:00.000 --> 00:00:06.160]  除了聖誕節我們去紀念他之外
[00:00:06.160 --> 00:00:12.280]  原來教會年開始是紀念耶穌基督再來
[00:00:12.280 --> 00:00:16.040]  所以教會年一開始兩個星期的經文
[00:00:16.040 --> 00:00:18.880]  是有關耶穌基督再來的
[00:00:18.880 --> 00:00:25.120]  今天這段經文其實都是紀念耶穌基督再來
[00:00:25.120 --> 00:00:27.200]  等候主再回來
[00:00:27.200 --> 00:00:28.560]  下個星期是聖誕節了
[00:00:28.560 --> 00:00:30.000]  所以唱聖誕歌了
[00:00:30.000 --> 00:00:31.320]  下個星期開始
[00:00:31.320 --> 00:00:34.320]  再過幾天就是聖誕節
[00:00:34.320 --> 00:00:37.640]  這段經文是與主再來有關的
[00:00:37.640 --> 00:00:40.720]  也是在《宗林奇》里經常讀的一段經文
[00:00:40.720 --> 00:00:42.760]  大家很熟悉
[00:00:42.760 --> 00:00:49.360]  按才幹來將錢交給僕人
[00:00:49.360 --> 00:00:51.840]  所以開始的時候
[00:00:51.840 --> 00:00:57.120]  比喻提到一個人要出外遠行
[00:00:57.120 --> 00:00:58.320]  就叫僕人來
[00:00:58.320 --> 00:01:00.000]  要將家業交給他們
[00:01:00.000 --> 00:01:03.760]  因為大家都有經文
[00:01:03.760 --> 00:01:05.280]  所以我不看PowerPoint了
[00:01:05.280 --> 00:01:07.280]  稍後到故事我才看
[00:01:07.280 --> 00:01:09.520]  這些經文大家在手上有的
[00:01:09.520 --> 00:01:10.880]  如果沒有就在聖經
[00:01:10.880 --> 00:01:13.360]  因為我們平時很少看聖經
[00:01:13.360 --> 00:01:14.880]  所以在聖經
[00:01:14.880 --> 00:01:16.320]  如果沒有就看手機
[00:01:16.320 --> 00:01:17.520]  你們都有手機的
[00:01:17.520 --> 00:01:19.720]  我們稍後再看
[00:01:19.720 --> 00:01:23.440]  我們整段經文來看
[00:01:23.440 --> 00:01:25.400]  主人離開
[00:01:25.400 --> 00:01:27.040]  按照才幹
[00:01:27.480 --> 00:01:30.520]  來將錢交給僕人
[00:01:30.520 --> 00:01:32.280]  大家很熟悉
[00:01:32.280 --> 00:01:35.880]  主人因此按照我們的才幹
[00:01:35.880 --> 00:01:38.520]  給我們為主侍奉
[00:01:38.520 --> 00:01:40.600]  主回來的時候
[00:01:40.600 --> 00:01:44.680]  他要尋找我們這群僕人侍奉他
[00:01:44.680 --> 00:01:47.000]  他要找些什麼人呢
[00:01:47.000 --> 00:01:49.160]  經文說主回來的時候
[00:01:49.160 --> 00:01:50.840]  我們怎麼面對我們的主呢
[00:01:50.840 --> 00:01:53.240]  經文十五節就說
[00:01:53.240 --> 00:01:54.680]  按照他們的才幹
[00:01:54.680 --> 00:01:56.040]  一個給五千
[00:01:56.040 --> 00:01:56.960]  一個給二千
[00:01:56.960 --> 00:01:57.960]  一個給一千
[00:01:57.960 --> 00:02:00.080]  這個不存在不公平的
[00:02:00.080 --> 00:02:01.280]  因為按照才幹
[00:02:01.280 --> 00:02:03.360]  所以才幹多的就做多點
[00:02:03.360 --> 00:02:04.400]  使用多點的
[00:02:04.400 --> 00:02:06.320]  才幹少的就少點
[00:02:06.320 --> 00:02:09.360]  要求也按照不同的才幹要求
[00:02:09.360 --> 00:02:10.720]  現在五千
[00:02:10.720 --> 00:02:11.840]  二千
[00:02:11.840 --> 00:02:12.400]  一千
[00:02:12.400 --> 00:02:14.000]  離開了
[00:02:14.000 --> 00:02:16.800]  領五千去做買賣
[00:02:16.800 --> 00:02:18.200]  另外賺了五千
[00:02:18.200 --> 00:02:21.080]  他出去做買賣
[00:02:21.080 --> 00:02:22.800]  賺了五千
[00:02:22.800 --> 00:02:24.800]  不要有個誤會
[00:02:24.800 --> 00:02:26.520]  很快就賺了五千
[00:02:27.520 --> 00:02:29.080]  我們看起來很快
[00:02:29.080 --> 00:02:30.480]  一出去做買賣就賺了五千
[00:02:30.480 --> 00:02:33.680]  不是 因為主人是很久才回來的
[00:02:33.680 --> 00:02:34.360]  你留意
[00:02:34.360 --> 00:02:35.880]  是過了許久
[00:02:35.880 --> 00:02:39.680]  許久是很長時間才賺五千
[00:02:39.680 --> 00:02:42.240]  即是說這五千賺回來
[00:02:42.240 --> 00:02:43.560]  其實不是那麼容易
[00:02:43.560 --> 00:02:44.760]  很長的時間
[00:02:44.760 --> 00:02:46.320]  中間可能又起又落
[00:02:46.320 --> 00:02:47.800]  總之到最後
[00:02:47.800 --> 00:02:49.800]  耶穌基督回來
[00:02:49.800 --> 00:02:50.600]  主人回來
[00:02:50.600 --> 00:02:52.760]  他能夠賺到的
[00:02:52.760 --> 00:02:54.840]  有五千就給主人
[00:02:55.880 --> 00:02:57.600]  所以中間經歷了什麼
[00:02:57.600 --> 00:02:58.280]  我們不知道
[00:02:58.280 --> 00:03:00.680]  主人怎麼稱贊他呢
[00:03:00.680 --> 00:03:02.160]  剛才讀經讀過了
[00:03:02.160 --> 00:03:05.760]  就說他又良善又忠心僕人
[00:03:05.760 --> 00:03:09.520]  又良善又忠心
[00:03:09.520 --> 00:03:14.600]  賺和二千是一模一樣的
[00:03:14.600 --> 00:03:16.960]  因此不是因為賺得多
[00:03:16.960 --> 00:03:17.880]  所以賺得多
[00:03:17.880 --> 00:03:18.520]  賺得少
[00:03:18.520 --> 00:03:19.840]  賺得少
[00:03:19.840 --> 00:03:20.840]  因為公平的
[00:03:20.840 --> 00:03:22.040]  按照他的才幹
[00:03:22.040 --> 00:03:24.360]  五千的稱贊是一樣
[00:03:24.720 --> 00:03:26.440]  二千的稱贊也是一樣
[00:03:26.440 --> 00:03:27.840]  沒問題
[00:03:27.840 --> 00:03:29.040]  大家明白
[00:03:29.040 --> 00:03:30.240]  主人很公道
[00:03:30.240 --> 00:03:33.440]  但你有沒有想過
[00:03:33.440 --> 00:03:37.440]  為什麼稱贊是稱贊良善而忠心呢
[00:03:37.440 --> 00:03:41.960]  做生意怎麼稱贊良善呢
[00:03:41.960 --> 00:03:43.160]  你請人
[00:03:43.160 --> 00:03:44.920]  你請兩個人
[00:03:44.920 --> 00:03:46.760]  一個人很進取
[00:03:46.760 --> 00:03:48.360]  一個人很乖
[00:03:48.360 --> 00:03:51.880]  如果你打算做生意
[00:03:51.880 --> 00:03:53.680]  是要良善先行
[00:03:54.120 --> 00:03:56.600]  還是忠心先行呢
[00:03:56.600 --> 00:04:00.640]  良善和做生意有沒有關係
[00:04:00.640 --> 00:04:02.040]  我不知道
[00:04:02.040 --> 00:04:02.760]  今天做生意
[00:04:02.760 --> 00:04:03.520]  你們做生意的人
[00:04:03.520 --> 00:04:06.400]  是不是每個人都要良善
[00:04:06.400 --> 00:04:07.800]  多少人欠債
[00:04:07.800 --> 00:04:08.880]  哎呀你這麼淒涼
[00:04:08.880 --> 00:04:09.680]  不用還債了
[00:04:09.680 --> 00:04:10.360]  算了
[00:04:10.360 --> 00:04:13.640]  或者東西這麼貴
[00:04:13.640 --> 00:04:14.400]  而且通貨膨脹
[00:04:14.400 --> 00:04:16.000]  我減點價吧
[00:04:16.000 --> 00:04:17.680]  是怎樣呢
[00:04:17.680 --> 00:04:20.440]  在今天看來
[00:04:20.440 --> 00:04:21.400]  或者當時看來
[00:04:22.040 --> 00:04:24.960]  良善和賺錢和做生意
[00:04:24.960 --> 00:04:26.200]  有什麼直接關係呢
[00:04:26.200 --> 00:04:29.760]  兩個人的精神都一樣
[00:04:29.760 --> 00:04:32.800]  都是先良善後忠心
[00:04:32.800 --> 00:04:34.320]  賺錢沒問題
[00:04:34.320 --> 00:04:35.080]  是很忠心
