
[00:00:00.000 --> 00:00:05.040]  教會的誕生
[00:00:05.040 --> 00:00:08.560]  第一間教會出現的擴展
[00:00:08.560 --> 00:00:10.360]  如果大家有看到大綱
[00:00:10.360 --> 00:00:13.000]  我們今天會從三個方面去思考
[00:00:13.000 --> 00:00:15.400]  第一個教會能夠擴展
[00:00:15.400 --> 00:00:17.480]  第一個很重要的因素
[00:00:17.480 --> 00:00:20.400]  就是耶穌的升天
[00:00:20.400 --> 00:00:22.200]  耶穌升天之前
[00:00:22.200 --> 00:00:23.080]  不知道大家記不記得
[00:00:23.080 --> 00:00:25.800]  耶穌說過一句話很重要的呢?
[00:00:25.800 --> 00:00:29.600]  和我們使命贈信會都很有關的
[00:00:29.600 --> 00:00:33.520]  這就是大使命
[00:00:33.520 --> 00:00:36.760]  當聖靈降臨的時候
[00:00:36.760 --> 00:00:38.680]  你們就會得著能力
[00:00:38.680 --> 00:00:40.240]  並要在耶路撒冷
[00:00:40.240 --> 00:00:43.240]  猶太全地和撒瑪利亞直到地極
[00:00:43.240 --> 00:00:45.520]  作我的見證
[00:00:45.520 --> 00:00:46.800]  這件事非常重要
[00:00:46.800 --> 00:00:49.200]  因為當耶穌升天的時候
[00:00:49.200 --> 00:00:54.520]  徹底扭轉了門徒對於生死的看法
[00:00:54.520 --> 00:00:56.960]  以至本來他們很膽小
[00:00:56.960 --> 00:01:01.440]  但後來可以願意有膽量去面對著權貴
[00:01:01.440 --> 00:01:04.080]  面對著宗教的領袖
[00:01:04.080 --> 00:01:05.640]  當升天的時候
[00:01:05.640 --> 00:01:07.840]  不知道大家記不記得是什麼情況呢?
[00:01:07.840 --> 00:01:10.120]  當耶穌說完那句話
[00:01:10.120 --> 00:01:12.120]  就是剛才的大使命
[00:01:12.120 --> 00:01:16.840]  然後當所有人看著耶穌升天的時候
[00:01:16.840 --> 00:01:19.240]  當耶穌就被取上升
[00:01:19.240 --> 00:01:22.680]  有一隊的雲彩將祂接去
[00:01:22.680 --> 00:01:24.880]  就看不見祂了
[00:01:24.880 --> 00:01:26.440]  大家有沒有幻想過
[00:01:26.440 --> 00:01:30.120]  當時如果你身處在那裡
[00:01:30.120 --> 00:01:31.240]  會是怎樣呢?
