
[00:00:00.000 --> 00:00:07.120]  我希望盡量深入淺出地講解科學和宗教的關係
[00:00:07.120 --> 00:00:11.240]  因為很多科學家在有新發現的時候
[00:00:11.240 --> 00:00:18.600]  都不知不覺地將他的發現與神的存在或不存在拉上關係
[00:00:18.600 --> 00:00:24.200]  所以我今天想講清楚科學在創造的地位
[00:00:24.200 --> 00:00:32.000]  最重要一點是科學本身不可能證明神的存在或不存在
[00:00:32.000 --> 00:00:34.000]  我希望慢慢解釋
[00:00:34.000 --> 00:00:38.800]  我會用幾本書來解釋
[00:00:38.800 --> 00:00:42.800]  今天講的內容主要有幾本書
[00:00:42.800 --> 00:00:45.600]  第一本是最重要的一本書
[00:00:45.600 --> 00:00:49.280]  就是劍橋大學霍金教授的《時間簡史》
[00:00:49.280 --> 00:00:54.720]  這本書可能是最多人買的科學書
[00:00:54.720 --> 00:00:57.080]  但亦是最少人明白的書
[00:00:57.080 --> 00:00:59.080]  因為很多人買了之後不明白它說什麼
[00:00:59.080 --> 00:01:07.960]  所以我今天希望很簡單地將霍金教授想講大爆炸的基本概念解釋
[00:01:07.960 --> 00:01:09.960]  解釋完之後我會解釋
[00:01:09.960 --> 00:01:13.960]  為什麼當年霍金教授來到科大的時候
[00:01:13.960 --> 00:01:17.560]  記者問他你的理論是否需要有神
[00:01:17.560 --> 00:01:20.560]  他很直接地說我的理論是不需要有神的
[00:01:20.560 --> 00:01:23.560]  我會解釋為什麼他的理論是不需要有神
[00:01:23.560 --> 00:01:30.960]  然後我會將霍金教授最新的著作結論
[00:01:30.960 --> 00:01:32.560]  和聖經作一個比較
[00:01:32.560 --> 00:01:37.560]  所以我今天講的內容除了是時間簡史之外
[00:01:37.560 --> 00:01:41.560]  我亦會有幾本書內容會講
[00:01:41.560 --> 00:01:43.560]  其中一個就是《The Mind of God》
[00:01:43.560 --> 00:01:48.560]  這是霍金教授在劍橋大學的同事
[00:01:48.560 --> 00:01:51.560]  後來他去了澳洲大學任教
[00:01:51.560 --> 00:01:59.560]  我講的內容包括一本書是一位猶太教老師
[00:01:59.560 --> 00:02:02.560]  他亦是一位在MIT的核子物理學家
[00:02:02.560 --> 00:02:04.560]  最重要的當然是我會用聖經
[00:02:04.560 --> 00:02:08.560]  但在我講內容之前我想講一講
[00:02:08.560 --> 00:02:11.560]  聖經不是一本科學的書
[00:02:11.560 --> 00:02:13.560]  而是聖經有科學的資料
[00:02:13.560 --> 00:02:15.560]  所以我希望大家明白
[00:02:15.560 --> 00:02:19.560]  我今天不是嘗試將聖經變成一本科學的書去看
[00:02:19.560 --> 00:02:24.560]  我只是想提出聖經內有科學的資料
[00:02:24.560 --> 00:02:31.560]  而這些科學的資料可以看到現有最好的科學發現
[00:02:31.560 --> 00:02:36.560]  是逃不過聖經內所講的科學資料
[00:02:36.560 --> 00:02:42.560]  現在我們看看整個宇宙有很多星系
[00:02:42.560 --> 00:02:49.560]  其實我們地球是在銀河系其中一個很小的地方
[00:02:49.560 --> 00:02:53.560]  整個銀河系的闊度是十萬光年
[00:02:53.560 --> 00:02:57.560]  即是說從光線一邊穿過電筒
[00:02:57.560 --> 00:03:01.560]  這些光子要經過十萬年才能到另一邊
[00:03:01.560 --> 00:03:04.560]  但這個宇宙有很多很多這類的星體
[00:03:04.560 --> 00:03:08.560]  其實整個宇宙是一個很小的地方
[00:03:08.560 --> 00:03:12.560]  其實人類到現在這個地步
[00:03:12.560 --> 00:03:16.560]  我們對科學的知識是極之有限的
[00:03:16.560 --> 00:03:18.560]  我用地球作為一個開始
[00:03:18.560 --> 00:03:22.560]  地球的核心裏面其實有很多的熔岩
[00:03:22.560 --> 00:03:24.560]  主要是用鐵為主
[00:03:24.560 --> 00:03:26.560]  即是用流體的
[00:03:26.560 --> 00:03:29.560]  所以我們現在看到火山爆發的時候
[00:03:29.560 --> 00:03:31.560]  看到岩漿流出來
[00:03:31.560 --> 00:03:33.560]  很多是重金屬在裏面
[00:03:33.560 --> 00:03:35.560]  在裏面轉的時候
[00:03:35.560 --> 00:03:38.560]  就會產生一個電磁場
[00:03:38.560 --> 00:03:39.560]  這個電磁場很重要的
[00:03:39.560 --> 00:03:41.560]  因為沒有電磁場我們會死的
[00:03:41.560 --> 00:03:46.560]  所以當太陽有很多有害的粒子射落地球的時候
[00:03:46.560 --> 00:03:49.560]  其實神就給了一個電磁場保護我們
[00:03:49.560 --> 00:03:51.560]  將這些粒子彈開
[00:03:51.560 --> 00:03:56.560]  所以我們就不會那麼容易受太陽那些粒子的傷害
[00:03:56.560 --> 00:03:58.560]  神不單止有一個電磁場
[00:03:58.560 --> 00:04:01.560]  也有一個臭氧層保護我們
[00:04:01.560 --> 00:04:02.560]  不過我們現在弄穿了
