
[00:00:00.000 --> 00:00:03.340]  我一直都在思考如何去講
[00:00:03.340 --> 00:00:09.340]  因為我離開加拿大時才發現今天是母親節
[00:00:09.340 --> 00:00:11.840]  所以在途中我改了一個題目
[00:00:11.840 --> 00:00:13.580]  原來我預備了一篇講章的
[00:00:13.580 --> 00:00:15.580]  這個留待稍後再講
[00:00:15.580 --> 00:00:18.000]  所以求神就是給一個訊息
[00:00:18.000 --> 00:00:22.500]  回看以前我在大埔剛才講過兩次母親節
[00:00:22.500 --> 00:00:25.600]  我雖然有肚腩 但我沒有兒子生
[00:00:25.600 --> 00:00:27.600]  做不到母親
[00:00:27.600 --> 00:00:29.600]  所以感受很不同
[00:00:29.600 --> 00:00:34.600]  很多時候我都請姊妹來分享母親節
[00:00:34.600 --> 00:00:37.600]  我在加拿大都講過幾次
[00:00:37.600 --> 00:00:39.600]  因為經常都有自己講
[00:00:39.600 --> 00:00:41.600]  不容易講的
[00:00:41.600 --> 00:00:43.600]  節日對傳統人來說不容易講
[00:00:43.600 --> 00:00:45.600]  因為每年都要講相同的東西
[00:00:45.600 --> 00:00:47.600]  很類似的經文
[00:00:47.600 --> 00:00:50.600]  所以這次我一直跟師母講為了祈禱
[00:00:50.600 --> 00:00:53.600]  又跟媚姐講為了祈禱
[00:00:53.600 --> 00:00:55.600]  這是一個新的訊息
[00:00:55.600 --> 00:00:57.600]  所以一直都在思考
[00:00:57.600 --> 00:01:01.600]  在三會記這段經文其實在大埔跟我說過的
[00:01:01.600 --> 00:01:03.600]  我都沒有帶在手上
[00:01:03.600 --> 00:01:08.600]  所以我求神給我一個新的領袖
[00:01:08.600 --> 00:01:12.600]  這次我是路經香港
[00:01:12.600 --> 00:01:14.600]  我去北京開會
[00:01:14.600 --> 00:01:17.600]  然後在哈爾濱教神學
[00:01:17.600 --> 00:01:18.600]  我明天早上就走了
[00:01:18.600 --> 00:01:20.600]  再下個星期一就回到加拿大
[00:01:20.600 --> 00:01:22.600]  我還要教書
[00:01:22.600 --> 00:01:25.600]  在這段時間裡能夠一個星期回來見到大家
[00:01:25.600 --> 00:01:28.600]  心裡都很開心很快樂
[00:01:28.600 --> 00:01:30.600]  講了第三堂
[00:01:30.600 --> 00:01:33.600]  昨晚的第三堂
[00:01:33.600 --> 00:01:36.600]  看見大家都是精神奕奕很開心
[00:01:36.600 --> 00:01:41.600]  這段經文我們一起去讀一讀
[00:01:41.600 --> 00:01:44.600]  我是和學本來的
[00:01:44.600 --> 00:01:46.600]  跟你的《手上聖經》有些不同
[00:01:46.600 --> 00:01:49.600]  所以我們就看著螢光幕來讀
[00:01:49.600 --> 00:01:51.600]  我們一起讀
[00:01:51.600 --> 00:01:53.600]  「次日清早他們起來
[00:01:53.600 --> 00:01:55.600]  在耶和華面前敬拜
[00:01:55.600 --> 00:01:58.600]  就為拉瑪 到了加里
[00:01:58.600 --> 00:02:02.600]  以利加拿和妻哈娜同房
