
[00:00:00.000 --> 00:00:04.000]  各位靈姐妹你好
[00:00:04.000 --> 00:00:09.000]  希望有機會可以面對面分享
[00:00:09.000 --> 00:00:14.000]  感謝主我們來到第四堂的時間
[00:00:14.000 --> 00:00:16.000]  我相信過去這幾天
[00:00:16.000 --> 00:00:18.000]  無論早堂晚堂
[00:00:18.000 --> 00:00:20.000]  上帝透過祂的話
[00:00:20.000 --> 00:00:22.000]  可能都跟大家說
[00:00:22.000 --> 00:00:24.000]  但我想最好
[00:00:24.000 --> 00:00:27.000]  大家不要將上帝給你的感動
[00:00:27.000 --> 00:00:30.000]  上帝給你很清楚的教導
[00:00:30.000 --> 00:00:32.000]  你很快就因為其他事
[00:00:32.000 --> 00:00:38.000]  很快就因為可能有其他日常要處理的事務
[00:00:38.000 --> 00:00:40.000]  慢慢忘記了 刁淡了
[00:00:40.000 --> 00:00:43.000]  我昨晚特別提到
[00:00:43.000 --> 00:00:45.000]  神在不同的時代裏
[00:00:45.000 --> 00:00:48.000]  為要講全祂的話
[00:00:48.000 --> 00:00:51.000]  所以不斷興起時代工人
[00:00:51.000 --> 00:00:53.000]  特別是教導上帝說話的人
[00:00:53.000 --> 00:00:57.000]  不知道我們當中有沒有人
[00:00:57.000 --> 00:00:59.000]  一直在學上帝的心意
[00:00:59.000 --> 00:01:01.000]  甚至知道上帝的心意
[00:01:01.000 --> 00:01:03.000]  我希望你不要停在這裏
[00:01:03.000 --> 00:01:07.000]  我再說請你和家人、目者分享
[00:01:07.000 --> 00:01:09.000]  上帝給你的感動
[00:01:09.000 --> 00:01:11.000]  如果你仍在探索當中
[00:01:11.000 --> 00:01:13.000]  我再次鼓勵你
[00:01:13.000 --> 00:01:15.000]  請你不要介意我再說
[00:01:15.000 --> 00:01:18.000]  報道神學院叫奉獻團契
[00:01:18.000 --> 00:01:21.000]  第一個給一些已經清楚
[00:01:21.000 --> 00:01:26.000]  在尋求上帝預備他做傳道人的團契
[00:01:26.000 --> 00:01:28.000]  這裏我不多說了
[00:01:28.000 --> 00:01:31.000]  請大家看我帶來的單張
[00:01:31.000 --> 00:01:33.000]  或者上我們的網頁
[00:01:33.000 --> 00:01:37.000]  另外 未來9月4日星期五晚
[00:01:37.000 --> 00:01:40.000]  我們有一個青年音樂培靈晚會
[00:01:40.000 --> 00:01:42.000]  其實現在都不知道能否舉行
[00:01:42.000 --> 00:01:45.000]  如果不是現場的音樂會
[00:01:45.000 --> 00:01:47.000]  我不知道如何舉行
[00:01:47.000 --> 00:01:53.000]  目的是行在地上的青年音樂培靈會
[00:01:53.000 --> 00:01:55.000]  我會說到
[00:01:55.000 --> 00:01:57.000]  還有一位嘉賓是劉進圖先生
[00:01:57.000 --> 00:01:59.000]  他會將他見證
[00:01:59.000 --> 00:02:01.000]  說他如何領受神的恩典
[00:02:01.000 --> 00:02:05.000]  在這個時代裏作出對上帝的回應
[00:02:05.000 --> 00:02:09.000]  我再說 如果上帝給你的感動
[00:02:09.000 --> 00:02:11.000]  請你不要將它放下
[00:02:11.000 --> 00:02:13.000]  繼續在上帝面前尋求
