
[00:00:00.000 --> 00:00:03.000]  當我在一間中學教書的時候
[00:00:03.000 --> 00:00:06.000]  我教了兩年
[00:00:06.000 --> 00:00:12.000]  就決定去讀神學
[00:00:12.000 --> 00:00:15.000]  全時間全心全意
[00:00:15.000 --> 00:00:19.000]  去服侍和照顧人的靈魂
[00:00:19.000 --> 00:00:21.000]  主要的原因在哪裡呢?
[00:00:21.000 --> 00:00:25.000]  就是因為當我教書教到第二年的時候
[00:00:25.000 --> 00:00:32.000]  有兩個中五四年裡的成績都非常好
[00:00:32.000 --> 00:00:36.000]  一直都考十年來的學生
[00:00:36.000 --> 00:00:39.000]  會考成績放榜之後
[00:00:39.000 --> 00:00:42.000]  一個就拿了九個D
[00:00:42.000 --> 00:00:46.000]  一個就拿了一個C,八個D
[00:00:46.000 --> 00:00:54.000]  但是兩個從放榜,就是回來拿成績表那一天開始
[00:00:54.000 --> 00:00:57.000]  就想自殺
[00:00:57.000 --> 00:01:01.000]  有些同學知道的時候就告訴我們
[00:01:01.000 --> 00:01:06.000]  我那天見了他們兩個
[00:01:06.000 --> 00:01:11.000]  見他們的時候他們是很不開心
[00:01:11.000 --> 00:01:13.000]  沒面見人
[00:01:13.000 --> 00:01:20.000]  你可能想像,九科合格的人沒面見人
[00:01:20.000 --> 00:01:21.000]  主要的原因在哪裡呢?
[00:01:21.000 --> 00:01:25.000]  因為當時父母有壓力,老師給他們有壓力
[00:01:25.000 --> 00:01:28.000]  因為那些老師個個都說
[00:01:28.000 --> 00:01:31.000]  科都不是A就B的
[00:01:31.000 --> 00:01:33.000]  就是很看好他們
[00:01:33.000 --> 00:01:35.000]  但是誰知道考完出來的成績
[00:01:35.000 --> 00:01:38.000]  令到他們大跌眼鏡
[00:01:38.000 --> 00:01:41.000]  所以見到他們的時候
[00:01:41.000 --> 00:01:45.000]  有時候言者無心
[00:01:45.000 --> 00:01:49.000]  但是聽者有耳
[00:01:49.000 --> 00:01:51.000]  有些老師就說
[00:01:51.000 --> 00:01:55.000]  你把我的眼鏡都掉了
[00:01:55.000 --> 00:01:58.000]  我以為你起碼是B的
[00:01:58.000 --> 00:02:02.000]  為什麼拿了個D出來
[00:02:02.000 --> 00:02:04.000]  另外一些
[00:02:04.000 --> 00:02:06.000]  在背後還說
[00:02:06.000 --> 00:02:09.000]  見到他要省到他立立零
[00:02:09.000 --> 00:02:12.000]  做什麼鬼
[00:02:12.000 --> 00:02:16.000]  本來他們自己本身都很不滿意自己的表現
[00:02:16.000 --> 00:02:20.000]  而環境令他們更加失落
[00:02:20.000 --> 00:02:22.000]  特別是當時來說
[00:02:22.000 --> 00:02:24.000]  他們自己都知道
[00:02:24.000 --> 00:02:27.000]  再翻自己的母校讀中六
[00:02:27.000 --> 00:02:31.000]  幾乎是不可能的事
[00:02:31.000 --> 00:02:33.000]  所以因為這樣
[00:02:33.000 --> 00:02:36.000]  他們直接想逃避
[00:02:36.000 --> 00:02:38.000]  想自殺
[00:02:38.000 --> 00:02:43.000]  因為這樣我有機會個別約他們來聊天
[00:02:43.000 --> 00:02:45.000]  我都讓大家知道
[00:02:45.000 --> 00:02:47.000]  我和他們聊天的時候
[00:02:47.000 --> 00:02:50.000]  我到現在仍然都記得
[00:02:50.000 --> 00:02:54.000]  我用的一些例子
[00:02:54.000 --> 00:02:56.000]  我個別和他們聊的時候
[00:02:56.000 --> 00:02:57.000]  我問他們
[00:02:57.000 --> 00:03:00.000]  如果石斑加價
[00:03:00.000 --> 00:03:04.000]  明天加到一千元一斤
[00:03:04.000 --> 00:03:05.000]  我讓大家知道
[00:03:05.000 --> 00:03:09.000]  當時我的薪水是二千四百元一個月
[00:03:09.000 --> 00:03:12.000]  如果石斑加價加到一千元一斤
[00:03:12.000 --> 00:03:17.000]  你會不會自殺
[00:03:17.000 --> 00:03:19.000]  他們本來有點嘔心
[00:03:19.000 --> 00:03:21.000]  有點憤怒
[00:03:21.000 --> 00:03:23.000]  突然間聽到我這句
[00:03:23.000 --> 00:03:24.000]  睜開眼
[00:03:24.000 --> 00:03:26.000]  阿sir 當然不會
[00:03:26.000 --> 00:03:27.000]  我說為什麼不會
[00:03:27.000 --> 00:03:29.000]  一千元
[00:03:29.000 --> 00:03:32.000]  我不一定要吃石斑
[00:03:32.000 --> 00:03:33.000]  是呀 多好
[00:03:33.000 --> 00:03:35.000]  還有呢
[00:03:35.000 --> 00:03:38.000]  明天加價不是經常都加價
[00:03:38.000 --> 00:03:41.000]  就等它便宜才吃
[00:03:41.000 --> 00:03:42.000]  還有呢
[00:03:42.000 --> 00:03:48.000]  其實我都沒有吃過石斑
[00:03:48.000 --> 00:03:50.000]  好感應
[00:03:50.000 --> 00:03:52.000]  還有呢
[00:03:52.000 --> 00:03:54.000]  很多人都沒有吃過石斑
[00:03:54.000 --> 00:03:57.000]  又不是這樣
[00:03:57.000 --> 00:04:01.000]  我覺得他們是相當合理
[00:04:01.000 --> 00:04:05.000]  我終於開始我的話題
[00:04:05.000 --> 00:04:08.000]  我問他
[00:04:08.000 --> 00:04:10.000]  你爸爸媽媽有沒有考過會考
[00:04:10.000 --> 00:04:12.000]  沒有
[00:04:12.000 --> 00:04:15.000]  他們中學都沒有讀過
[00:04:15.000 --> 00:04:17.000]  我接著問
[00:04:17.000 --> 00:04:20.000]  那你爸爸媽媽
[00:04:20.000 --> 00:04:23.000]  會不會因為這樣要自殺
[00:04:23.000 --> 00:04:25.000]  沒有
[00:04:25.000 --> 00:04:28.000]  為什麼沒有
[00:04:28.000 --> 00:04:31.000]  是沒有
[00:04:31.000 --> 00:04:33.000]  會考都沒有考過
[00:04:33.000 --> 00:04:35.000]  中學都沒有讀過
[00:04:35.000 --> 00:04:38.000]  為什麼不死掉
[00:04:38.000 --> 00:04:43.000]  他說不是每個人都讀過
