
[00:00:00.000 --> 00:00:13.000]  上一堂我們透過阿摩斯書第一章第一節介紹過這本書的一些重要背景
[00:00:13.000 --> 00:00:17.000]  我再讀一次第一章第一節
[00:00:17.000 --> 00:00:26.000]  我嘗試跟著原本希伯來文字句的次序來翻譯
[00:00:26.000 --> 00:00:30.000]  所以有時沒有和合本能翻譯得那麼文雅
[00:00:30.000 --> 00:00:36.000]  這一點是很難浸霧兩頭的
[00:00:36.000 --> 00:00:41.000]  阿摩斯的話這是傳卷書的標題
[00:00:41.000 --> 00:00:45.000]  他是從提哥雅來的木戶
[00:00:45.000 --> 00:00:49.000]  我們說過他不是一個普通的漢洋人
[00:00:49.000 --> 00:01:04.000]  摩押王也是和阿摩斯一樣擁有很多牛羊的富有生意人
[00:01:04.000 --> 00:01:09.000]  他得見異象針對以色列
[00:01:09.000 --> 00:01:17.000]  我們說過這個異象是阿摩斯書的焦點和高潮
[00:01:17.000 --> 00:01:22.000]  但很特別我們直到傳卷書的最後三分之一
[00:01:22.000 --> 00:01:26.000]  第七章到第九章才讀到異象是什麼
[00:01:26.000 --> 00:01:30.000]  和合本沒有翻譯異象和合本亦得默示
[00:01:30.000 --> 00:01:32.000]  希伯來文也沒有異象這個字
[00:01:32.000 --> 00:01:35.000]  希伯來文只是用一個動詞漢見
[00:01:35.000 --> 00:01:39.000]  我們說的先見先知
[00:01:39.000 --> 00:01:44.000]  以前有個古老的名字叫先見漢見
[00:01:44.000 --> 00:01:48.000]  這個字和普通希伯來文用漢
[00:01:48.000 --> 00:01:51.000]  或是看見一樣東西是不同的
[00:01:51.000 --> 00:01:58.000]  普通用肉眼看見和先知上帝讓他見到
[00:01:58.000 --> 00:02:02.000]  我們用英文說是insight
[00:02:02.000 --> 00:02:04.000]  你看到普通的東西
[00:02:04.000 --> 00:02:07.000]  看不看到它背後的意思
[00:02:07.000 --> 00:02:10.000]  這個字在這裏出現
[00:02:10.000 --> 00:02:17.000]  阿摩斯他見到一些很特別針對以色列的事情
[00:02:17.000 --> 00:02:24.000]  在猶大王烏西亞並以色列王約阿斯兒子耶羅安的日子
[00:02:24.000 --> 00:02:27.000]  那地震前兩年
[00:02:27.000 --> 00:02:29.000]  這個交代了他的背景
[00:02:29.000 --> 00:02:32.000]  在主前第八世紀
[00:02:32.000 --> 00:02:39.000]  有學者很大膽地指出地震可能是發生在公元前760年
[00:02:39.000 --> 00:02:46.000]  但這些日子通常加減幾十年都很少
[00:02:46.000 --> 00:02:51.000]  所以760可能是一個中間數
[00:02:51.000 --> 00:02:56.000]  如果地震前兩年應該是762年
[00:02:56.000 --> 00:03:00.000]  為何前兩年會加呢?
[00:03:00.000 --> 00:03:02.000]  因為是公元前計上去
[00:03:02.000 --> 00:03:06.000]  所以越早的數字越大
[00:03:06.000 --> 00:03:08.000]  第二節
[00:03:08.000 --> 00:03:18.000]  「他說:上主從錫安咆哮,從耶路撒冷發出他的聲音
[00:03:18.000 --> 00:03:27.000]  木人的草場要備案,家物的山嶺要枯稿」
[00:03:27.000 --> 00:03:35.000]  這兩行的說話有一個很突出的主題
[00:03:35.000 --> 00:03:42.000]  就是上帝好像一隻獅子哮叫
[00:03:42.000 --> 00:03:46.000]  這個主題不是亞摩斯自己作出來的
[00:03:46.000 --> 00:03:52.000]  如果我們參考前兩卷的小仙之書
[00:03:52.000 --> 00:03:59.000]  我們在亞摩斯書之前的荷西亞和約爾這兩卷書裏
[00:03:59.000 --> 00:04:03.000]  都會讀到同樣的說法
[00:04:03.000 --> 00:04:08.000]  荷西亞書第十一章第十節
[00:04:08.000 --> 00:04:15.000]  「耶和說:必如獅子哮叫,子民就跟隨他
[00:04:15.000 --> 00:04:22.000]  他一哮叫,他們就從西方急速而來」
[00:04:22.000 --> 00:04:25.000]  這裡說上帝好像獅子哮叫
[00:04:25.000 --> 00:04:29.000]  結果就是他的子民就會跟隨他
[00:04:29.000 --> 00:04:33.000]  他們就會從西方很快地來
[00:04:33.000 --> 00:04:35.000]  是甚麼意思呢?讀下去十一節
