
[00:00:00.000 --> 00:00:05.000]  (記者:鄭志銘你好)
[00:00:05.000 --> 00:00:11.000]  不知道有沒有感覺就好像我走又好像沒有走
[00:00:11.000 --> 00:00:16.000]  飯都吃完了 去完歡送會 禮物都收完了
[00:00:16.000 --> 00:00:19.000]  怎麼又回來的 真是不好意思
[00:00:19.000 --> 00:00:25.000]  在8月的時間 師傅思想著我很空閒
[00:00:25.000 --> 00:00:27.000]  所以就多偏袒我一點
[00:00:27.000 --> 00:00:31.000]  以後基本上一個月會回來大家當中一次
[00:00:31.000 --> 00:00:33.000]  珍惜這些機會
[00:00:33.000 --> 00:00:35.000]  上一次 即是兩個禮拜前
[00:00:35.000 --> 00:00:40.000]  我說離婚 叫做一個敏感的題目
[00:00:40.000 --> 00:00:44.000]  這次接著在《馬鋒音》第十章的《跟住來歷經文》
[00:00:44.000 --> 00:00:47.000]  就講到關於錢財的問題
[00:00:47.000 --> 00:00:50.000]  跟從神和錢的問題
[00:00:50.000 --> 00:00:52.000]  所以我就講一個題目叫做
[00:00:52.000 --> 00:00:56.000]  錢 一個傷感情的題目
[00:00:56.000 --> 00:01:01.000]  講錢 失感情
[00:01:01.000 --> 00:01:03.000]  在《驕逐圖》裏面也是的
[00:01:03.000 --> 00:01:04.000]  有時候也是的
[00:01:04.000 --> 00:01:05.000]  所以有些牧者就說
[00:01:05.000 --> 00:01:09.000]  他在教會裏面不會講關於十一奉獻的道理
[00:01:09.000 --> 00:01:11.000]  不會講這方面聖經教的說話
[00:01:11.000 --> 00:01:13.000]  因為講了大家太敏感了
[00:01:13.000 --> 00:01:14.000]  結果會怎樣呢
[00:01:14.000 --> 00:01:16.000]  他自己不講 請人回來講
[00:01:16.000 --> 00:01:19.000]  我去你教會講 你來我教會講
[00:01:19.000 --> 00:01:23.000]  交換了 有什麼不開心都是那個愛來說完的事
[00:01:23.000 --> 00:01:27.000]  我就不是這個看法 我覺得如果這個是聖經真理
[00:01:27.000 --> 00:01:30.000]  就算是弟兄姊妹或者會眾
[00:01:30.000 --> 00:01:33.000]  有覺得好像不太自在的都會講
[00:01:33.000 --> 00:01:36.000]  可能更加要講 講到他自在為止
[00:01:36.000 --> 00:01:38.000]  因為這個是聖經教導我們的
