
[00:00:00.000 --> 00:00:07.900]  在這裡很高興能夠和大家一起學習神的道理
[00:00:07.900 --> 00:00:10.300]  今天我們一起會去看的經文是
[00:00:10.300 --> 00:00:12.700]  馬太福音的第二章
[00:00:12.700 --> 00:00:15.580]  從第十三節至第二十三節
[00:00:15.580 --> 00:00:18.780]  今天所講的題目是不一樣的王
[00:00:18.780 --> 00:00:22.340]  好 讓我們首先去打開這段聖經
[00:00:22.340 --> 00:00:24.580]  我們先讀一次這段經文
[00:00:24.580 --> 00:00:28.100]  好想我們明白一下這段經文當中的教訓
[00:00:28.100 --> 00:00:30.980]  或者當中所記載的事情是些什麼
[00:00:30.980 --> 00:00:34.260]  然後我們從當中再去看看有什麼學習
[00:00:34.260 --> 00:00:35.660]  好 讓我們一起打開
[00:00:35.660 --> 00:00:40.020]  馬太福音第二章十三節至第二十三節
[00:00:40.020 --> 00:00:44.900]  他們去後有主的使者向若瑟夢中顯現說
[00:00:44.900 --> 00:00:49.300]  起來帶著小孩子和他母親逃往埃及
[00:00:49.300 --> 00:00:50.980]  住在那裡
[00:00:50.980 --> 00:00:55.900]  讓我吩咐你 因為希律必尋找小孩子
[00:00:55.900 --> 00:00:57.660]  要除滅他
[00:00:57.660 --> 00:00:59.100]  若瑟就起來
[00:00:59.100 --> 00:01:04.180]  夜間帶著小孩子和他母親往埃及去
[00:01:04.180 --> 00:01:05.740]  住在那裡
[00:01:05.740 --> 00:01:07.740]  直到希律死了
[00:01:07.740 --> 00:01:11.140]  這要應驗主席先知所說的話說
[00:01:11.140 --> 00:01:14.260]  我從埃及召出我的兒子來
[00:01:14.260 --> 00:01:17.340]  希律見自己被博士愚弄
[00:01:17.340 --> 00:01:19.460]  就大大發怒
[00:01:19.460 --> 00:01:23.940]  警察將伯利恆成女並四警所有的男孩
[00:01:23.940 --> 00:01:27.300]  拘虐他向博士仔細查問的時候
[00:01:27.300 --> 00:01:31.060]  凡兩歲以女的都殺盡了
[00:01:31.060 --> 00:01:35.220]  這就應了先知耶利米的話說
[00:01:35.220 --> 00:01:40.900]  在拉瑪聽見號嘯大哭的聲音
[00:01:40.900 --> 00:01:43.460]  自拉傑哭他兒女
[00:01:43.460 --> 00:01:45.140]  不肯受安慰
[00:01:45.140 --> 00:01:47.620]  因為他們都不在了
[00:01:47.620 --> 00:01:49.180]  希律死了以後
[00:01:49.180 --> 00:01:52.980]  有主的使者在埃及向若瑟夢中顯現
[00:01:52.980 --> 00:01:57.860]  說起來帶著小孩子和他母親往以色列地去
[00:01:57.860 --> 00:01:59.900]  因為要殺害小孩子
[00:01:59.900 --> 00:02:01.900]  性命的人已經死了
[00:02:01.900 --> 00:02:07.140]  若瑟就起來把小孩子和他母親帶到以色列地去
[00:02:07.140 --> 00:02:11.700]  因只因聽見阿基努接著他父親希律
[00:02:11.700 --> 00:02:13.700]  作了猶太王
[00:02:13.700 --> 00:02:16.700]  就怕往那裡去
[00:02:16.700 --> 00:02:22.580]  猶在夢中被主指示要往加利利境內去了
