
[00:00:00.000 --> 00:00:09.040]  今天和大家一起分享的經文是出自《若爾書》第三章
[00:00:09.040 --> 00:00:13.040]  從第九節至第十一節
[00:00:13.040 --> 00:00:18.680]  在我自己的興趣裡
[00:00:18.680 --> 00:00:21.200]  其中我很喜歡養動物
[00:00:21.200 --> 00:00:25.200]  其實我對動物也有一份很難說的感覺
[00:00:25.200 --> 00:00:26.480]  很奇妙
[00:00:26.480 --> 00:00:30.000]  特別是我喜歡狗這種動物
[00:00:30.000 --> 00:00:33.960]  如果是養過狗的弟兄姊妹
[00:00:33.960 --> 00:00:37.280]  或者對狗有認識的朋友
[00:00:37.280 --> 00:00:39.760]  我相信你們一定會留意到
[00:00:39.760 --> 00:00:42.480]  狗隻有一個很大的特色
[00:00:42.480 --> 00:00:47.560]  就是如果狗的體型越大的話
[00:00:47.560 --> 00:00:53.560]  通常這些狗往往是比較溫馴和安靜的
[00:00:53.560 --> 00:00:58.280]  至於那些狗體型比較小的話
[00:00:58.280 --> 00:01:04.960]  這些狗通常都比較吵鬧和容易興奮
[00:01:04.960 --> 00:01:08.400]  這種狗不是我太喜歡
[00:01:08.400 --> 00:01:11.120]  我比較喜歡一些大的狗隻
[00:01:11.120 --> 00:01:15.920]  其實如果大家留意到這個情況的時候
[00:01:15.920 --> 00:01:22.800]  這種表現很多時候都反映在很多不同的動物身上
[00:01:22.800 --> 00:01:26.800]  譬如在我家後院有些小鳥
[00:01:26.800 --> 00:01:29.400]  叫做羅賓鳥
[00:01:29.400 --> 00:01:35.360]  你看牠的胸口有些黃黃的
[00:01:35.360 --> 00:01:37.720]  有時紅紅的胸口有一些毛
[00:01:37.720 --> 00:01:40.000]  在牠裡面飛起來也很漂亮
[00:01:40.000 --> 00:01:42.000]  眼睛好像畫了眼眉
[00:01:42.000 --> 00:01:45.360]  畫了一個圈圈的
[00:01:45.360 --> 00:01:49.880]  但是如果你看到牠這麼小以為牠是善女
[00:01:49.880 --> 00:01:51.000]  絕對不是
[00:01:51.000 --> 00:01:53.720]  我曾經在後院也不知道發生什麼事
[00:01:53.720 --> 00:01:57.560]  原來在我後院的地下有一棵植物
[00:01:57.560 --> 00:01:59.240]  在那裡建築了一個巢
[00:01:59.240 --> 00:02:01.000]  我又不知道走過
[00:02:01.000 --> 00:02:04.000]  牠就不斷在我後院不斷叫
[00:02:04.000 --> 00:02:06.600]  並且不斷橫向飛向我的頭
[00:02:06.600 --> 00:02:09.600]  我立刻失望還說我不敢出去
[00:02:09.600 --> 00:02:12.240]  因為那些鳥會攻擊人
[00:02:12.240 --> 00:02:13.720]  你不要看牠這麼小
[00:02:13.720 --> 00:02:15.920]  原來牠的攻擊能力也挺高
[00:02:15.920 --> 00:02:18.400]  而且飛得非常快
[00:02:18.400 --> 00:02:22.920]  所以從這個觀察裡面
[00:02:22.920 --> 00:02:24.800]  我就開始留意到
[00:02:24.800 --> 00:02:30.760]  為什麼比較大的動物比較溫馴或者比較安靜
[00:02:30.760 --> 00:02:33.520]  我相信其中一樣最主要原因就是
[00:02:33.520 --> 00:02:36.040]  因為牠們知道自己都很大隻
[00:02:36.040 --> 00:02:41.080]  所以牠就不怕其他人或者動物來攻擊牠
[00:02:41.080 --> 00:02:43.960]  往往這些比較大型的動物
[00:02:43.960 --> 00:02:46.480]  比如狗我最熟悉的
[00:02:46.480 --> 00:02:50.440]  牠通常大隻的很多時候都在睡覺
[00:02:50.440 --> 00:02:52.480]  如果有個人走過
[00:02:52.480 --> 00:02:55.360]  牠頂多就伏在地上的時候
[00:02:55.360 --> 00:02:57.160]  用眼睛瞪一瞪
[00:02:57.160 --> 00:02:59.000]  看看什麼事
[00:02:59.000 --> 00:03:01.120]  沒什麼事牠就繼續睡覺
[00:03:01.120 --> 00:03:02.720]  但是如果小狗就不同
[00:03:02.720 --> 00:03:04.840]  小狗如果你還沒走到的時候
[00:03:04.840 --> 00:03:07.280]  牠就已經叫到發瘋了
[00:03:07.280 --> 00:03:09.560]  甚至有些時候不停吠
[00:03:09.560 --> 00:03:11.720]  我其實和狗都有一種情誼
[00:03:11.720 --> 00:03:14.440]  不過有時候看到一些小狗
[00:03:14.440 --> 00:03:15.600]  真的失控了
[00:03:15.600 --> 00:03:17.400]  不理會
[00:03:17.400 --> 00:03:20.840]  因為牠們知道自己小隻
[00:03:20.840 --> 00:03:23.520]  既然小隻如果要打架的時候
[00:03:23.520 --> 00:03:24.560]  真的不夠人打
[00:03:24.560 --> 00:03:26.880]  於是牠就使出絕招
[00:03:26.880 --> 00:03:30.560]  就是先下手為強
[00:03:30.560 --> 00:03:34.000]  不能打也好
