
[00:00:00.000 --> 00:00:04.480]  早上各位大兄姊妹
[00:00:04.480 --> 00:00:07.680]  這個題目其實是一半來的
[00:00:07.680 --> 00:00:10.160]  悲喜交集的聚會
[00:00:10.160 --> 00:00:13.840]  是歡欣敬拜才是美
[00:00:13.840 --> 00:00:17.040]  我們講我們在敬拜方面
[00:00:17.040 --> 00:00:19.280]  怎樣是一齊同心
[00:00:19.280 --> 00:00:21.280]  和怎樣土主喜悅
[00:00:21.280 --> 00:00:24.400]  我選了兩段經文的基本上
[00:00:24.400 --> 00:00:27.520]  都是以斯拉尼希米
[00:00:27.520 --> 00:00:30.880]  就是他們曾經被擄巴比倫
[00:00:30.880 --> 00:00:35.520]  然後開始分開兩批人回到耶路撒冷
[00:00:35.520 --> 00:00:38.000]  以斯拉就是幫助他們
[00:00:38.000 --> 00:00:42.400]  去到將那個聖殿的根基立好了
[00:00:42.400 --> 00:00:44.800]  立好這個根基的時候
[00:00:44.800 --> 00:00:48.880]  就是邀請了一大班的人
[00:00:48.880 --> 00:00:51.840]  包括祭司、利尾人
[00:00:51.840 --> 00:00:55.840]  他們在那裡監督工作
[00:00:55.840 --> 00:01:02.240]  做好的時候他們有一個歡欣敬拜讚美的時候
[00:01:02.240 --> 00:01:04.240]  那裡說
[00:01:04.240 --> 00:01:09.040]  像人立耶和華殿根基的時候
[00:01:09.040 --> 00:01:15.040]  祭司街村禮服吹號
[00:01:15.040 --> 00:01:19.840]  阿薩的子孫利尾人敲拔
[00:01:19.840 --> 00:01:23.680]  照以色列王大位所定的例
[00:01:23.680 --> 00:01:27.520]  都站著讚美耶和華
[00:01:27.520 --> 00:01:31.360]  一個非常之震撼的場面
[00:01:31.360 --> 00:01:36.240]  在那裡站立讚美耶和華
[00:01:36.240 --> 00:01:38.720]  他們彼此唱和
[00:01:38.720 --> 00:01:41.600]  不只是帶領的人大
[00:01:41.600 --> 00:01:44.400]  而是會中都有和應
[00:01:44.400 --> 00:01:53.120]  一起高聲同心讚美稱謝耶和華
[00:01:53.120 --> 00:01:54.160]  說什麼呢
[00:01:54.160 --> 00:01:55.920]  拍本為善
[00:01:55.920 --> 00:01:59.520]  他向以色列人所顯的
[00:01:59.520 --> 00:02:05.680]  都是他的憐憫和他的慈愛
[00:02:05.680 --> 00:02:07.680]  他們讚美的時候
[00:02:07.680 --> 00:02:10.480]  眾民大聲呼喊
[00:02:10.480 --> 00:02:15.280]  因為殿的根基已經立定
[00:02:15.280 --> 00:02:19.680]  這個場面真是太感人了
[00:02:19.680 --> 00:02:22.400]  但不只是這樣
[00:02:22.400 --> 00:02:25.040]  接著說有許多祭司
[00:02:25.040 --> 00:02:26.640]  利尾人
[00:02:26.640 --> 00:02:28.000]  族長
[00:02:28.000 --> 00:02:32.560]  就是見過舊殿的老年人
[00:02:32.560 --> 00:02:35.760]  現在親眼看見
[00:02:35.760 --> 00:02:38.400]  立了這個殿的根基
[00:02:38.400 --> 00:02:41.600]  你知不知道他們的反應是怎樣
[00:02:41.600 --> 00:02:44.480]  大聲哭號
[00:02:44.480 --> 00:02:47.040]  哭到哭啞聲
[00:02:47.040 --> 00:02:50.720]  亦有許多人大聲歡呼
[00:02:50.720 --> 00:02:54.160]  那個聚會是否相當之混亂
[00:02:54.160 --> 00:02:56.560]  真是悲喜交集
[00:02:56.560 --> 00:02:58.160]  為什麼會這樣呢
[00:02:58.160 --> 00:03:00.080]  你知不知道
[00:03:00.080 --> 00:03:03.920]  歡呼高聲讚頌的
[00:03:03.920 --> 00:03:06.800]  可能是比較年輕的
[00:03:06.800 --> 00:03:11.920]  他們早段的日子在巴比倫生活
[00:03:11.920 --> 00:03:14.000]  你記得有篇詩篇
[00:03:14.000 --> 00:03:17.440]  他們叫我們唱一首錫安的歌
[00:03:17.440 --> 00:03:20.400]  我們拜The River of Babylon
[00:03:20.400 --> 00:03:22.880]  在巴比倫河邊
[00:03:22.880 --> 00:03:24.880]  我們唱不出
[00:03:24.880 --> 00:03:30.000]  年輕的在外邦過了一些抑壓的生活
[00:03:30.000 --> 00:03:32.000]  現在能夠回到自己的家鄉
[00:03:32.000 --> 00:03:35.200]  還有耶和華殿的根基立定
[00:03:35.200 --> 00:03:38.560]  開始可以很自由快樂的來敬拜主
[00:03:38.560 --> 00:03:40.560]  所以他們Hallelujah 歡喜到不得了
[00:03:40.560 --> 00:03:42.560]  但是那些長輩
[00:03:42.560 --> 00:03:45.280]  看見耶路撒冷的情況
[00:03:45.280 --> 00:03:47.280]  看見殿還沒建
[00:03:47.280 --> 00:03:52.080]  回想以前所羅門殿的威榮
[00:03:52.080 --> 00:03:54.080]  他們當然哭了
[00:03:54.080 --> 00:03:56.320]  所以在這個聚會裏面
