
[00:00:00.000 --> 00:00:04.800]  此錄音或錄影的版權是屬基督教宣導會不確同所有
[00:00:04.800 --> 00:00:08.160]  我們的屬靈傳統之一是以真理教導為本
[00:00:08.160 --> 00:00:11.520]  歡迎你將此錄音或錄影的連結傳給親友
[00:00:11.520 --> 00:00:17.120]  懇請注意未經授權請勿轉錄或輾測本錄音或錄影
[00:00:17.120 --> 00:00:19.600]  各位電視節目朋友 早晨
[00:00:19.600 --> 00:00:24.480]  今早很感恩 特別能夠在大風大雨
[00:00:24.480 --> 00:00:26.400]  行雷閃電的情況下
[00:00:26.400 --> 00:00:29.680]  我們仍然可以平安地回到教會一起敬拜
[00:00:29.680 --> 00:00:33.200]  在門口見到很多弟兄姊妹很久沒見了
[00:00:33.200 --> 00:00:37.600]  亦有機會今天聽到這班很美好的獻唱
[00:00:37.600 --> 00:00:38.960]  我們很感恩
[00:00:38.960 --> 00:00:41.760]  好嗎 在今天聽到之前
[00:00:41.760 --> 00:00:45.680]  你都和你旁邊的弟兄姊妹點個頭打個招呼
[00:00:45.680 --> 00:00:47.600]  好弟兄好姊妹一起崇拜
[00:00:47.600 --> 00:00:48.400]  (笑)
[00:00:48.400 --> 00:00:50.720]  這次真的不讓我們一起崇拜
[00:00:50.720 --> 00:00:52.160]  我們大家一起祈禱
[00:00:52.160 --> 00:00:55.520]  我們仰望著我們天上的父親
[00:00:55.520 --> 00:00:57.120]  我們深深感恩
[00:00:57.120 --> 00:01:00.320]  能夠被稱為神的兒女
[00:01:00.320 --> 00:01:02.320]  有兒女的身份
[00:01:02.320 --> 00:01:04.320]  是何等的榮耀
[00:01:04.320 --> 00:01:08.080]  主啊 祢賜給我們弟兄姊妹
[00:01:08.080 --> 00:01:10.720]  可以一起在祢的家當中
[00:01:10.720 --> 00:01:14.400]  彼此建立一同成長
[00:01:14.400 --> 00:01:19.120]  主我們感謝祢今天在現今這個日子
[00:01:19.120 --> 00:01:21.680]  我們仍然可以聚集在一起
[00:01:21.680 --> 00:01:23.680]  同心地敬拜祢
[00:01:23.680 --> 00:01:25.360]  是祢的恩惠
[00:01:25.360 --> 00:01:27.600]  因此我們天上的主
[00:01:27.600 --> 00:01:31.120]  我們再次向祢獻上我們心中的感恩
[00:01:31.120 --> 00:01:34.960]  祢都知道祢是樂意施恩的上帝
[00:01:34.960 --> 00:01:37.680]  我們就放膽向祢求恩
[00:01:37.680 --> 00:01:40.080]  這個時刻求祢自己
[00:01:40.080 --> 00:01:42.320]  賜下祢自己聖經的恩義
[00:01:42.320 --> 00:01:45.200]  讓我們生命當中領受
[00:01:45.200 --> 00:01:47.760]  祢都知道靠著祢的恩典
[00:01:47.760 --> 00:01:49.520]  剛強前行
[00:01:49.520 --> 00:01:52.000]  無論在什麼狀況之下
[00:01:52.000 --> 00:01:54.000]  主啊 靠著祢的恩
[00:01:54.000 --> 00:01:56.400]  我們堅定忍耐
[00:01:56.400 --> 00:01:58.800]  走完主給我們的路
[00:01:58.800 --> 00:02:00.640]  我們仰望祈禱
[00:02:00.640 --> 00:02:02.720]  奉主耶穌 性命求
[00:02:02.720 --> 00:02:03.920]  阿們
[00:02:03.920 --> 00:02:05.200]  各位聽眾
[00:02:05.200 --> 00:02:08.400]  我們今天繼續思想聖經六教福音的經文
[00:02:08.400 --> 00:02:12.160]  特別思想到當末世的日子
[00:02:12.160 --> 00:02:14.480]  教徒如何去面對
[00:02:14.480 --> 00:02:19.200]  我自己在自年輕的時候
[00:02:19.200 --> 00:02:21.200]  已經很歡喜看傳記
[00:02:21.200 --> 00:02:25.680]  特別是宗教史和熟悉的偉人傳記
[00:02:25.680 --> 00:02:29.520]  其中一本叫做《十價與冠冕》
[00:02:29.520 --> 00:02:31.520]  放在我桌上
[00:02:31.520 --> 00:02:34.240]  這本書是劉福群牧師
[00:02:34.240 --> 00:02:35.440]  很多人可能聽過
[00:02:35.440 --> 00:02:39.840]  劉福群牧師講述他自己在中國內地和香港
[00:02:39.840 --> 00:02:44.880]  他個人和建道神學院所經歷的很多艱難
[00:02:44.880 --> 00:02:47.360]  很多的患難
[00:02:47.360 --> 00:02:48.880]  很多的逼迫
[00:02:48.880 --> 00:02:54.000]  但是他如何靠著神來堅持面對
[00:02:54.000 --> 00:02:57.600]  保持他內心那種信靠神的心
[00:02:57.600 --> 00:02:59.600]  一路走他的路
[00:02:59.600 --> 00:03:01.600]  一路看的時候
[00:03:01.600 --> 00:03:04.240]  心裡面有一種信念
[00:03:04.240 --> 00:03:06.240]  這位神的僕人
[00:03:06.240 --> 00:03:09.360]  他已經領受神的冠冕
[00:03:09.360 --> 00:03:12.320]  我心裡面明白
[00:03:12.320 --> 00:03:14.720]  十價與冠冕
[00:03:14.720 --> 00:03:17.360]  二者有一個必然的關係
[00:03:17.360 --> 00:03:21.200]  人要領受神給我們的冠冕
[00:03:21.200 --> 00:03:23.200]  必經一條路
[00:03:23.200 --> 00:03:25.200]  就是十字架的路
[00:03:25.200 --> 00:03:28.000]  有些人的十字架大一點
[00:03:28.000 --> 00:03:30.480]  有些人的十字架可能小一點
