
[00:00:00.000 --> 00:00:05.000]  那麼前書我和大家看的方法是怎樣呢?
[00:00:05.000 --> 00:00:09.200]  通常人們想想 高林多前書好
[00:00:09.200 --> 00:00:11.200]  因為很實用 很實際
[00:00:11.200 --> 00:00:13.200]  有問題 有什麼問題呢?
[00:00:13.200 --> 00:00:15.200]  當然會有姦淫啦
[00:00:15.200 --> 00:00:19.200]  當然會有結黨紛爭啦 是不是?
[00:00:19.200 --> 00:00:26.200]  好像當它是一個電腦的travel shooting
[00:00:26.200 --> 00:00:30.200]  就是後面有 如果你的機器不開啟
[00:00:30.200 --> 00:00:34.200]  你就按Ctrl+Alt+Del
[00:00:34.200 --> 00:00:41.200]  但我覺得不是 這樣是看不到神的華語的那種活
[00:00:41.200 --> 00:00:46.200]  因為聖經說 我們的神是一個永活的神
[00:00:46.200 --> 00:00:50.200]  所以祂的道是活潑 其實不是活潑 是活
[00:00:50.200 --> 00:00:52.200]  是Living Word 為什麼是Living Word?
[00:00:52.200 --> 00:00:54.200]  因為祂是Living God
[00:00:54.200 --> 00:00:58.200]  祂隨時說話 所以今天聽這件事
[00:00:58.200 --> 00:01:00.200]  就不可以硬著心 就是這個意思
[00:01:00.200 --> 00:01:02.200]  所以如果你說只是找時間
[00:01:02.200 --> 00:01:06.200]  那麼你去十一章 你有沒有蒙頭呢?
[00:01:06.200 --> 00:01:09.200]  男人沒有蒙頭 女人也沒有蒙頭 是不是?
[00:01:09.200 --> 00:01:12.200]  你有多可去祭偶像 吃祭偶像之物呢?
[00:01:12.200 --> 00:01:15.200]  現在在基督徒都不會的 是不是?
[00:01:15.200 --> 00:01:19.200]  那麼那些聖經沒有用的 多幾章 是不是?
[00:01:19.200 --> 00:01:22.200]  有誰修繼母呢?沒有的 是不是?
[00:01:22.200 --> 00:01:25.200]  我們如果找不到相對應用的時候
[00:01:25.200 --> 00:01:29.200]  好像將哥倫多前書裡面說的話急凍了
[00:01:29.200 --> 00:01:33.200]  如果我們只是用解決問題的方法
[00:01:33.200 --> 00:01:37.200]  但是相對來說 如果我們看保羅
[00:01:37.200 --> 00:01:40.200]  在解決一個問題的時候
[00:01:40.200 --> 00:01:44.200]  他接著解釋 或者他背後說
[00:01:44.200 --> 00:01:47.200]  為什麼我叫你這樣做 這樣就不同了
[00:01:47.200 --> 00:01:50.200]  那你明白了為什麼
[00:01:50.200 --> 00:01:56.200]  那就開始 咦 原來聖經透過保羅和哥倫多人說
[00:01:56.200 --> 00:02:01.200]  他對教會或者對基督徒有這樣的期望
[00:02:01.200 --> 00:02:07.200]  這樣才是教會 這樣才是基督徒
[00:02:07.200 --> 00:02:11.200]  這樣才叫有影響力 可以改變世界
[00:02:11.200 --> 00:02:15.200]  改變觀塘的教會 這樣就不同了
[00:02:15.200 --> 00:02:19.200]  你覺得自己在神的面前
[00:02:19.200 --> 00:02:23.200]  原來神對我們有這樣的期望 有這樣的看法
[00:02:23.200 --> 00:02:26.200]  對我們教會的生活有這樣的要求的時候
[00:02:26.200 --> 00:02:29.200]  那麼你容易在任何情況下
[00:02:29.200 --> 00:02:32.200]  你都可以抓住這個原則來應付得到
[00:02:32.200 --> 00:02:35.200]  我就希望嘗試這樣和大家看
[00:02:35.200 --> 00:02:39.200]  首先第一步就想和大家講一些很基本的
[00:02:39.200 --> 00:02:43.200]  你可以揭開你的那個刑罕 很抱歉
[00:02:43.200 --> 00:02:46.200]  要你們浪費了這麼多紙張
[00:02:46.200 --> 00:02:48.200]  但是我打算弄出來了
[00:02:48.200 --> 00:02:52.200]  不給你們又好像對不起你們那樣
[00:02:52.200 --> 00:02:55.200]  所以給你們 你喜歡回去怎麼畫也好
[00:02:55.200 --> 00:02:57.200]  將來你再查的時候看也好
[00:02:57.200 --> 00:03:00.200]  你當初有些人是上過精毒團契的
[00:03:00.200 --> 00:03:03.200]  正在上的 所以他這次沒有來
[00:03:03.200 --> 00:03:08.200]  他們的講義可能是更仔細一點
[00:03:08.200 --> 00:03:14.200]  我這次其實笨了一點 我應該給你們一些問題去做
[00:03:14.200 --> 00:03:20.200]  我應該抽一些問題給你們一兩個月之前已經做好
[00:03:20.200 --> 00:03:22.200]  那你們進來可能會好一點
[00:03:22.200 --> 00:03:25.200]  但是下次再有機會的時候
[00:03:25.200 --> 00:03:28.200]  我就不喜歡講哥林多教會的背景這些東西
[00:03:28.200 --> 00:03:30.200]  不過有些事情是必要知道的
[00:03:30.200 --> 00:03:36.200]  它這個城市是在一個很接近的地方
[00:03:36.200 --> 00:03:38.200]  有兩個天然的海港
[00:03:38.200 --> 00:03:41.200]  雖然另外一個海港比較遠一點
[00:03:41.200 --> 00:03:44.200]  但是都算是有兩個海港的
[00:03:44.200 --> 00:03:48.200]  所以你要明白凡是有海港的城市
[00:03:48.200 --> 00:03:50.200]  好像我們香港這樣
[00:03:50.200 --> 00:03:54.200]  如果你去香港灣仔 有美軍艦來的時候
[00:03:54.200 --> 00:03:56.200]  你就會知道有什麼事情發生了 是不是
[00:03:56.200 --> 00:04:01.200]  就像蜘蛛絲網 有很多你去旅行的時候
[00:04:01.200 --> 00:04:05.200]  或者去到馬來西亞沒有人認得我了 是不是
[00:04:05.200 --> 00:04:08.200]  那就沒有人知道我是牧師 是不是
[00:04:08.200 --> 00:04:10.200]  做什麼都可以了 這樣
[00:04:10.200 --> 00:04:12.200]  就是你去到外地的時候
[00:04:12.200 --> 00:04:17.200]  你的道德觀念、你的價值觀念都會放假的
[00:04:17.200 --> 00:04:20.200]  很容易的 所以有海港的時候
[00:04:20.200 --> 00:04:22.200]  就會有這樣的情況
[00:04:22.200 --> 00:04:26.200]  所以變成了它是一個很多錢和多新思想
[00:04:26.200 --> 00:04:28.200]  經常有新人來的
[00:04:28.200 --> 00:04:32.200]  以前有機場的城市
[00:04:32.200 --> 00:04:35.200]  人們容易賺錢
[00:04:35.200 --> 00:04:42.200]  還有經濟上和價值觀念、道德觀念是一般般的
[00:04:42.200 --> 00:04:46.200]  還有它是一個很特別的城市
[00:04:46.200 --> 00:04:48.200]  它到處都是神像的
[00:04:48.200 --> 00:04:50.200]  所以你發覺哥林多
[00:04:50.200 --> 00:04:53.200]  保羅就說你們是神的殿
[00:04:53.200 --> 00:04:55.200]  說了兩次的
[00:04:55.200 --> 00:04:59.200]  它是怎樣的神像呢
[00:04:59.200 --> 00:05:03.200]  有些人 有個歷史學家說他旅遊的時候
[00:05:03.200 --> 00:05:06.200]  他說轉個彎就看到有個噴水池
[00:05:06.200 --> 00:05:07.200]  又有個神像
[00:05:07.200 --> 00:05:10.200]  然後走到另一個街 看到街角有個洞
[00:05:10.200 --> 00:05:13.200]  又屈到一個洞裡面又有個神像
[00:05:13.200 --> 00:05:15.200]  遠望山上那個廟上面
[00:05:15.200 --> 00:05:19.200]  又是有個神的休憩的地方的大殿
[00:05:19.200 --> 00:05:23.200]  通街都是神像的
[00:05:23.200 --> 00:05:29.200]  說聖靈的東西對他們來說是沒有問題的
[00:05:29.200 --> 00:05:33.200]  大約知道這樣的背景就OK了
[00:05:33.200 --> 00:05:36.200]  還有一樣東西和第一至第四章有關係的
[00:05:36.200 --> 00:05:40.200]  和智慧有關係的
[00:05:40.200 --> 00:05:42.200]  智慧這個字英文叫Sophia
[00:05:42.200 --> 00:05:45.200]  所以當中有姐妹可能叫Sophia
[00:05:45.200 --> 00:05:51.200]  當時原來有一批人叫做Sophist
[00:05:51.200 --> 00:05:55.200]  是Sophia的兄弟姐妹的字翻譯出來的
[00:05:55.200 --> 00:05:57.200]  要知道這個背景
[00:05:57.200 --> 00:06:00.200]  你就明白哥林多前書第一至第四章
[00:06:00.200 --> 00:06:02.200]  為什麼說這麼多智慧的字
[00:06:02.200 --> 00:06:05.200]  很多時候我很怕我們基督徒
[00:06:05.200 --> 00:06:09.200]  就說我們有聖靈 有屬靈
[00:06:09.200 --> 00:06:11.200]  我們就不說智慧 不說知識
[00:06:11.200 --> 00:06:14.200]  哥林多前書保羅都說是智慧不好的
[00:06:14.200 --> 00:06:16.200]  你不要誤會保羅這樣說
[00:06:16.200 --> 00:06:20.200]  保羅是說那批智慧人
[00:06:20.200 --> 00:06:23.200]  希臘的時候有批人叫智慧人Sophist
[00:06:23.200 --> 00:06:26.200]  他們說的是一種特別的智慧
[00:06:26.200 --> 00:06:28.200]  希臘人的智慧
[00:06:28.200 --> 00:06:31.200]  我不會逐點逐點說
[00:06:31.200 --> 00:06:34.200]  你會發覺保羅用智慧
[00:06:34.200 --> 00:06:38.200]  在哥林多前書頭幾章是用得很多的
[00:06:38.200 --> 00:06:40.200]  所以如果你說哥林多前書頭幾章
[00:06:40.200 --> 00:06:43.200]  你不討論智慧這件事
[00:06:43.200 --> 00:06:48.200]  等於不看哥林多前書頭那幾章
[00:06:48.200 --> 00:06:52.200]  他就說原來智慧人是怎麼樣呢
[00:06:52.200 --> 00:06:56.200]  有些像我們現在的律師
[00:06:56.200 --> 00:06:59.200]  其實他是律師的老祖
[00:06:59.200 --> 00:07:01.200]  那些智慧人是怎麼樣呢
[00:07:01.200 --> 00:07:04.200]  我舉個例子
[00:07:04.200 --> 00:07:10.200]  他就是帥哥 樣子好
[00:07:10.200 --> 00:07:13.200]  所以你去哥林多後書的時候
[00:07:13.200 --> 00:07:15.200]  你會發覺保羅有人批評他
[00:07:15.200 --> 00:07:18.200]  你寫東西的言語就很重
[00:07:18.200 --> 00:07:21.200]  但是見面的時候就其貌不揚
[00:07:21.200 --> 00:07:24.200]  言語操作 沒料到的
[00:07:24.200 --> 00:07:28.200]  因為他那些智慧人是演講家
[00:07:28.200 --> 00:07:31.200]  他要有一個差不多的身形
[00:07:31.200 --> 00:07:33.200]  有一個差不多的聲線
[00:07:33.200 --> 00:07:35.200]  聲線就算不是生出來的
[00:07:35.200 --> 00:07:37.200]  他都可以操Fit到的
[00:07:37.200 --> 00:07:39.200]  你知道唱歌是要學的
[00:07:39.200 --> 00:07:43.200]  而且他們穿衣服漂亮
[00:07:43.200 --> 00:07:46.200]  很多人都挺好出身的
[00:07:46.200 --> 00:07:48.200]  挺好出身是怎麼樣呢
[00:07:48.200 --> 00:07:51.200]  就是在黃隱 Mary Knog
[00:07:51.200 --> 00:07:53.200]  畢業那些
[00:07:53.200 --> 00:07:56.200]  然後就去Hong Kong U
[00:07:56.200 --> 00:07:59.200]  去完Hong Kong U就去牛津
[00:07:59.200 --> 00:08:02.200]  他們是這一類出身的
[00:08:02.200 --> 00:08:04.200]  壓得住陣腳
[00:08:04.200 --> 00:08:06.200]  這個人一走上台
[00:08:06.200 --> 00:08:08.200]  他還沒說
[00:08:08.200 --> 00:08:13.200]  他的資歷和他的樣子
[00:08:13.200 --> 00:08:17.200]  他的台風已經是贏了
[00:08:17.200 --> 00:08:20.200]  然後這個人來到的時候
[00:08:20.200 --> 00:08:22.200]  城市就要和他這樣說
[00:08:22.200 --> 00:08:26.200]  他就說 比如這個姓馬的
[00:08:26.200 --> 00:08:29.200]  馬先生 你是智慧人 出名的
[00:08:29.200 --> 00:08:32.200]  不過我們想看看你怎麼厲害
[00:08:32.200 --> 00:08:35.200]  你可不可以說一個
[00:08:35.200 --> 00:08:38.200]  以前希臘人的名著
[00:08:38.200 --> 00:08:40.200]  好像他這樣說出來
[00:08:40.200 --> 00:08:41.200]  這個馬先生就說沒問題
[00:08:41.200 --> 00:08:42.200]  你想說誰呢
[00:08:42.200 --> 00:08:44.200]  有人叫馬先生說
[00:08:44.200 --> 00:08:45.200]  不如這樣 你唱一下
[00:08:45.200 --> 00:08:47.200]  鴻國恩仇未了情
[00:08:47.200 --> 00:08:51.200]  馬先生就馬上就唱到麥炳明出來
[00:08:51.200 --> 00:08:54.200]  他背熟了麥炳明的腔
[00:08:54.200 --> 00:08:56.200]  不如唱《帝女花》吧
[00:08:56.200 --> 00:08:58.200]  馬先生又可以唱任劍輝的腔出來
[00:08:58.200 --> 00:09:02.200]  就是說他背熟了當年的希臘人
[00:09:02.200 --> 00:09:05.200]  這些特別的討論 戲劇
[00:09:05.200 --> 00:09:08.200]  那個人叫他說誰是希臘的哲學家
[00:09:08.200 --> 00:09:10.200]  他就可以說出來了
[00:09:10.200 --> 00:09:12.200]  然後他說出來
[00:09:12.200 --> 00:09:13.200]  那些人就拍了照
[00:09:13.200 --> 00:09:14.200]  哇 真是厲害了
[00:09:14.200 --> 00:09:15.200]  你個個都背熟了
[00:09:15.200 --> 00:09:18.200]  但是背而已 有什麼厲害
[00:09:18.200 --> 00:09:21.200]  要懂得討論辯論才厲害
[00:09:21.200 --> 00:09:25.200]  那城市的人就會出一個題目
[00:09:25.200 --> 00:09:26.200]  給馬先生
[00:09:26.200 --> 00:09:30.200]  馬先生請你用下面的一段時間
[00:09:30.200 --> 00:09:35.200]  你說一下同性戀合法化是應該的
[00:09:35.200 --> 00:09:36.200]  馬先生說沒問題
[00:09:36.200 --> 00:09:38.200]  同性戀合法化是應該的
[00:09:38.200 --> 00:09:40.200]  那就說吧
[00:09:40.200 --> 00:09:42.200]  他說了一段時間
[00:09:42.200 --> 00:09:44.200]  那些人全部都被他說服了
[00:09:44.200 --> 00:09:46.200]  說得頭頭有道理
[00:09:46.200 --> 00:09:49.200]  而且又有情又有理
[00:09:49.200 --> 00:09:51.200]  然後最後結局的時候
[00:09:51.200 --> 00:09:53.200]  就好像我們現在說的憤兄妹
[00:09:53.200 --> 00:09:55.200]  每個人都很興奮
[00:09:55.200 --> 00:09:56.200]  他有方法去說
[00:09:56.200 --> 00:09:58.200]  他訓練過講學的
[00:09:58.200 --> 00:09:59.200]  曾經有人描述過
[00:09:59.200 --> 00:10:00.200]  這些人說到是怎樣呢
[00:10:00.200 --> 00:10:03.200]  聽的時候真是如癡如醉的
[00:10:03.200 --> 00:10:05.200]  他說到靜的時候
[00:10:05.200 --> 00:10:08.200]  就好像艇靠著山
[00:10:08.200 --> 00:10:10.200]  慢慢跟著水這樣走
[00:10:10.200 --> 00:10:12.200]  但是說到狂的時候
