
[00:00:00.000 --> 00:00:08.000]  各位電視節目的早晨,感謝整個的欣賞
[00:00:08.000 --> 00:00:16.000]  在三個多星期前,戴德生第五代的後人
[00:00:16.000 --> 00:00:23.000]  在一個海歸的退休營
[00:00:23.000 --> 00:00:30.000]  他講完接著接續到我講的時候
[00:00:30.000 --> 00:00:34.000]  他當時送了一條片給我
[00:00:34.000 --> 00:00:42.000]  他告訴我,宋牧師戴德生的紀念館
[00:00:42.000 --> 00:00:47.000]  剛剛在上個月在杭州開幕
[00:00:47.000 --> 00:00:55.000]  與此同時,神州協會就拍了一套片,叫做宣教士
[00:00:55.000 --> 00:01:01.000]  是記載140位宣教士來到中國,他們一生的事蹟
[00:01:01.000 --> 00:01:05.000]  我拿著那條片回到家的時候
[00:01:05.000 --> 00:01:11.000]  我一口氣,差不多三個小時,我看了
[00:01:11.000 --> 00:01:15.000]  我一邊看,一邊落淚
[00:01:15.000 --> 00:01:21.000]  我一方面記得,30年前我回來香港
[00:01:21.000 --> 00:01:25.000]  是因為一位西人,一個宣教士
[00:01:25.000 --> 00:01:28.000]  他的名字叫做戴紹正
[00:01:28.000 --> 00:01:33.000]  他當時在美國的教會,來港黑的差異傳言會
[00:01:33.000 --> 00:01:38.000]  他用很流利的普通話,來將戴德生
[00:01:38.000 --> 00:01:43.000]  去中國傳福音,整個的事蹟
[00:01:43.000 --> 00:01:47.000]  特別讓我印象深刻的是兩句話
[00:01:47.000 --> 00:01:51.000]  戴德生說,假如我有一千英鎊
[00:01:51.000 --> 00:01:55.000]  中國人可以全數之取
[00:01:55.000 --> 00:02:00.000]  假如我有一千條的性命,我不會留下一條
[00:02:00.000 --> 00:02:02.000]  不給中國
[00:02:02.000 --> 00:02:07.000]  就是這樣,他們這麼多代的人
[00:02:07.000 --> 00:02:12.000]  六代,全部是華人當中
[00:02:12.000 --> 00:02:17.000]  來到市服,很多死在中國
[00:02:17.000 --> 00:02:19.000]  在中國出世
[00:02:19.000 --> 00:02:25.000]  令我自己最感動的是宣教士這條片的第三條
[00:02:25.000 --> 00:02:31.000]  裏面記載,全部各省各市大學
[00:02:31.000 --> 00:02:33.000]  是宣教士開始的
[00:02:33.000 --> 00:02:37.000]  孤兒院,宣教士開始的
[00:02:37.000 --> 00:02:41.000]  麻風病院,宣教士開始的
[00:02:41.000 --> 00:02:45.000]  盲人院,宣教士開始的
[00:02:45.000 --> 00:02:49.000]  聾啞學院,宣教士開始的
[00:02:49.000 --> 00:02:56.000]  各式各樣最好的大中小學,宣教士開始的
[00:02:56.000 --> 00:03:00.000]  法國今日N帶我們禱告
[00:03:00.000 --> 00:03:06.000]  耶穌說,我所作的事,你們也要做
[00:03:06.000 --> 00:03:10.000]  並且作的比我更大
[00:03:10.000 --> 00:03:13.000]  讓我們一起去看看
[00:03:13.000 --> 00:03:19.000]  透過這一班被耶穌基督的愛,感動
[00:03:19.000 --> 00:03:26.000]  以致他們出錢出力,甚至連生命都捨棄
[00:03:26.000 --> 00:03:30.000]  來到中國宣教
[00:03:30.000 --> 00:03:33.000]  但他們宣教除了傳福音
[00:03:33.000 --> 00:03:36.000]  大人信主,建立教會之外
[00:03:36.000 --> 00:03:39.000]  他們還有一些什麼
[00:03:39.000 --> 00:03:41.000]  他們做了
[00:03:41.000 --> 00:03:44.000]  以致影響到這麼多人
[00:03:44.000 --> 00:03:49.000]  願意毀身來侍奉呢?
[00:03:49.000 --> 00:03:52.000]  讓我們今日
[00:03:52.000 --> 00:03:59.000]  享受到福音的好處
[00:03:59.000 --> 00:04:05.000]  完全是因為一班宣教士
[00:04:05.000 --> 00:04:08.000]  實踐這個使命
[00:04:08.000 --> 00:04:10.000]  學校的建立
[00:04:10.000 --> 00:04:15.000]  也令我非常感動
[00:04:15.000 --> 00:04:24.000]  李台麥太曾經和當時清朝的官員
[00:04:24.000 --> 00:04:27.000]  希望能改變整個中國
[00:04:27.000 --> 00:04:31.000]  那種無知的現狀
[00:04:31.000 --> 00:04:33.000]  還是前腳
[00:04:33.000 --> 00:04:36.000]  還是考科舉
[00:04:36.000 --> 00:04:40.000]  所有的科學,醫學,法律都沒有
[00:04:40.000 --> 00:04:44.000]  中國和外面完全脫軌
[00:04:44.000 --> 00:04:46.000]  這位宣教士李台麥太
[00:04:46.000 --> 00:04:49.000]  就和李鴻章談
[00:04:49.000 --> 00:04:52.000]  有沒有可能
[00:04:52.000 --> 00:04:55.000]  你們真的可以花多點錢
[00:04:55.000 --> 00:04:57.000]  來建立學校呢?
[00:04:57.000 --> 00:04:58.000]  建立高等的學校呢?
[00:04:58.000 --> 00:05:00.000]  建立科學院呢?
[00:05:00.000 --> 00:05:03.000]  建立法律的學院呢?醫學院呢?
[00:05:03.000 --> 00:05:06.000]  是讓中國能夠從一個
[00:05:06.000 --> 00:05:11.000]  這樣落後的境界脫離出來
[00:05:11.000 --> 00:05:14.000]  李鴻章問他
[00:05:14.000 --> 00:05:18.000]  需要多久才有回報?
[00:05:18.000 --> 00:05:20.000]  李台麥太跟我說
[00:05:20.000 --> 00:05:23.000]  他說他保證
[00:05:23.000 --> 00:05:29.000]  20年中國會見到回報
[00:05:29.000 --> 00:05:31.000]  李鴻章當時聽到
[00:05:31.000 --> 00:05:35.000]  20年有回報的時候
[00:05:35.000 --> 00:05:37.000]  他說了一句
[00:05:37.000 --> 00:05:41.000]  20年太久了
[00:05:41.000 --> 00:05:44.000]  所以我們不會做
[00:05:44.000 --> 00:05:47.000]  派人出去留學
[00:05:47.000 --> 00:05:49.000]  20年才有回報
[00:05:49.000 --> 00:05:52.000]  我們不會做
[00:05:52.000 --> 00:05:54.000]  是因為這樣
[00:05:54.000 --> 00:05:58.000]  清政府拒絕了這個要求
[00:05:58.000 --> 00:06:01.000]  縱使宣教士直接提出
[00:06:01.000 --> 00:06:03.000]  是全部免費的
[00:06:03.000 --> 00:06:05.000]  你就是派一些精英
[00:06:05.000 --> 00:06:07.000]  去到西方那邊
[00:06:07.000 --> 00:06:08.000]  來接受這個教育
[00:06:08.000 --> 00:06:11.000]  讓他們回來廣設學校
[00:06:11.000 --> 00:06:15.000]  來建立中國人各方面的知識
[00:06:15.000 --> 00:06:18.000]  中國拒絕
[00:06:18.000 --> 00:06:19.000]  但是沒想到
[00:06:19.000 --> 00:06:21.000]  一年之後
[00:06:21.000 --> 00:06:25.000]  中國出現了義和團的事件
[00:06:25.000 --> 00:06:27.000]  是因為這樣
[00:06:27.000 --> 00:06:32.000]  當時整個國家就陷入了動亂不安
[00:06:32.000 --> 00:06:36.000]  很多宣教士被殺
[00:06:36.000 --> 00:06:40.000]  義和團平復之後
[00:06:40.000 --> 00:06:46.000]  各國的政府就開始要求中國賠款
[00:06:46.000 --> 00:06:50.000]  因為他們殺的宣教士很多
[00:06:50.000 --> 00:06:53.000]  被毀的學校很多
[00:06:53.000 --> 00:06:57.000]  被毀的家園醫院很多
[00:06:57.000 --> 00:07:02.000]  滿清政府因為這個緣故需要賠款
[00:07:02.000 --> 00:07:04.000]  但是沒想到
[00:07:04.000 --> 00:07:08.000]  那些宣教士竟然寫信給他們的大使
[00:07:08.000 --> 00:07:12.000]  寫信給他們的國家領袖
[00:07:12.000 --> 00:07:17.000]  要求將中國賠給他們的款項
[00:07:17.000 --> 00:07:20.000]  不要拿不要要
[00:07:20.000 --> 00:07:23.000]  但是要求中國政府建立學校
[00:07:23.000 --> 00:07:24.000]  建立大學
[00:07:24.000 --> 00:07:25.000]  建立中學
[00:07:25.000 --> 00:07:26.000]  建立小學
[00:07:26.000 --> 00:07:28.000]  是因為這個緣故
[00:07:28.000 --> 00:07:30.000]  我們看到整個中國
[00:07:30.000 --> 00:07:32.000]  由義和團之前
[00:07:32.000 --> 00:07:35.000]  只不過全國只有2000間
[00:07:35.000 --> 00:07:37.000]  一下子
[00:07:37.000 --> 00:07:40.000]  去到數以萬計的學校
[00:07:40.000 --> 00:07:43.000]  就是這樣建成
[00:07:43.000 --> 00:07:45.000]  各位聽眾
[00:07:45.000 --> 00:07:46.000]  今天跟大家來到
[00:07:46.000 --> 00:07:49.000]  預先分享這條片
[00:07:49.000 --> 00:07:51.000]  主要是給我們看見
[00:07:51.000 --> 00:07:53.000]  耶穌基督的大使命
[00:07:53.000 --> 00:07:57.000]  大使命到底是什麼來的呢?
[00:07:57.000 --> 00:07:59.000]  祂為的是什麼呢?
[00:07:59.000 --> 00:08:02.000]  我們一起讀一讀
[00:08:02.000 --> 00:08:07.000]  馬太福音28章19:20
[00:08:07.000 --> 00:08:09.000]  19:20
[00:08:09.000 --> 00:08:10.000]  我們一起讀
[00:08:10.000 --> 00:08:12.000]  所以你們要去
[00:08:12.000 --> 00:08:14.000]  是萬民作我的門徒
[00:08:14.000 --> 00:08:16.000]  奉父子聖靈的名
[00:08:16.000 --> 00:08:18.000]  給他們施洗
[00:08:18.000 --> 00:08:20.000]  凡我所吩咐你們的
[00:08:20.000 --> 00:08:22.000]  都教訓他們遵守
[00:08:22.000 --> 00:08:25.000]  我就尚與你們同在
[00:08:25.000 --> 00:08:27.000]  直到世界的末日
[00:08:27.000 --> 00:08:29.000]  在這段聖經
[00:08:29.000 --> 00:08:33.000]  按著原文的翻譯
[00:08:33.000 --> 00:08:35.000]  它應該是這樣
[00:08:35.000 --> 00:08:40.000]  所以你們要透過去
[00:08:40.000 --> 00:08:42.000]  第二
[00:08:42.000 --> 00:08:45.000]  透過奉父子聖靈的名
[00:08:45.000 --> 00:08:46.000]  去施洗
[00:08:46.000 --> 00:08:48.000]  第三
[00:08:48.000 --> 00:08:50.000]  透過去教訓他們
[00:08:50.000 --> 00:08:51.000]  去遵守
[00:08:51.000 --> 00:08:53.000]  凡我所吩咐你們的話
[00:08:53.000 --> 00:08:57.000]  使人作門徒
[00:08:57.000 --> 00:09:00.000]  是三個透過
[00:09:00.000 --> 00:09:04.000]  聖經裏面是用一個不定的動詞
[00:09:04.000 --> 00:09:05.000]  Infinitive
[00:09:05.000 --> 00:09:08.000]  第一是going或者participle
[00:09:08.000 --> 00:09:09.000]  going
[00:09:09.000 --> 00:09:11.000]  你們去
[00:09:11.000 --> 00:09:13.000]  是透過去
[00:09:13.000 --> 00:09:14.000]  第二
[00:09:14.000 --> 00:09:15.000]  Baptizing
[00:09:15.000 --> 00:09:17.000]  是透過施洗
[00:09:17.000 --> 00:09:18.000]  第三
[00:09:18.000 --> 00:09:19.000]  Teaching
[00:09:19.000 --> 00:09:21.000]  是透過去教訓
[00:09:21.000 --> 00:09:23.000]  他們遵守
[00:09:23.000 --> 00:09:26.000]  凡我吩咐你們的
[00:09:26.000 --> 00:09:30.000]  去使人作門徒
[00:09:30.000 --> 00:09:31.000]  換句話來說
[00:09:31.000 --> 00:09:34.000]  整個大使命是只有一個動詞
[00:09:34.000 --> 00:09:36.000]  是命令的
[00:09:36.000 --> 00:09:37.000]  這個動詞
[00:09:37.000 --> 00:09:39.000]  就是使人作門徒
[00:09:39.000 --> 00:09:43.000]  或者門訓
[00:09:43.000 --> 00:09:47.000]  你們去門訓萬族
[00:09:47.000 --> 00:09:49.000]  門訓萬民
[00:09:49.000 --> 00:09:51.000]  怎樣門訓呢?
[00:09:51.000 --> 00:09:52.000]  是透過去
[00:09:52.000 --> 00:09:53.000]  第二
[00:09:53.000 --> 00:09:54.000]  透過施洗
[00:09:54.000 --> 00:09:55.000]  第三
[00:09:55.000 --> 00:09:57.000]  透過教導
[00:09:57.000 --> 00:09:59.000]  各位親愛的弟兄姊妹
[00:09:59.000 --> 00:10:03.000]  當整個教會來到開始一個叫門徒啟動的時候
[00:10:03.000 --> 00:10:05.000]  我們認定一件事
[00:10:05.000 --> 00:10:09.000]  大使命其實是只有一個
[00:10:09.000 --> 00:10:11.000]  是使人作門徒
[00:10:11.000 --> 00:10:15.000]  使人作門徒是什麼意思呢?
[00:10:15.000 --> 00:10:17.000]  是不是就是只是三福
[00:10:17.000 --> 00:10:19.000]  只是查三寶
[00:10:19.000 --> 00:10:21.000]  只是叫人做基督徒
[00:10:21.000 --> 00:10:22.000]  洗了禮之後
[00:10:22.000 --> 00:10:24.000]  讓教會的人數增多呢?
[00:10:24.000 --> 00:10:26.000]  不是
[00:10:26.000 --> 00:10:28.000]  使人作門徒
[00:10:28.000 --> 00:10:32.000]  門徒是一個生活方式
[00:10:32.000 --> 00:10:35.000]  這種生活方式
[00:10:35.000 --> 00:10:38.000]  是遵守
[00:10:38.000 --> 00:10:41.000]  全部由耶穌基督教導我們的
[00:10:41.000 --> 00:10:43.000]  這是第一
[00:10:43.000 --> 00:10:44.000]  第二
[00:10:44.000 --> 00:10:47.000]  行耶穌基督要我們行的
[00:10:47.000 --> 00:10:50.000]  做耶穌基督所做的
[00:10:50.000 --> 00:10:53.000]  這個就叫做門徒
[00:10:53.000 --> 00:10:57.000]  原來徒弟不單要學師父教的那些東西
[00:10:57.000 --> 00:11:01.000]  他要學師父做的那些東西
[00:11:01.000 --> 00:11:04.000]  而我們是做誰的門徒呢?
[00:11:04.000 --> 00:11:07.000]  不是做某某人的門徒
[00:11:07.000 --> 00:11:09.000]  最重要最重要
[00:11:09.000 --> 00:11:12.000]  是做耶穌基督的門徒
[00:11:12.000 --> 00:11:14.000]  兩個多大的日子前
[00:11:14.000 --> 00:11:16.000]  我非常開心
[00:11:16.000 --> 00:11:19.000]  很久沒有試過
[00:11:19.000 --> 00:11:24.000]  是個別為一對夫婦
[00:11:24.000 --> 00:11:27.000]  老人家來施洗
[00:11:27.000 --> 00:11:29.000]  而這一對老人家
[00:11:29.000 --> 00:11:31.000]  是因為那三個兒子
[00:11:31.000 --> 00:11:33.000]  他們的請求
[00:11:33.000 --> 00:11:35.000]  他們說
[00:11:35.000 --> 00:11:38.000]  希望能夠讓他們有機會講見證
[00:11:38.000 --> 00:11:39.000]  第二
