
[00:00:00.000 --> 00:00:06.000]  各位弟兄姊妹 願你們平安
[00:00:06.000 --> 00:00:09.000]  我相信大家都會記得主耶穌曾經說
[00:00:09.000 --> 00:00:12.000]  「我將我的平安賜給你們」
[00:00:12.000 --> 00:00:16.000]  因此我們在今天無論我們的環境如何
[00:00:16.000 --> 00:00:18.000]  我們都可以放膽
[00:00:18.000 --> 00:00:23.000]  憑著在我們裡面這一份屬於主的平安
[00:00:23.000 --> 00:00:26.000]  我們可以坦然去面對
[00:00:26.000 --> 00:00:29.000]  面對一切叫我們不安的事
[00:00:29.000 --> 00:00:33.000]  因為主的平安已經在我們心裡面
[00:00:33.000 --> 00:00:36.000]  各位弟兄姊妹在不同的地方一起在網上崇拜
[00:00:36.000 --> 00:00:39.000]  或者你在家中 或者你在不同的角落
[00:00:39.000 --> 00:00:42.000]  這個時候如果你身邊有一些家人朋友
[00:00:42.000 --> 00:00:44.000]  你都跟他們說一句
[00:00:44.000 --> 00:00:46.000]  「願你平安」 好嗎?
[00:00:46.000 --> 00:00:49.000]  大家彼此的 你都可以勉勵
[00:00:49.000 --> 00:00:51.000]  我們再一起動心祈禱
[00:00:51.000 --> 00:00:53.000]  主耶穌我們感謝你
[00:00:53.000 --> 00:00:59.000]  你的確是那位掌管天地萬有的主宰
[00:00:59.000 --> 00:01:05.000]  主啊 你在世上當你發覺你的門徒
[00:01:05.000 --> 00:01:08.000]  有擔憂 有恐懼的時候
[00:01:08.000 --> 00:01:10.000]  你很清楚告訴我們
[00:01:10.000 --> 00:01:13.000]  你留下平安給我們
[00:01:13.000 --> 00:01:17.000]  主啊 讓我們不忘記你這份的應許
[00:01:17.000 --> 00:01:21.000]  讓我們都常常靠著你所賜給我們
[00:01:21.000 --> 00:01:24.000]  屬於你的這份心中的平安
[00:01:24.000 --> 00:01:27.000]  去面對一切的挑戰
[00:01:27.000 --> 00:01:29.000]  如今我們到你面前來
[00:01:29.000 --> 00:01:31.000]  感謝你讓我們可以敬拜你
[00:01:31.000 --> 00:01:34.000]  亦都感謝你賜下你自己聖經的恩言
[00:01:34.000 --> 00:01:37.000]  你自己聖靈的工作
[00:01:37.000 --> 00:01:40.000]  讓我們在你面前可以領受恩惠
[00:01:40.000 --> 00:01:43.000]  如今求主除去一切的障礙
[00:01:43.000 --> 00:01:46.000]  無論環境的 或者我們心靈裡面的
[00:01:46.000 --> 00:01:49.000]  主你抹去一切的阻礙
[00:01:49.000 --> 00:01:51.000]  讓我們在你的恩典裡面
[00:01:51.000 --> 00:01:54.000]  我們一同領受你自己的教導
[00:01:54.000 --> 00:01:56.000]  求你施恩
[00:01:56.000 --> 00:01:58.000]  我們仰望祈禱
[00:01:58.000 --> 00:02:00.000]  奉耶穌基督的聖名求
[00:02:00.000 --> 00:02:02.000]  阿們
[00:02:02.000 --> 00:02:07.000]  我們今天繼續思想亞國書第四章的經文
[00:02:07.000 --> 00:02:10.000]  我們這段時間大家一定都會很多時候
[00:02:10.000 --> 00:02:15.000]  都會談到關於新冠肺炎疫情的問題
[00:02:15.000 --> 00:02:19.000]  當我在英屯城留意疫情的發展的時候
[00:02:19.000 --> 00:02:23.000]  都留意到一個很意外的事情
[00:02:23.000 --> 00:02:26.000]  就是原來新冠肺炎的疫情
[00:02:26.000 --> 00:02:30.000]  也引發了很多世界不同地方糧食供應的問題
[00:02:30.000 --> 00:02:33.000]  我想開始的時候稍微講一講這方面
[00:02:33.000 --> 00:02:35.000]  看到很多不同的報導
[00:02:35.000 --> 00:02:39.000]  講到在世界不同的地方不單止有肺炎的問題
[00:02:39.000 --> 00:02:44.000]  也都有很多國家出現了嚴重的饑荒的問題
[00:02:44.000 --> 00:02:47.000]  在很多發展中國家因為疫情
[00:02:47.000 --> 00:02:50.000]  因為要實施人口的流動管制
[00:02:50.000 --> 00:02:54.000]  所以很多的農田是沒有人耕種的
[00:02:54.000 --> 00:02:58.000]  就算有耕種那些農產都不能夠運出來
[00:02:58.000 --> 00:03:01.000]  引發了很多很多糧食的問題
[00:03:01.000 --> 00:03:03.000]  再加上在今年年初
[00:03:03.000 --> 00:03:05.000]  如果大家留意新聞一定會知道
[00:03:05.000 --> 00:03:07.000]  特別是在非洲的地方
