
[00:00:00.000 --> 00:00:07.000]  感謝主讓我們再有機會一起去敬拜神
[00:00:07.000 --> 00:00:09.000]  在這個很特別的情況之下
[00:00:09.000 --> 00:00:11.000]  我們用視像
[00:00:11.000 --> 00:00:15.000]  透過視像來思想上帝的話語來敬拜
[00:00:15.000 --> 00:00:18.000]  今天想和大家思想一段聖經
[00:00:18.000 --> 00:00:24.000]  聖經是記載在《馬太福音》第六章九至十三節
[00:00:24.000 --> 00:00:29.000]  這段聖經我相信大部分的大英哲民都相當熟悉
[00:00:29.000 --> 00:00:33.000]  記載在《馬太福音》第六章九至十三節
[00:00:33.000 --> 00:00:34.000]  聖經這樣說
[00:00:34.000 --> 00:00:37.000]  所以你們禱告要這樣說
[00:00:37.000 --> 00:00:39.000]  我們在天上的父
[00:00:39.000 --> 00:00:41.000]  願人都尊你的名為聖
[00:00:41.000 --> 00:00:43.000]  願你的國降臨
[00:00:43.000 --> 00:00:46.000]  願你的旨意行在地上
[00:00:46.000 --> 00:00:48.000]  如同行在天上
[00:00:48.000 --> 00:00:50.000]  我們日用的飲食
[00:00:50.000 --> 00:00:52.000]  今日賜給我們
[00:00:52.000 --> 00:00:53.000]  免我們的債
[00:00:53.000 --> 00:00:55.000]  如同我們免了人的債
[00:00:55.000 --> 00:00:57.000]  不叫我們遇見試探
[00:00:57.000 --> 00:00:59.000]  救我們脫離兇惡
[00:00:59.000 --> 00:01:02.000]  因為國道權柄榮耀
[00:01:02.000 --> 00:01:03.000]  全是你的
[00:01:03.000 --> 00:01:04.000]  直到永遠
[00:01:04.000 --> 00:01:05.000]  阿們
[00:01:05.000 --> 00:01:10.000]  今天我們來思想這段聖經
[00:01:10.000 --> 00:01:12.000]  教會給了我一個主題
[00:01:12.000 --> 00:01:17.000]  信仰和政治的面面觀
[00:01:17.000 --> 00:01:19.000]  所以我今天給的題目就是
[00:01:19.000 --> 00:01:23.000]  從主禱文來看信仰和政治
[00:01:23.000 --> 00:01:25.000]  我們從這段聖經裏面
[00:01:25.000 --> 00:01:28.000]  不難看到我們在引子
[00:01:28.000 --> 00:01:29.000]  或者一開始的時候
[00:01:29.000 --> 00:01:31.000]  耶穌所強調的是甚麼呢?
[00:01:31.000 --> 00:01:32.000]  祂說我們在天上的父
[00:01:32.000 --> 00:01:35.000]  這就是我們禱告的對象
[00:01:35.000 --> 00:01:36.000]  我們在天上的父
[00:01:36.000 --> 00:01:37.000]  祂是誰呢?
