
[00:00:00.000 --> 00:00:09.000]  很快我們就已經來到已忽所書的最後一個信息
[00:00:09.000 --> 00:00:11.800]  今天我叫這個信息做
[00:00:11.800 --> 00:00:16.400]  「全副軍裝,敵黨魔鬼」或者是「敵黨撒旦」
[00:00:16.400 --> 00:00:18.900]  是一個很重要的信息
[00:00:18.900 --> 00:00:22.900]  已忽所書就是一部很重要給基督徒的一部書
[00:00:22.900 --> 00:00:26.200]  今天要和大家講的是屬靈的真賤
[00:00:26.200 --> 00:00:31.500]  早在2002年其實CDC
[00:00:31.500 --> 00:00:34.800]  大家現在對CDC可能已經很熟悉
[00:00:34.800 --> 00:00:39.800]  在20年前相信大家都沒有什麼聽過CDC或者是不太熟悉
[00:00:39.800 --> 00:00:43.400]  2002年CDC已經公佈
[00:00:43.400 --> 00:00:50.800]  原來在遊輪上已經有很多細菌的爆發
[00:00:50.800 --> 00:00:55.000]  在2002年就已經有21宗這麼多
[00:00:55.000 --> 00:00:59.200]  但是那時候好像都不覺得是一回事
[00:00:59.200 --> 00:01:03.600]  仍然繼續坐遊輪去開心
[00:01:03.600 --> 00:01:06.200]  為什麼現在又不同了
[00:01:06.200 --> 00:01:08.400]  發覺原來是真的
[00:01:08.400 --> 00:01:11.000]  原來真的有病毒
[00:01:11.000 --> 00:01:14.000]  去年看到新冠病毒每個人都害怕了
[00:01:14.000 --> 00:01:16.600]  屬靈的真賤都是一樣
[00:01:16.600 --> 00:01:19.000]  你看不見摸不到
[00:01:19.000 --> 00:01:21.600]  好像細菌好像病毒一樣
[00:01:21.600 --> 00:01:26.000]  但是我可以告訴你屬靈的真賤是絕對真實
[00:01:26.000 --> 00:01:28.400]  每天都在進行中
[00:01:28.400 --> 00:01:33.400]  其實聖經一早就已經告訴我們
[00:01:33.400 --> 00:01:36.800]  撒旦開始屬靈的真賤
[00:01:36.800 --> 00:01:40.200]  在創世記的第三章已經開始
[00:01:40.200 --> 00:01:44.800]  他使阿當和夏娃犯罪墮落
[00:01:44.800 --> 00:01:50.600]  第四章他引誘該人去妒忌阿伯
[00:01:50.600 --> 00:01:53.200]  甚至將阿伯殺死
[00:01:53.200 --> 00:01:58.200]  第五章是講迦普沒有講到任何屬靈的真賤
[00:01:58.200 --> 00:02:00.000]  但是到了第六章
[00:02:00.000 --> 00:02:01.200]  經文告訴我們
[00:02:01.200 --> 00:02:05.200]  耶和華見人在地上罪惡很大
[00:02:05.200 --> 00:02:08.400]  終日所思想的盡都是罪
[00:02:08.400 --> 00:02:12.800]  耶和華就後悔做人在地上心中憂愁
[00:02:12.800 --> 00:02:16.200]  我們看到短短六章的經文
[00:02:16.200 --> 00:02:18.400]  給我們看到撒旦的工作
[00:02:18.400 --> 00:02:23.800]  他不斷在世上攻擊神的創造
[00:02:23.800 --> 00:02:26.600]  到了但爾利的第十章
[00:02:26.600 --> 00:02:30.800]  經文告訴我們每一個國家都有魔棍
[00:02:30.800 --> 00:02:33.800]  這個魔棍就是撒旦派到那個國家
[00:02:33.800 --> 00:02:36.800]  來做他的工作
[00:02:36.800 --> 00:02:38.800]  是他的使者
[00:02:38.800 --> 00:02:41.200]  我們看到真的很多人害怕
[00:02:41.200 --> 00:02:43.600]  連猶太書的第九節
[00:02:43.600 --> 00:02:46.600]  我們知道猶太書只有一章的經文
[00:02:46.600 --> 00:02:48.200]  所以是第九節
[00:02:48.200 --> 00:02:54.800]  天使長米加勒和魔鬼是爭奪摩西的屍體
[00:02:54.800 --> 00:02:58.200]  我們看到屬靈的真賤是真的
[00:02:58.200 --> 00:03:03.600]  撒旦的攻擊是非常非常之的現實
[00:03:03.600 --> 00:03:05.600]  同樣在新約
[00:03:05.600 --> 00:03:09.600]  我們也有很多的教導來警告我們
[00:03:09.600 --> 00:03:12.600]  例如雅各書的四章七節
[00:03:12.600 --> 00:03:15.600]  雅各說你們要馴服神
[00:03:15.600 --> 00:03:17.600]  不要抵擋魔鬼
[00:03:17.600 --> 00:03:21.200]  魔鬼就必離開你們逃跑了
[00:03:21.200 --> 00:03:24.600]  今天我們就要學習怎樣能夠抵擋魔鬼
[00:03:24.600 --> 00:03:28.600]  就是要穿上全副的軍裝
[00:03:28.600 --> 00:03:31.600]  彼得前書的五章八節
[00:03:31.600 --> 00:03:33.600]  彼得也說
[00:03:33.600 --> 00:03:36.600]  撒旦是如同哮叫的獅子
[00:03:36.600 --> 00:03:41.600]  遍地遊行尋找可以吞吃的人
[00:03:41.600 --> 00:03:43.600]  有人說撒旦的攻擊
[00:03:43.600 --> 00:03:46.600]  屬靈的真賤我見都沒見過
[00:03:46.600 --> 00:03:48.600]  我看都沒看見過
[00:03:48.600 --> 00:03:51.600]  如果是這樣的話就有兩個原因
[00:03:51.600 --> 00:03:54.600]  一個原因可能你不是一個基督徒
[00:03:54.600 --> 00:03:59.600]  另外一個原因就是撒旦覺得你對他是毫無威脅
[00:03:59.600 --> 00:04:01.600]  根本不需要來理你
[00:04:01.600 --> 00:04:06.600]  有個人叫Dr. Miller of Princeton
[00:04:06.600 --> 00:04:10.600]  這個人我也去過網上查他
[00:04:10.600 --> 00:04:12.600]  不是查到很多的資料
[00:04:12.600 --> 00:04:14.600]  但是Dr. Miller of Princeton
[00:04:14.600 --> 00:04:18.600]  相信是 Princeton University 的一個教授
[00:04:18.600 --> 00:04:22.600]  有一次他在教學的時候用了一個比喻
[00:04:22.600 --> 00:04:25.600]  他說有一個僕人叫做Harry
