
[00:00:00.000 --> 00:00:05.000]  此錄音或錄影的版權 是屬基督教宣導會不各堂所有
[00:00:05.000 --> 00:00:08.000]  我們的屬靈傳統之一 是以真理教導為本
[00:00:08.000 --> 00:00:11.000]  歡迎你將此錄音或錄影的連結 傳給親友
[00:00:11.000 --> 00:00:14.000]  懇請注意 未經授權 請勿轉錄
[00:00:14.000 --> 00:00:17.000]  或者剪輯本錄音或錄影
[00:00:17.000 --> 00:00:19.000]  各位電影姐妹平安
[00:00:19.000 --> 00:00:26.000]  我想問一下 有哪位電影姐妹 上星期日在禮堂聚會的?
[00:00:28.000 --> 00:00:31.000]  上星期日我答應了去一間教會講道
[00:00:31.000 --> 00:00:36.000]  但是星期六就被他們呼召去到他們教會
[00:00:36.000 --> 00:00:40.000]  我去到的時候是一個空的禮堂
[00:00:40.000 --> 00:00:44.000]  在空的禮堂是六個崇拜的講道
[00:00:44.000 --> 00:00:48.000]  預備明天在家中放給電影姐妹一起參與崇拜
[00:00:48.000 --> 00:00:53.000]  今天回來和電影姐妹同在教會裡面敬拜
[00:00:53.000 --> 00:00:56.000]  更加感受到是恩典
[00:00:56.000 --> 00:01:01.000]  每一次能夠和你的電影姐妹一起敬拜上帝不是必然的
[00:01:01.000 --> 00:01:05.000]  所以我想請你和你身邊的電影姐妹一起來講
[00:01:05.000 --> 00:01:08.000]  感謝神我們可以一起敬拜主
[00:01:08.000 --> 00:01:15.000]  感謝神每一次都是恩典 是恩典
[00:01:15.000 --> 00:01:18.000]  我請大家和我一起祈禱 我們同心仰望主
[00:01:23.000 --> 00:01:26.000]  我們的主 我們的神
[00:01:26.000 --> 00:01:29.000]  祢的寶座立定在天上面
[00:01:29.000 --> 00:01:32.000]  祢的權柄統管萬有
[00:01:32.000 --> 00:01:37.000]  主在祢的權柄帶著慈愛 帶著憐憫
[00:01:37.000 --> 00:01:41.000]  當我們在人生經歷不同的事情的時候
[00:01:41.000 --> 00:01:46.000]  無論是信是疑 我們心知道都在祢的慈愛裡面
[00:01:46.000 --> 00:01:50.000]  因此我們到祢面前來我們敬拜祢
[00:01:50.000 --> 00:01:52.000]  承認祢是我們生命的主宰
[00:01:52.000 --> 00:01:55.000]  我們願意信從祢 信靠祢
[00:01:55.000 --> 00:01:59.000]  我們很願意祢自己透過祢聖經的說話
[00:01:59.000 --> 00:02:03.000]  不斷勉勵我們的心 加添我們的力量
[00:02:03.000 --> 00:02:07.000]  讓我們人生的路上面堅定的跟隨祢
[00:02:07.000 --> 00:02:12.000]  天父說求祢賜寬一段時間 祢遮蓋人的不足
[00:02:12.000 --> 00:02:17.000]  讓祢自己的恩賢淋到我們眾人的心中
[00:02:17.000 --> 00:02:21.000]  我們仰望祈禱 奉主耶穌成名祈求
[00:02:22.000 --> 00:02:24.000]  祈求祢遮蓋咸門
[00:02:24.000 --> 00:02:29.000]  開始的時候我想先提
[00:02:29.000 --> 00:02:31.000]  就是剛剛過去的六月
[00:02:31.000 --> 00:02:36.000]  我家的兒孫在外面回到香港
[00:02:36.000 --> 00:02:41.000]  有機會跟他們一起有一些活動 旅行 休息
[00:02:41.000 --> 00:02:43.000]  再加上香港的兒孫
[00:02:43.000 --> 00:02:45.000]  我們一起有一些集體的活動
[00:02:45.000 --> 00:02:47.000]  他很開心
[00:02:47.000 --> 00:02:49.000]  有一次我們去到一個地方
[00:02:49.000 --> 00:02:54.000]  是一個室外的園亭的地方
[00:02:54.000 --> 00:02:57.000]  裡面有一個很特別的迷宮
[00:02:57.000 --> 00:03:02.000]  迷宮是用一些很矮的樹叢一路造成的
[00:03:02.000 --> 00:03:07.000]  小朋友看到 孫兒看到這個情況很開心
[00:03:07.000 --> 00:03:12.000]  馬上就衝進去 要到處轉動 到處走
[00:03:12.000 --> 00:03:17.000]  我看到他們在樹叢下面一路走
[00:03:17.000 --> 00:03:19.000]  前面有些障礙
[00:03:19.000 --> 00:03:21.000]  但是發覺右邊有一條直路
[00:03:21.000 --> 00:03:23.000]  馬上衝去右邊
[00:03:23.000 --> 00:03:27.000]  但是我知道那條路其實是不通的
[00:03:27.000 --> 00:03:29.000]  因為我比較高
[00:03:29.000 --> 00:03:35.000]  我在那個迷宮上面已經看了所有的通道在哪裡
[00:03:35.000 --> 00:03:39.000]  我就大聲叫 不要走右邊 走左邊
[00:03:39.000 --> 00:03:42.000]  但是似乎他們不太肯聽
[00:03:42.000 --> 00:03:46.000]  走著走著的時候 他們發覺沒有出路
[00:03:46.000 --> 00:03:48.000]  但是他們想到一些方法
[00:03:48.000 --> 00:03:52.000]  在樹叢之間有些空位
[00:03:52.000 --> 00:03:56.000]  因為他就鑽進樹叢裡面
[00:03:56.000 --> 00:03:58.000]  從另一邊穿出來
[00:03:58.000 --> 00:04:02.000]  我在旁邊看到的時候覺得很開心
[00:04:02.000 --> 00:04:08.000]  也很體會到我們真的有很短小的眼光
[00:04:08.000 --> 00:04:10.000]  看我們人生的路
[00:04:10.000 --> 00:04:15.000]  我們很需要上帝給我們智慧
[00:04:16.000 --> 00:04:21.000]  能夠看到人生的路應該怎樣走
[00:04:21.000 --> 00:04:24.000]  我們這段時間讀到《針研》
[00:04:24.000 --> 00:04:28.000]  《針研》第一章第一第二節一開始就說
[00:04:28.000 --> 00:04:31.000]  所羅門為什麼會寫《針研》呢?
[00:04:31.000 --> 00:04:38.000]  他說這個目的是叫人「曉得智慧」
[00:04:38.000 --> 00:04:42.000]  是能夠「領受智慧」
[00:04:42.000 --> 00:04:46.000]  「聽受神的話」以致可以「領受智慧」
[00:04:46.000 --> 00:04:48.000]  《針研》說到智慧的時候
[00:04:48.000 --> 00:04:51.000]  不單單說一些知識學問
[00:04:51.000 --> 00:04:54.000]  不單說一些分析事情的能力
[00:04:54.000 --> 00:04:58.000]  更加說一種心靈的動識
[00:04:58.000 --> 00:05:02.000]  看透了事情的根本
[00:05:02.000 --> 00:05:06.000]  以致你能夠知道哪些是重要
[00:05:06.000 --> 00:05:08.000]  哪些是次要
[00:05:08.000 --> 00:05:10.000]  而作出適當的抉擇
[00:05:12.000 --> 00:05:16.000]  《針研》說到神要將這種屬天的智慧
[00:05:16.000 --> 00:05:18.000]  賜給敬畏祂的人
[00:05:18.000 --> 00:05:23.000]  人生的路因此可以走在祂的裏面
[00:05:23.000 --> 00:05:25.000]  走在光明的路上
[00:05:25.000 --> 00:05:27.000]  所以你記得上個星期
[00:05:27.000 --> 00:05:29.000]  當我們讀到第二章的時候
[00:05:29.000 --> 00:05:31.000]  聖經裏面提到
[00:05:31.000 --> 00:05:34.000]  「智謀要庇護你」
[00:05:34.000 --> 00:05:36.000]  「聰明必保護你」
[00:05:36.000 --> 00:05:41.000]  「救你脫離惡人的道」
[00:05:42.000 --> 00:05:46.000]  人生的路你會遇到很多惡人的道
[00:05:46.000 --> 00:05:49.000]  你不察覺你走了在上面
[00:05:49.000 --> 00:05:51.000]  你自己就受害
[00:05:51.000 --> 00:05:53.000]  但聖話給我們知道
[00:05:53.000 --> 00:05:55.000]  智慧要保護我們
[00:05:55.000 --> 00:05:57.000]  救我們脫離惡人的道
[00:05:57.000 --> 00:05:59.000]  今天讀了聖經
[00:05:59.000 --> 00:06:00.000]  三章就提到
[00:06:00.000 --> 00:06:03.000]  在你一切所行的路上
[00:06:03.000 --> 00:06:05.000]  都要認定它
[00:06:05.000 --> 00:06:08.000]  它必使你的道路平直
[00:06:08.000 --> 00:06:11.000]  你人生的路會平直
[00:06:12.000 --> 00:06:16.000]  會能夠行在光明正直的路上
[00:06:16.000 --> 00:06:19.000]  因為你認定它
[00:06:19.000 --> 00:06:21.000]  各位聽眾
[00:06:21.000 --> 00:06:22.000]  我們今天思想短經文
[00:06:22.000 --> 00:06:25.000]  在你的心裏你可以默默祈禱
[00:06:25.000 --> 00:06:29.000]  因為神賜給你生命的智慧
[00:06:29.000 --> 00:06:31.000]  以致你可以在人生的路上
[00:06:31.000 --> 00:06:33.000]  不會走很多冤枉路
[00:06:33.000 --> 00:06:35.000]  或者很多錯路
[00:06:35.000 --> 00:06:40.000]  而你一路能夠行在正直平安的路上
[00:06:41.000 --> 00:06:42.000]  我們看聖經
[00:06:42.000 --> 00:06:43.000]  看聖經
[00:06:43.000 --> 00:06:45.000]  剛才我們讀的第三章裏面
[00:06:45.000 --> 00:06:47.000]  一開始的時候
[00:06:47.000 --> 00:06:50.000]  你會發覺聖經裏面提醒我們一件事情
[00:06:50.000 --> 00:06:52.000]  三章第一第二節
[00:06:52.000 --> 00:06:55.000]  我以下不要忘記我的教誨
[00:06:55.000 --> 00:06:58.000]  你的心要謹守我的命令
[00:06:58.000 --> 00:07:01.000]  聖經很清楚的講述
[00:07:01.000 --> 00:07:03.000]  智慧從哪裏來呢?
[00:07:03.000 --> 00:07:06.000]  智慧是從神的說話而來
[00:07:06.000 --> 00:07:09.000]  因此禎言裏面不斷提醒我們
[00:07:09.000 --> 00:07:12.000]  要牢記神的說話
[00:07:12.000 --> 00:07:15.000]  要將整個話藏在心裏
[00:07:15.000 --> 00:07:18.000]  我將你的話藏在心裏
[00:07:18.000 --> 00:07:20.000]  就不至於跌倒
[00:07:20.000 --> 00:07:23.000]  就不至於走錯路
[00:07:23.000 --> 00:07:26.000]  當你讀到這段經文的時候
[00:07:26.000 --> 00:07:28.000]  或者你心裏會想
[00:07:28.000 --> 00:07:31.000]  有些時候我都記不住
[00:07:31.000 --> 00:07:33.000]  延長一些的更加體會
[00:07:33.000 --> 00:07:35.000]  剛剛今早讀完
